"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADASEA DE L'ALLIER","Promouvoir et accompagner la transmission des entreprises agricoles et l'installation des porteurs de projets.","97,650 €","39,980 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre d'agriculture de l'Allier","ACCOMPAGNEMENT DES CANDIDATS A L'INSTALLATION EN AGRICULTURE.","187,262 €","53,000 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre d'agriculture de l'Allier","Accompagnement des candidats à l'installation en agriculture.","99,711 €","49,855 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre d'agriculture de l'Allier","Accompagnement des entreprises agricoles à la gestion des emplois et des compétences","157,423 €","62,969 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Chambre d'agriculture de l'Allier","Adaptation des actifs agricoles aux mutations économiques.","412,937 €","165,174 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Chambre de commerce et d'industrie de Montluçon-Gannat, Portes d'Auvergne","Formation aux nouvelles organisations numériques du travail","50,006 €","20,002 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Collège Anne de Beaujeu","Actions de remobilisation des  jeunes ...2007-08","34,928 €","17,464 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Collège J.J.Soulier","Pôle d'accompagnement et d'insertion du bassin de Montluçon Commentry","43,270 €","21,635 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Collège Maurice Constantin Weyer","PLF de découverte et d'insertion sociale et professionnelle de Vichy  2007-08","46,408 €","23,204 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Conseil Général de l'Allier","ATELIERS D'UTILITE SOCIALE DANS LE CADRE DU PDI DE L'ALLIER. ","208,645 €","104,300 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Général de l'Allier","ATELIERS D'UTILITE SOCIALE ET DE MOBILISATION PROFESSIONNELLE","191,630 €","95,815 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Général de l'Allier","Conventionnement de Financement d'Emploi Hors Pôle Emploi (RSA)","104,526 €","52,263 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Général de l'Allier","PDI 03 PRESTATION MEDIATION EMPLOI AVEC LE RMA","230,000 €","115,000 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Général de l'Allier","PDI CONVENTIONNEMENT AVEC L'AGENCE NATIONALE POUR L'EMPLOI.","160,184 €","80,092 €","FONDS SOCIAL EUROPEEN","AUVERGNE","ALLIER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
