"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADGENE LABORATOIRE","Création par une TPE (ADGENE LABORATOIRE) doutils innovants liés à la gestion et au contrôle de l'eau","1,882,577 €","1,473,652 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"ADGENE LABORATOIRE","Faisabilité de puces ADN dans la recherche des différents critères de potabilité de l'eau, impliquant le recrutement d'un technicien supérieur.","22,640 €","11,300 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ADRIA Normandie","Animation 2009-2010 de l'ADRIA Normandie.","801,022 €","400,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"AQM BASSE-NORMANDIE","Accompagnement vers la performance","186,900 €","93,450 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AQM BASSE-NORMANDIE","Développement Durable dans les PME-PMI de basse- normandie - Des cercles d'entreprises au club régional","96,600 €","38,640 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AQM BASSE-NORMANDIE","Journée Régionale de l'Excellence - La compétence au service de l'Excellence","58,000 €","29,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ArvinMeritor","Projet N.A.M. (Nouvelle Analyse Magnétomécanique)","68,000 €","20,400 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Association AIRE","Espace public numérique sur la Côte de Nacre","148,772 €","47,507 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"Association ARCHADE","Création d'un centre européen de ressources en hadronthérapie à Caen (Phase I)","2,237,552 €","895,021 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Association du Pôle de Compétitivité VALORIAL","Création d'une délégation territoriale en Basse-Normandie.","92,000 €","32,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Filière Nautique Normande.","Animation 2009-2010","109,500 €","27,375 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Habitat et Développement de l'Orne","Animation d'un Espace Info-Energie 2008","115,178 €","34,553 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"41","Energie renouvelable: biomasse"
"Association Habitat et Développement de l'Orne","Espace Info-Energie année 2009","117,960 €","70,776 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"41","Energie renouvelable: biomasse"
"Association Normande des Entreprises Agroalimentaires","Action collective  développement durable  phase 2 et 3.","126,023 €","50,409 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Normande des Entreprises Agroalimentaires","Démarche collective du chantier Bilan Carbone®","78,699 €","31,480 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Association Normande des Entreprises Agroalimentaires","Structuration et Animation de la filière.","255,000 €","80,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Pays d'Ouche Développement","Animation d'un COT (Contrat d'Objectif Territorial) 2008-2010.","132,366 €","39,710 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Association Pays d'Ouche Développement","Préparation de l'élaboration d'un Plan Climat Territorial 2008","38,854 €","11,656 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
"Association Pôle de compétitivité Transactions Electroniques Sécurisées (apTES)","Accompagnement des PME à l'innovation.","195,790 €","107,684 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Pôle de compétitivité Transactions Electroniques Sécurisées (apTES)","Maitriser l'information stratégique : APIE","106,964 €","34,727 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association Pôle de compétitivité Transactions Electroniques Sécurisées (apTES)","Plan d'actions 2009 du pôle de compétitivité  Transactions Electroniques Sécurisées ","690,383 €","246,049 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Polymers Technologies","Animation de Polymers Technologies","134,632 €","53,853 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association pour le Déploiement des Outils Communicants de Basse-Normandie.(ADOC-BN)","Déploiement des messageries sécurisées en santé.","216,342 €","74,869 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
