"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ABEC","ABEC  Chantier tâches multiples n°1 ",31973,15986.5,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","MANCHE / SAINT-LO / CARENTAN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ABEC","ABEC  Chantier tâches multiples n°2 ",31500,15750,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","MANCHE / COUTANCES / HAYE-DU-PUITS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACDS Dernier soupir","Ateliers  Ecritures des corps ",13123,10498,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","MANCHE / SAINT-LO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACSEA FORMATION","Ateliers de Formation de Base",93195,46597.5,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACSEA FORMATION","Ateliers de Formation de Base",90742.5,44145,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS / LISIEUX / LISIEUX / LISIEUX","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACSEA FORMATION","Parcours Personnalisés vers l'Emploi 2009",49725,19890,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADASEA de l'Orne","Soutenir la création d'entreprise en milieu rural",144527,20000,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","ORNE / ALENCON / ALENCON / ALENCON","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ADASEA du Calvados","Transmission des exploitations agricoles",198120,60000,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS / CAEN / CABOURG / COLOMBELLES","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"AFIP Normandie","Le rendez-vous des jeunes créatifs",24482,12139,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE",,"Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"AFPA CROP","Examen psychotechnique de sécurité",110,110,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","MANCHE / CHERBOURG / CHERBOURG","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA CROP","Plate-forme Nouveaux Services Basse-Normandie",489336,200000,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS / CAEN / CAEN / CAEN","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"AFT IFTIM","Conducteur(trice) routier interurbain de voyageurs 2009-036",92400,46200,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AFT IFTIM","TP conducteur/trice routier interurbain de voyageurs avec TWISTO 2009-028",73920,36960,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AGEFOS PME Basse-Normandie","Développement égalité professionnelle entre les femmes et les hommes dans TPE-PME par la formation",141624,64812,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE",,"Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"AGEFOS PME Basse-Normandie","Horizon 2010 - PASS PME",1470221,573286,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME Basse-Normandie","Valorice - Horizon 2010",580571,221295,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Agence Nationale Pour l'Emploi - Pôle Emploi","Accompagnement des demandeurs d'emploi non indemnisés présentant un risque élevé de chômage de longu",3600000,1800000,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Agence Nationale Pour l'Emploi - Pôle Emploi","Accompagnement vers l'emploi des bénéficiares du PLIE",86958,86958,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","MANCHE / CHERBOURG","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Agence Nationale Pour l'Emploi - Pôle Emploi","Conseillers emploi RMI",400818.6,125619.2,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AIFCC","Travailleurs indépendants",116640.75,56103,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AIFCC","Travailleurs Indépendants 2009",121498.1,56455,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.I.F.S.T. Centre Horticole du Londel","Atelier Chantier d'insertion  Jardin des compagnons ",128176,50628,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS / CAEN / CAEN / CAEN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.I.F.S.T. Centre Horticole du Londel","Atelier chantier d'insertion  Londel Eco-environnement ",155749,66486,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS / CAEN / CAEN / CAEN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APEI Centre Manche","Ent'Raid de la Vallée de la Vire",12176,7851,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APEI Centre Manche","Handi-Foot Saint-Lô / Barcelone",24820,20320,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","MANCHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APPCMAN","12 parcours vers les métiers de demain : la vidéo pour convaincre",24995,19995,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","MANCHE / CHERBOURG","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AQM BASSE-NORMANDIE","Accompagnement vers la performance",186900,93450,"FEDER ","BASSE-NORMANDIE",,"PO FEDER 2007-2013","6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"AQM BASSE-NORMANDIE","Journée Régionale de l'Excellence - La compétence au service de l'Excellence",58000,29000,"FEDER ","BASSE-NORMANDIE",,"PO FEDER 2007-2013","6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ASSISE ORNE (ASSOCIATION POUR L'INSERTION SOCIALE POUR L'ECONOMIE DANS L'ORNE)","Création du restaurant d'insertion  Aux Goûts d'Ici et d'Ailleurs ",23000,18379,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","ORNE / ALENCON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association ALFAH","Professionnalisation des acteurs de formation et de l'insertion visant à faciliter l'accueil et la f",38570,19285,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Calvados Création","Dispositif Local d'Accompagnement sur le département du Calvados",226873,71250,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"Association Calvados Création","Dispositif Local d'Accompagnement sur le département du Calvados",283400,74400,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","CALVADOS","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"Association  Conquérants et Bâtisseurs ","Chantier  Bâtiment et Emplois Verts ",57326,28663,"FONDS SOCIAL EUROPEEN","BASSE-NORMANDIE","MANCHE / SAINT-LO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
