"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ABC","Location de logiciels ABC PLIE FSE - 2008",9120,3838,"FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR / DIJON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA MOBILIER","Acquisition d'un robot de laquage à l'eau",1046367,41854,"FEDER ","BOURGOGNE","YONNE / AUXERRE / MONETEAU / MONETEAU","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ACTIVE - Pôle de l'Economie Solidaire","Déployer la solidarité au service des initiatives individuelles et collectives",110664,47000,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ACTIVE - Pôle de l'Economie Solidaire","Déployer la solidarité : soutenons activement la création d'entrerpises",108482,47000,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ACYCLEA","Installation d'une unité de déconstruction et de broyage ",2138530,160000,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON / FONTAINE-LES-DIJON / MESSIGNY-ET-VANTOUX","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","44","Gestion des déchets ménagers et industriels"
"ADECCO FRANCE","ADECCO EVALUATION COGNITIVE ",8845,4423,"FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR / DIJON / DIJON-1ER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AEFTI 71","Action courte professionnalisante  Agent de propreté  2008",23100,17389,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / MACON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AEFTI 71","Action courte professionnalisante  Agent de propreté  2009",23202,17202,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / MACON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AEFTI 71","Apprentissage Linguistique et Insertion Professionnelle",78765,39382.5,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AEFTI 71","Apprentissage Linguistique et Insertion Professionnelle - ALIP",79655,39827,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AEFTI 71","Coordination de parcours 2008",41492,31224.5,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AEFTI 71","Coordination de parcours 2009",41190,27840,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / MACON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AEFTI 71","Formation linguistique professionnelle bâtiment 2008",12770,9420,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / MACON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA de l'Yonne","Chantier école pré-qualification bâtiment en maison d'arrêt à destination de détenus",39000,13653,"FONDS SOCIAL EUROPEEN","BOURGOGNE","YONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA Régionale","Chantier école pré-qualification bâtiment en Maison d'Arrêt à destination de détenus",39000,12451,"FONDS SOCIAL EUROPEEN","BOURGOGNE","YONNE / AUXERRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA Régionale","Gestion anticipatrice des compétences au service des entreprises de l'industrie nucléaire",720000,300000,"FONDS SOCIAL EUROPEEN","BOURGOGNE","Multilocalisation","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AFPA Régionale","Itinéraire de formation pour les personnes handicapées en recherche d'emploi (2007)",249464,124732,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA Régionale","Itinéraire de formation pour les personnes handicapées en recherche d'emploi (2008)",236686,118343,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AGEFOS PME","Subvention globale 2008/2010 - AGEFOS PME ",4858500,614000,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"Agence ATS","Outils et process d'authentification de produits - VITAGORA",962500,100000,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON / DIJON / DIJON","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Agence Nationale pour l'Emploi","Médiateur",26987,,"FONDS SOCIAL EUROPEEN","BOURGOGNE","YONNE / AUXERRE / AUXERRE / AUXERRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AGROPSUP (Institut National Supérieur des Sciences Agronomiques,de  l' Alimentation et de l'Environnement) ex ENESAD","Bâtiment  Longelles-Péjoces",2249600,610673,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"ALTER EGAUX","ALTER EGAUX Placement dynamique dans l'emploi",21498,10749,"FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR / DIJON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ALTER EGAUX","Placement dynamique dans l'emploi - Alter Egaux - 2008",19256,6508,"FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR / DIJON / DIJON / DIJON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Alterre Bourgogne","adaptation aux changements climatiques : évaluation de la réserve en eau à l'échelle des pédopaysages bourguignons",41663,19582,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Alterre Bourgogne","animation et outils du réseau bocage de Bourgogne",31350,11600,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Alterre Bourgogne","Centre de ressource régional QEB",201257,100628,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON / DIJON / DIJON","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Alterre Bourgogne","Evaluation du dispositif SFFERE",23800,9520,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"Alterre Bourgogne","Le défi: initiative  achats publics responsales ",50785,25392,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"Alterre Bourgogne","Mise en oeuvre d'une campagne de sensibilisation sur la biodiversité",49188,21859,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Alterre Bourgogne","Publication 2009 de la revue REPERES",78398,39199,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"Alterre Bourgogne","Publication et diffusion de 4 numéros de la revue Repères",74468,33510,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"Alterre Bourgogne","Tableau de bord de l'environnement en Bourgogne",25450,8400,"FEDER ","BOURGOGNE",,"PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"AMIDON 89","AMIDON",45170,33927,"FONDS SOCIAL EUROPEEN","BOURGOGNE","YONNE / AUXERRE / AUXERRE / AUXERRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Amis et compagnons d'emmaus","Installation d'une chaufferie bois automatisée - chaudière à broyats",161800,56630,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON / FONTAINE-LES-DIJON / NORGES-LA-VILLE","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","41","Energie renouvelable: biomasse"
"APH 21","Accompagnement financier des porteurs de projet 2008",154100,25000,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON / DIJON / DIJON","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"APH 21","Fonds de prêts 2008",1300000,45000,"FEDER ","BOURGOGNE","COTE-D´OR / DIJON / DIJON / DIJON","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"APH 71","FONCTIONNEMENT 2008 APH 71",61620,10000,"FEDER ","BOURGOGNE","SAONE-ET-LOIRE / CHALON-SUR-SAONE / CHALON-SUR-SAONE / CHALON-SUR-SAONE","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"APH 71","Fonds de prêt 2008 APH71",620000,30000,"FEDER ","BOURGOGNE","SAONE-ET-LOIRE / CHALON-SUR-SAONE / CHALON-SUR-SAONE / CHALON-SUR-SAONE","PROGRAMME OPERATIONNEL DU FEDER 2007-2013 BOURGOGNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"APOR","Accompagnateur de parcours des bénéficiaires du PLIE",21480,10680,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / AUTUN / AUTUN / AUTUN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APOR","Accompagnateur de parcours des bénéficiaires PLIE 2009",22764,13764,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / AUTUN / AUTUN / AUTUN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APOR","Des femmes dans l'industrie le bâtiment et le transport UN PARI POUR L AVENIR",19028,9028,"FONDS SOCIAL EUROPEEN","BOURGOGNE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APOR","Référent de parcours jeunes",41400,20700,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / CHALON-SUR-SAONE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APOR","S'engager vers l'emploi",19656,5000,"FONDS SOCIAL EUROPEEN","BOURGOGNE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APOR","S'engager vers l'emploi",19616,9808,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE / AUTUN / AUTUN / AUTUN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APOR","Unité Mobilité de Reclassement",134502,56148,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARIQ BTP","Accompagnement dans le cadre de l'ANRU 2008",5000,5000,"FONDS SOCIAL EUROPEEN","BOURGOGNE","YONNE / SENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARIQ BTP","Accompagnement et suivi des publics dans le cadre de la clause d'insertion du PRU",15145,7128,"FONDS SOCIAL EUROPEEN","BOURGOGNE","SAONE-ET-LOIRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARIQ BTP","Accompagnement sur la clause de promotion emploi - ARIQ - 2008",36902,16746,"FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR / DIJON / DIJON / DIJON","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARIQ BTP","Animation et développement du réseau Bourgogne entreprise d'accueil",37175,14500,"FONDS SOCIAL EUROPEEN","BOURGOGNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
