"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ACTA MOBILIER","Acquisition d'un robot de laquage à l'eau","1,046,367 €","41,854 €","FEDER ","BOURGOGNE","BOURGOGNE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ACYCLEA","Installation d'une unité de déconstruction et de broyage ","2,138,530 €","160,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"44","Gestion des déchets ménagers et industriels"
"AFPA de Saône et Loire","Mise en place d'une plateforme de travaux pratiques à distance sur machines virtuelles","44,992 €","22,496 €","FEDER ","BOURGOGNE","BOURGOGNE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"Agence ATS","Outils et process d'authentification de produits - VITAGORA","962,500 €","100,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"AGROSUP (Institut National Supérieur des Sciences Agronomiques,de  l' Alimentation et de l'Environnement) ","Bâtiment Champs Prévois","2,401,000 €","800,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"AGROSUP (Institut National Supérieur des Sciences Agronomiques,de  l' Alimentation et de l'Environnement) ","Bâtiment  Longelles-Péjoces","2,249,600 €","610,673 €","FEDER ","BOURGOGNE","BOURGOGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"AGROSUP (Institut National Supérieur des Sciences Agronomiques,de  l' Alimentation et de l'Environnement) ","Développement et mise en place d'une stratégie de communication et des outils appropriés pour la promotion d'AgroSup Dijon.","265,576 €","128,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Alterre Bourgogne","adaptation aux changements climatiques : évaluation de la réserve en eau à l'échelle des pédopaysages bourguignons","41,663 €","19,582 €","FEDER ","BOURGOGNE","BOURGOGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Alterre Bourgogne","animation et outils du réseau bocage de Bourgogne","31,350 €","11,600 €","FEDER ","BOURGOGNE","BOURGOGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Alterre Bourgogne","Centre de ressource régional QEB","201,257 €","100,628 €","FEDER ","BOURGOGNE","BOURGOGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
