"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Association AVENIR ENVIRONNEMENT","Chantier d'Insertion Sites et Patrimoine de Côte-d'Or 2008","712,369 €","90,144 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Départementale des Pupilles de l'Enseignement Public de Côte-d'or","Challenge pour l'Emploi : accompagnement vers l'emploi en milieu ordinaire de travail, de personnes handicapées par la maladie psychique","159,477 €","62,152 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Fédération Départementale des Foyers Ruraux","AGRO-BIO","592,064 €","55,000 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Fédération Départementale des Foyers Ruraux","AGRO-BIO","646,794 €","50,000 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Groupe Recherche Emplois Nouveaux","Chantier d'Insertion sur l'Arrondissement de MONTBARD","498,591 €","82,380 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association RESSOURCES","Mise en place d'un chantier d'insertion  INSER'VIGNE ","112,326 €","25,910 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association RESSOURCES","Mise en place d'un chantier d'insertion  LEZARDECO ","80,219 €","37,470 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association SENTIERS","Insertion sociale et professionnelle des publics en grande difficulté par le biais du chantier d'insertion","1,326,890 €","177,680 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association SENTIERS","Insertion  sociale et professionnelle des publics  par le biais du chantier d'insertion","1,485,867 €","165,295 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AVENIR ENVIRONNEMENT","Sites et Patrimoine Côte-d'Or 2007","686,942 €","85,610 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Boutique de Gestion de Côte-d'Or","Créer son entreprise en Côte-d'Or","103,059 €","33,012 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CER FRANCE COTE-d'OR - AGC 21","Accompagner le changement dans le cadre d'une fusion","105,654 €","36,979 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"CFA AGRICOLE FELIX KIR","Plan qualité RI 2007/2008 - Création et mise en oeuvre d'une formation individualisée","7,920 €","3,564 €","FONDS SOCIAL EUROPEEN","BOURGOGNE","COTE-D´OR","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
