"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ACTILAIT","Construction de méthodologies fromagères types ","330,900 €","132,360 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ACTILAIT","Développement des nouveaux outils de fromagerie expérimentale à RENNES","284,951 €","91,184 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ADRIA","Pour le développement d'outils de maîtrise de la qualité des denrées en industries agro-alimentaires ","369,193 €","118,141 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agence Française pour la Sécurité Sanitaire des Aliments","GDR FA2D - Alimentation animale et santé humaine","300,000 €","125,000 €","FEDER ","BRETAGNE","BRETAGNE",,"1","Activités R&DT dans centres de recherche"
"Agence Française pour la Sécurité Sanitaire des Aliments","GDR FA2D - Animaleries expérimentales de PLOUFRAGAN","2,300,000 €","460,000 €","FEDER ","BRETAGNE","BRETAGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Agence Française pour la Sécurité Sanitaire des Aliments","GDR FA2D - Pathologie des poissons d'élevage - Animaleries expérimentales de PLOUZANE","450,000 €","190,000 €","FEDER ","BRETAGNE","BRETAGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Agence Française pour la Sécurité Sanitaire des Aliments","GDR FA2D - Programme de recherche Nutrialgue","250,000 €","100,000 €","FEDER ","BRETAGNE","BRETAGNE",,"1","Activités R&DT dans centres de recherche"
"AGROCAMPUS OUEST CENTRE DE RENNES","Caractérisation d'in filtrat de culture de phytophthora infestans ayant des propriétés de protection des plantes, et test sur plante entière","77,050 €","30,820 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ARCHIPEL HABITAT","0925C0044 - Réhabilitation et transformation d'une chaufferie fioul en chaufferie bois/gaz","277,836 €","69,459 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"ARTHUR ET MARIE","0925C0360-Installation solaire photovoltaïque sur un bâtiment de la fabrique de jouets","177,378 €","15,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"Association Bretagne Grands Migrateurs","Evaluation des migrations et de l'état de la population d'anguilles sur le bassin du Frémur en 2009","50,115 €","20,046 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
