"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADALEA","Acces aux compétences clé - Lutte contre l'illettrisme -Atelier des savoirs fondamentaux LOUDEAC","42,983 €","13,000 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA - Direction régionale Bretagne","Pré-qualification aux métiers du bâtiment pour détenus","61,226 €","30,613 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APAJH - PYRAMIDE 22","Insertion et maintien en milieu ordinaire de travailleurs handicapés orientés milieu protégé","38,441 €","14,441 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"APAJH - PYRAMIDE 22","Insertion et maintien en milieu ordinaire de travailleurs handicapés orientés milieu protégé","48,083 €","24,000 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association BOUTIQUE DE GESTION COTES D'ARMOR","Soutenir la création et la reprise de très petites entreprises ","56,401 €","20,169 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Association Départementale Accueil Logement Emploi Ateliers d'insertion (ADALEA)","Atelier des savoirs fondamentaux de LOUDEAC","42,668 €","18,795 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association LES NOUELLES","Dispositif  mobil emploi  plate-forme départementale pour la remobilisation vers l'emploi des travai","136,879 €","34,220 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association LES NOUELLES","Dispositif  Mobil Emploi  plateforme départementale pour la remobilisation vers l'emploi des travailleurs handicapés","114,381 €","13,409 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Régie de Quartier de SAINT BRIEUC","Aide aux postes en entreprise d'insertion","38,724 €","16,383 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Régie de Quartier de SAINT BRIEUC","Entreprise d'insertion aide aux postes ","38,724 €","16,383 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Avant Premières","Accompagnement individualisé à la création ou reprise d'activité","160,521 €","47,421 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Avant Premières","Accompagnement individualisé à la création ou reprise d'activité","168,717 €","58,022 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CCI 22 - Chambre de Commerce et d'Industrie des Côtes d'Armor"," ARMOR SYNERGIE - Réseau Ressources Humaines ","96,500 €","34,500 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"CCI 22 - Chambre de Commerce et d'Industrie des Côtes d'Armor","sensibilisation, accueil, accompagnement et suivi des porteurs de projets , créateurs repreneur d'en","58,519 €","29,259 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CCI 22 - Chambre de Commerce et d'Industrie des Côtes d'Armor","Sensibilisation, accueil, accompagnement et suivi des porteurs de projets créateurs , repreneurs d'entreprise  et cédants ","51,658 €","25,829 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CCI 22 - Chambre de Commerce et d'Industrie des Côtes d'Armor","Sensiblisation, accueil, accompagnement et suivi des porteurs de projets : créateurs, repreneurs d'entreprises","73,065 €","35,053 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre d'Agriculture des Côtes d'Armor","Agricultrices de BRETAGNE: visibilité, égalité et responsabilité professionnelle","48,011 €","24,005 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Chambre d'Agriculture des Côtes d'Armor","Dispositif d'accompagnement de l'installation dans les COTES D'ARMOR (CEPPP- stage 21 heures)","91,783 €","36,114 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre d'Agriculture des Côtes d'Armor","Mise en oeuvre du stage de préparation à l'installation","78,951 €","32,000 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre d'Agriculture des Côtes d'Armor","Mise en oeuvre du stage de préparation à l'installation - Stage de 40 heures ","22,685 €","11,200 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre d'Agriculture des Côtes d'Armor","sensibiliser et informer les jeunes, les demandeurs d'emploi et les prescripteurs sur les métiers de la production agricole","46,843 €","23,422 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre de Métiers et de l'Artisanat des Côtes d'Armor","Accompagnement des créateurs, repreneurs et cédants d'entreprises artisanales ","73,862 €","36,931 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre de Métiers et de l'Artisanat des Côtes d'Armor","Accompagnement des créateurs, repreneurs et cédants d'entreprises artisanales ","119,682 €","59,841 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre de Métiers et de l'Artisanat des Côtes d'Armor","Devenir bouchère vous y avez pensé ?","4,832 €","2,416 €","FONDS SOCIAL EUROPEEN","BRETAGNE","COTES-D´ARMOR","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
