"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADASEA de l'Indre","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural","40,846 €","16,337 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de l'Indre","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural","30,941 €","12,376 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de l'Indre","2010 - Accompagner le renouvellement socio-économique des générations en milieu rural","30,480 €","12,192 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de l'Indre-et-Loire","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural","21,264 €","8,505 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de l'Indre-et-Loire","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural","30,460 €","12,184 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de l'Indre-et-Loire","2010 - Accompagner le renouvellement socio-économique des générations en milieu rural","28,801 €","11,521 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de Loir-et-Cher","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural","30,825 €","12,330 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de Loir-et-Cher","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural","29,889 €","11,955 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de Loir-et-Cher","2010 - Accompagner le renouvellement socio-économique des générations en milieu rural","32,037 €","12,815 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Cher","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural","40,875 €","16,350 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Cher","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural","31,075 €","12,430 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Cher","2010 - Accompagner le renouvellement socio-économique des générations en milieu rural","32,143 €","12,857 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Loiret","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural","45,812 €","18,325 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Loiret","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural","30,310 €","12,124 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Loiret","2010 - Accompagner le renouvellement socio-économique des générations en milieu rural","30,962 €","12,385 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AEROCENTRE","AEROCENTRE","660,000 €","260,000 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AFNOR - Association Française de Normalisation","Développer l'Eco-innovation dans les PME/PMI de la région Centre","220,846 €","81,673 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AFNOR - Association Française de Normalisation","Production au plus juste (Lean Sigma)","428,380 €","171,000 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AGENCE REGIONALE CENTRE CINEMA AUDIOVISUEL","Etude et réalisation d'un bouquet de chaînes et de services, offre audiovisuelle et multimédia sur la plateforme numérique régionale","400,000 €","100,000 €","FEDER ","CENTRE","CENTRE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","2008-2009 Création d'un centre régional de ressources pour l'innovation","1,167,968 €","583,984 €","FEDER ","CENTRE","CENTRE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","2009 - Projet de diffusion technologique","1,825,428 €","543,428 €","FEDER ","CENTRE","CENTRE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","ARCAD'IE","195,991 €","78,396 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","ARITT 2008 - PROGRAMME DE DIFFUSION DE L'INNOVATION EN REGION CENTRE ","1,888,874 €","722,254 €","FEDER ","CENTRE","CENTRE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"AGENCE REGIONALE POUR L INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ","BERRINNOV","524,533 €","137,518 €","FEDER ","CENTRE","CENTRE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
