"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Accueil et Promotion","Intégration Sociale et Professionnelle",78072.93,33994.77,"FONDS SOCIAL EUROPEEN","CENTRE","CHER / BOURGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Accueil et Promotion","Intégration Sociale et Professionnelle 2008",72963,29291,"FONDS SOCIAL EUROPEEN","CENTRE","CHER","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADASEA de l'Indre","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural",40846.03,16337,"FEDER ","CENTRE","INDRE / CHATEAUROUX","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de l'Indre","Accompagner le renouvellement socio-économique des générations en milieu rural",30941.08,12376.43,"FEDER ","CENTRE","INDRE","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de l'Indre-et-Loire","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural",21263.5,8505.4,"FEDER ","CENTRE","INDRE-ET-LOIRE / TOURS / CHAMBRAY-LES-TOURS / CHAMBRAY-LES-TOURS","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de l'Indre-et-Loire","2009 - Acompagner le renouvellement socio-économique des générations en milieu rural",30459.67,12183.86,"FEDER ","CENTRE",,"PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de Loir-et-Cher","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural",30825.04,12329.81,"FEDER ","CENTRE","LOIR-ET-CHER / BLOIS","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA de Loir-et-Cher","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural",29888.67,11955.46,"FEDER ","CENTRE","LOIR-ET-CHER","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Cher","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural",40875.03,16350,"FEDER ","CENTRE","CHER","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Cher","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural",31074.96,12429.98,"FEDER ","CENTRE","CHER","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Loiret","2008 - Accompagner le renouvellement socio-économique des générations en milieu rural",45812.12,18324.85,"FEDER ","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADASEA du Loiret","2009 - Accompagner le renouvellement socio-économique des générations en milieu rural",30310.29,12124.11,"FEDER ","CENTRE","LOIRET","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADEPEC MISSION LOCALE DE CHINON","2008 VAE PRC - ADEPEC MISSION LOCALE DE CHINON",20288.95,9130.03,"FONDS SOCIAL EUROPEEN","CENTRE","INDRE-ET-LOIRE / CHINON","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ADEPEC MISSION LOCALE DE CHINON","Accueil et accompagnement des jeunes vers le marché du travail",137446,50409,"FONDS SOCIAL EUROPEEN","CENTRE","INDRE-ET-LOIRE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"ADEPEP 36","Structuration de la plate forme départementale de lutte contre l'illettrisme de l'indre ",55000,27500,"FONDS SOCIAL EUROPEEN","CENTRE","INDRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.D.E.QUAT = Association de Développement Economique des QUArTiers","2008 - Mise en oeuvre d'actions d'insertion au profit des bénéficiaires du RMI",34903.8,17451.9,"FONDS SOCIAL EUROPEEN","CENTRE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
