"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"2 MAINS","Dispositif educatif novateur d'insertion sociale",74045,22425,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","MARNE / REIMS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AASEA","Chantiers d'initiation au travail 2008",241206,118191,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE / TROYES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACCUSTICA","ACCUSTICA - Actions de culture scientifique, technique et industrielle",140000,34000,"FEDER ","CHAMPAGNE-ARDENNE","MARNE / REIMS","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ACCUSTICA","ACCUSTICA - Coordination de la fête de la science 2009",76630,21000,"FEDER ","CHAMPAGNE-ARDENNE","MARNE / REIMS","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ACCUSTICA","Actions régionales de culture scientifique, animation du réseau CST (fonct. ACCUSTICA 2008)",130000,30000,"FEDER ","CHAMPAGNE-ARDENNE",,"PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ACCUSTICA","Coordination régionale de la Fête de la Science",79000,17300,"FEDER ","CHAMPAGNE-ARDENNE",,"PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADASEA 08 (ARDENNES)","Renouvellement des générations en agriculture",67285.18,17000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","ARDENNES","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ADASEA 10 (AUBE)","RENOUVELLEMENT DES GENERATIONS EN AGRICULTURE",21895,7000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ADASEA 51 (MARNE)","Renouvellement des générations en agriculture",76208,17000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","MARNE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ADASEA 52 (HAUTE-MARNE)","Renouvellement des générations en agriculture",64812.18,17000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ADFP BTP 08","CFA BATIMENT DES ARDENNES - MESURES QUALITES APPRENTISSAGE 2007",59430,23772,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ADFP BTP 08","CFA BATIMENT DES ARDENNES - MESURES QUALITES APPRENTISSAGE 2008",78250,28952,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ADVENTAGRI","Produit de pulvérisation",1970108,188000,"FEDER ","CHAMPAGNE-ARDENNE","MARNE / EPERNAY / FERE-CHAMPENOISE / HAUSSIMONT","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADVENTAGRI","Produit de pulvérisation",1200,1200,"FEDER ","CHAMPAGNE-ARDENNE","MARNE / EPERNAY / FERE-CHAMPENOISE / HAUSSIMONT","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","86","Evaluation et études; information et communication"
"ADVENTAGRI","Produit de pulvérisation",2200,,"FEDER ","CHAMPAGNE-ARDENNE","MARNE / EPERNAY / FERE-CHAMPENOISE / HAUSSIMONT","PO FEDER 2007-2013 OBJECTIF 2 CHAMPAGNE-ARDENNE","86","Evaluation et études; information et communication"
"AFOBAT 10","CFA BATIMENT DE L'AUBE - MESURES QUALITES APPRENTISSAGE 2008",555160,205409,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFOBAT 10","CFA BTP 10 - MESURES QUALITE APPRENTISSAGE 2009",539569,177195,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFOBAT 10","Mesures qualité apprentissage CFA BTP 10",516300,206520,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFPBTP","CFA BATIMENT 52 - Mesures qualite apprentissage 2008",237641,87927,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AGEFOS PME CHAMPAGNE ARDENNE","AGEFOS PME accompagnement-suivi-gestion - 2008",126668,31667,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","Aide à domicile - 2008",65896,26358.4,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","AIDE A DOMICILE ET EMPLOIS FAMILIAUX - 2009",135893,54357,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","ANTICIP'PME - 2009",64310,26872,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","Assistance technique FSE - 2008",13230,9261,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"AGEFOS PME CHAMPAGNE ARDENNE","Cité Cap - 2008",111935,33000,"FONDS SOCIAL EUROPEEN",,,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
