"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ACCUSTICA","ACCUSTICA - Actions de culture scientifique, technique et industrielle","140,000 €","34,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ACCUSTICA","ACCUSTICA - Coordination de la fête de la science 2009","76,630 €","21,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ACCUSTICA","Actions régionales de culture scientifique, animation du réseau CST (fonct. ACCUSTICA 2008)","130,000 €","30,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ACCUSTICA","Coordination régionale de la Fête de la Science","79,000 €","17,300 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADIE - ASSOCIATION POUR LE DROIT A L'INITIATIVE ECONOMIQUE","DEVELOPPEMENT DU MICROCREDIT EN CHAMPAGNE-ARDENNE","300,000 €","150,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"8","Autres investissements en entreprises"
"ADIT","Création d'une cellule d'intelligence économique ADIT Champagne-Ardenne","545,000 €","217,500 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"ADVENTAGRI","Produit de pulvérisation","1,970,108 €","188,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AEC RTS","ALERT","40,800 €","8,160 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"AEC RTS","DOMO-GRIP","124,660 €","29,918 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"AGENCE INTERDEPARTEMENTALE AUBE MARNE DE L'OFFICE NATIONAL DES FORETS","MISE EN OEUVRE DU PLAN DE GESTION DE LA RESERVE BIOLOGIQUE DIRIGEE DE VAUHALAISE","31,512 €","9,454 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
