Nom ou raison sociale du bénéficiaire,Intitulé du dossier, Montant du projet en coût total, Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégo- -risation,Libellé catégorisation
3W POINT,AAP Animation 2010 - P@M de Bastelicaccia," 29,116 € "," 12,520 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
3W POINT,AAP Animation - P@M de Bastelicaccia," 23,323 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
ACTIPLAN,Déploiement d'un réseau de mesures topographiques GPS/GPRS," 170,453 € "," 52,840 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Agence de l'Environnement et de la Maîtrise de l'Energie,Travaux de mise en sécurité de la mine d'amiante de Canari," 7,141,526 € "," 2,800,000 € ",FEDER ,CORSE,CORSE,,44,Gestion des déchets ménagers et industriels
ANDREANI MARC,DEPROG - installation de panneaux photovoltaïques raccordés au réseau en toiture d'un hangar agricole," 139,742 € "," 24,560 € ",FEDER ,CORSE,CORSE,,40,Energie renouvelable: én. solaire
ANDREANI MARC,DEPROG : installation de panneaux photovoltaïques raccordés au réseau en toiture d'un hangar agricole," 108,223 € "," 18,890 € ",FEDER ,CORSE,CORSE,,40,Energie renouvelable: én. solaire
APII,AAP Animation 2010 - P@M de Ventiseri," 36,252 € "," 15,588 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
APII,AAP Animation - P@M de Ventiseri," 30,043 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
ARCOPLAGE,AAP Corsica Hotspot 2009: SARL Arcoplage," 9,766 € "," 4,883 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
A Rinascita Di U Vechju Corti,AAP Animation 2010 - P@M de Corté," 33,491 € "," 14,401 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
A Rinascita Di U Vechju Corti,AAP Animation - P@M de Corté," 15,355 € "," 11,516 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association ALPHA,AAP Animation - P@M de Lupino," 22,285 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association Canton de Calenzana.Com,AAP Animation 2010 - P@M calenzana/montegrosso - Animation des sites," 29,479 € "," 12,676 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association du festival du film européen de Lama,AAP Animation 2010: P@M de Lama," 17,339 € "," 7,456 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association falep 2B,AAP Animation - P@M de la FALEP 2B," 11,847 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association FRESC,AAP Animation 2010 - P@M de Petreto-Bicchisano," 47,154 € "," 17,437 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association Le Relais,AAP Animation - P@M du Vénacais," 8,119 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association OPRA,AAP Animation 2010 - P@M de Paese Novu," 27,295 € "," 11,737 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association OPRA,AAP Animation - P@M de Paese Novu," 19,252 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Association pour le droit à l'initiative économique,Abondement au fond local au prêt d'honneur pour l'octroi à des publics défavorisés," 80,000 € "," 40,000 € ",FEDER ,CORSE,CORSE,,5,Services de soutien avancé aux sociétés et groupes de sociétés
ASSOCIATION U FIUM'ALTU,AAP Animation 2010 - P@M de Folelli," 37,961 € "," 16,323 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
ASSOCIATION U FIUM'ALTU,AAP Animation - P@M de Folelli," 32,493 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
BARENER,Installation de panneaux photovoltaïques raccordés au réseau sur la toiture d'un hangar agricole," 101,333 € "," 20,520 € ",FEDER ,CORSE,CORSE,,40,Energie renouvelable: én. solaire
BEISSY Jean Guy,Installation de panneaux photovoltaïques raccordés au réseau en toiture d'un bâtiment de l'exploitation," 113,582 € "," 18,620 € ",FEDER ,CORSE,CORSE,,42,"Energie renouvelable: én. hydroélectrique, géothermique et autre"
BEISSY Jean Guy,Installation photovoltaïque raccordée au réseau en toiture d'un bâtiment de l'exploitation," 47,702 € "," 11,730 € ",FEDER ,CORSE,CORSE,,40,Energie renouvelable: én. solaire
BORGO MATERIEL LOCATION,INSTALLATION PHOTOVOLTAIQUE RACCORDEE AU RESEAU EN TOITURE DE DEUX BATIMENTS," 335,397 € "," 44,055 € ",FEDER ,CORSE,CORSE,,40,Energie renouvelable: én. solaire
CAPA,Réalisation d'une orthophotographie du territoire communautaire," 41,806 € "," 20,903 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
CCI DE BASTIA ,AAP Animation - CCI 2B," 29,881 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
CCI DE BASTIA ,Dispositif d'appropriation et modalités de mise en oeuvre du développement durable par le secteur entrepreneurial," 450,000 € "," 225,000 € ",FEDER ,CORSE,CORSE,,40,Energie renouvelable: én. solaire
CCSTI A Meridiana,"Diffusion de la culture scientifique, technique et industrielle (2010)"," 306,656 € "," 153,156 € ",FEDER ,CORSE,CORSE,,59,Développement d'infrastructures culturelles
CCSTI A Meridiana,"DIFFUSION DE LA CULTURE SCIENTIFIQUE, TECHNIQUE ET INDUSTRIELLE EN REGION CORSE (2009) dont le but est de favoriser l'accès au plus grand nombre à la connaissance des sciences et techniques sur la base des 4 axes définis dans les postes de dépenses "," 317,500 € "," 150,000 € ",FEDER ,CORSE,CORSE,,59,Développement d'infrastructures culturelles
Centre Culturel Laurent Casanova,AAP Animation - P@M de Sartene," 15,454 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Construction d'un bâtiment BBC pour l'Institut d'Etude Scientifique de Cargèse," 249,900 € "," 99,960 € ",FEDER ,PROVENCE-ALPES-COTE D´AZUR,PROVENCE-ALPES-COTE D´AZUR,,40,Energie renouvelable: én. solaire
Centre Régional Information Jeunesse de Corse,AAP Animation 2010 - P@M du CRIJ Antenne d'Ajaccio," 18,785 € "," 8,077 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Centre Régional Information Jeunesse de Corse,AAP Animation - P@M du CRIJ Ajaccio," 15,839 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Centre Régional Information Jeunesse de Corse,AAP Animation - P@M du CRIJ Bastia," 18,494 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
Centre U Borgu,AAP Animation - Centre U Borgu," 9,248 € ",,FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
CHAMBRE DE METIERS DE HAUTE-CORSE,Mise en oeuvre du dispositif @CTIC," 87,970 € "," 61,863 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
CHAMBRE DE METIERS DE LA CORSE DU SUD,"Formation, sensibilisation et information des actifs de l'Artisanat dans le cadre de la récupération des fluides frigorigènes"," 166,860 € "," 83,430 € ",FEDER ,CORSE,CORSE,,44,Gestion des déchets ménagers et industriels
CHAMBRE REGIONALE DE METIERS DE LA CORSE,MISE EN OEUVRE DU DISPOSITIF @ctic," 138,754 € "," 66,364 € ",FEDER ,CORSE,CORSE,,11,Technologies de l'information et la communication (...)
CHAMBRE REGIONALE DE METIERS DE LA CORSE,Opération mécanique navale," 90,552 € "," 45,276 € ",FEDER ,CORSE,CORSE,,44,Gestion des déchets ménagers et industriels
CHERUBIN Pascale,Installation de panneaux photovoltaïques raccordés au réseau en toiture d'un hangar agricole," 84,000 € "," 15,120 € ",FEDER ,CORSE,CORSE,,40,Energie renouvelable: én. solaire
