"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"3W POINT","AAP Animation - P@M de Bastelicaccia",23323.1,,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO-7E / BASTELICACCIA","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"ACTIPLAN","Déploiement d'un réseau de mesures topographiques GPS/GPRS",170453,52840.43,"FEDER ","CORSE",,"PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"ADPEP de Corse du Sud","ADPEP 2A Programme d'accompagnement des élèves des sections d'accès au sport de haut niveau",20235,10117.5,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"Agence de l'Environnement et de la Maîtrise de l'Energie","Travaux de mise en sécurité de la mine d'amiante de Canari",7141525.6,2800000,"FEDER ","CORSE","HAUTE-CORSE / BASTIA / SAGRO-DI-SANTA-GIULIA / CANARI","PO  FEDER Corse 2007-2013","44","Gestion des déchets ménagers et industriels"
"APII","AAP Animation - P@M de Ventiseri",30043,,"FEDER ","CORSE","HAUTE-CORSE / CORTE / PRUNELLI-DI-FIUMORBO / VENTISERI","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"A Rinascita Di U Vechju Corti","AAP Animation - P@M de Corté",15355,11516,"FEDER ","CORSE","HAUTE-CORSE / CORTE / CORTE / CORTE","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"ARSEA FORMATION","Accueil et accompagnement social et professionnel",13169,13169,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARSEA FORMATION","ACCUEIL ET ACCOMPAGNEMENT SOCIAL ET PROFESSIONNEL",10973,10973,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARSEA Insertion","Chantier insertion pour le recyclage d'ordinateurs",255320,,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARSEA Insertion","Chantier insertion pour le traitement d'espaces verts",144344,,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Ascore Consultants","RENFORCEMENT DU DISPOSITIF DE CREATION D'ENTREPRISE POUR LE PUBLIC TH",9800,9800,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Ascore Consultants","Renforcement du dispositif de création d'entreprise pour le public TH",9800,9800,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association ALPHA","AAP Animation - P@M de Lupino",22285,,"FEDER ","CORSE","HAUTE-CORSE / BASTIA / BASTIA / BASTIA","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"Association a Murza","Accueil et accompagnement des travailleurs handicapés",24000,24000,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association a Murza","ACCUEIL ET ACCOMPAGNEMENT SOCIAL ET PROFESSIONNEL DES TRAVAILLEURS HANDICAPES",23800,23800,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association A TERRA VERDE","Jardin de Cocagne - Chanier d'Insertion",46500,23250,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association falep 2B","AAP Animation - P@M de la FALEP 2B",11846.74,,"FEDER ","CORSE","HAUTE-CORSE / BASTIA / BASTIA / BASTIA","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"ASSOCIATION INSERTION SUD CORSE","APPUI SOCIAL INDIVIDUALISE",48010,24005,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Le Relais","AAP Animation - P@M du Vénacais",8118.7,,"FEDER ","CORSE","Multilocalisation","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"Association OPRA","AAP Animation - P@M de Paese Novu",19251.87,,"FEDER ","CORSE","HAUTE-CORSE / BASTIA / BASTIA / BASTIA","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"Association pour le droit à l'initiative économique","Abondement au fond local au prêt d'honneur pour l'octroi à des publics défavorisés",80000,40000,"FEDER ","CORSE",,"PO  FEDER Corse 2007-2013","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association pour le droit à l'initiative économique","Accompagnement et financement par du micro crédit de projets de création d'entreprise",32000,,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association pour le droit à l'initiative économique","Mise en oeuve et développement d'une action d'accompagnement de projets de création de microentreprises par des personnes en situation d'exclusion",134847,67423,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Association SIGMA FORMATION","ATELIER DE PEDAGOGIE PERSONNALISEE",38070,19000,"FONDS SOCIAL EUROPEEN","CORSE","HAUTE-CORSE / CORTE / GHISONI / GHISONACCIA","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association SIGMA FORMATION","Atelier de pédagogie personnalisée de Ghisonaccia",38070,19000,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION U FIUM'ALTU","AAP Animation - P@M de Folelli",32493.07,,"FEDER ","CORSE","HAUTE-CORSE / BASTIA / VESCOVATO / PENTA-DI-CASINCA","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
