"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"A B A P E","Aménagement d'une brasserie solidaire","208,390 €","62,517 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"8","Autres investissements en entreprises"
"ADDOS EURL","Business plan PME","180,900 €","56,394 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"AFOBAT DE FRANCHE-COMTE","Extension et équipements du CFA VAUBAN du Bâtiment de Franche-Comté","1,018,933 €","407,673 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGENCE DE DEVELOPPEMENT ET D'URBANISME DU PAYS DE MONTBELIARD","Création dun Groupe de Prospective numérique en Franche-Comté","223,300 €","111,650 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"11","Technologies de l'information et la communication (...)"
"AJENA","Mise en oeuvre du programme PACTES Energie","480,340 €","226,766 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"54","Autres mesures pour protéger l'environnement et prévenir les risques"
"ALLIZE PLASTURGIE FRANCHE COMTE","ACTIONS COLLECTIVES PLASTURGIE FRANCHE-COMTE 2010","580,090 €","290,045 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"AMENOPHIS COSMETICS SARL","création d'un dispositif thérapeutique à atmosphère modifié","780,391 €","118,246 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ASSOCIATION DEPARTEMENTALE POUR LE DEVELOPPEMENT ET L'INITIATIVE DE LA MUSIQUE (ADDIM)","mise en oeuvre d'un projet expérimental de développement culturel attaché à la Bulle à spectacle","360,208 €","140,041 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"60","Autres aides à l'amélioration des services culturels"
"ASSOCIATION DEVELOPPEMENT FORET ET INDUSTRIES DU BOIS EN FC (ADIB)","Actions collectives 2008 en faveur des scieries 2ème tranche 2008","193,189 €","60,933 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ASSOCIATION DEVELOPPEMENT FORET ET INDUSTRIES DU BOIS EN FC (ADIB)","Actions collectives en faveur de la construction bois menuiserie charpente","255,926 €","68,278 €","FEDER ","FRANCHE-COMTE","FRANCHE-COMTE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
