"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADDSEA - SIAMB","Accompagnement de jeunes et adultes rencontrant des difficultés dans leur insertion socio-professionnelle - Besançon","111,424 €","20,000 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION DE GESTION DU CFA DE MONTBELIARD","ACCOMPAGNEMENT DES MUTATIONS ECONOMIQUES, SOCIALES ET DEMOGRAPHIQUES AU FONCTIONNEMENT DE L'APP DE MONTBELIARD ","140,149 €","49,114 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen",,
"ASSOCIATION DEPARTEMENTALE POUR LA FORMATION ET LE PERFECTIONNEMENT DES AGRICULTEURS ET DES SALARIES DE L'AGRICULTURE ADFPA","ACCOMPAGNEMENT DES PORTEURS DE PROJETS CREATEURS ET REPRENEURS D'ENTREPRISES OU ACTIVITES AGRICOLES","378,798 €","164,300 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ASSOCIATION INSERTION SOCIALE ET PROFESSIONNELLE DES JEUNES BASSIN D'ORNANS","ACCOMPAGNEMENT RENFORCE DES JEUNES A BAS NIVEAU DE QUALIFICATION","32,473 €","7,200 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"ASSOCIATION INSERTION SOCIALE ET PROFESSIONNELLE DES JEUNES BASSIN D'ORNANS","ACCOMPAGNEMENT RENFORCE DES JEUNES A BAS NIVEAU DE QUALIFICATION","35,570 €","7,200 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"ASSOCIATION JULIENNE JAVEL","Action de formation à l'employabilité et à la production","311,969 €","124,788 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION POUR LA FORMATION PROFESSIONELLE DES ADULTES (AFPA)","Chantier ecole- préparatoire aux métiers du bâtiment pour les détenus de la maison d'arrêt de Besançon","57,000 €","28,500 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CHAMBRE DE METIERS du DOUBS (CM25)  ","PROGRAMME D'ACCOMPAGNEMENT DES PORTEURS DE PROJET DANS LA CREATION D'ACTIVITE VIA LE STATUT D'AUTO-ENTREPRENEUR","75,759 €","37,879 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CIBC","Accompagnement vers l'emploi et la sortie public de la maison d'arrêt de Besançon","33,550 €","16,775 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CIDFF DU DOUBS","SOUTIEN A LA REPRISE D'ACTIVITE PROFESSIONNELLE DES FEMMES : ACCOMPAGNEMENT GLABAL ET MOBILITE","56,922 €","20,000 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"CIDFF DU DOUBS","Soutien à la reprise d'activité professionnelle des femmes : accompagnement global et mobilité","48,500 €","18,000 €","FONDS SOCIAL EUROPEEN","FRANCHE-COMTE","DOUBS","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
