"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"2ème RSMA","FORMATION PROFESSIONNELLE 2009",4676400,3240000,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"2ème RSMA","Formation Professionnelle 2RSMA 2008",4604400,3240000,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Achipel des Sciences","Fête de la Science 2008",102500,32440,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / LAMENTIN / LAMENTIN","Programme Opérationnel FEDER 2007-2013","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADIE","Mise en oeuvre et développement d'une action d'accompagnement de projets de création de microentreprises par des personnes en situation d'exclusion ",80950,44650,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFRP - ASSOCIATION DE FORMATION POUR LA REUSSITE PROFESSIONNELLE","LUTTE CONTRE L'ILLETTRISME 2008-2009",79650,47790,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / BASSE-TERRE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Agence De l'Environnement et de la Maîtrise de l'Energie (ADEME)","Budget n° 01 AT FEDER - subvention globale Ademe années 2008 et 2009",149335,112000,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"AGFBP - ASSOCIATION GUADELOUPEENNE DE FORMATION DE BASE ET PROFESSIONNELLE","Lutte contre l'illettrisme 2008-2009",89400,53640,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / MORNE-A-L'EAU 1ER CANTON","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ANGOT BRUNO","CONSTRUCTION DE GITES - COULEUR VANILLE",173707.01,79905.22,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / SAINT-FRANCOIS / SAINT-FRANCOIS","Programme Opérationnel FEDER 2007-2013",,
"ANTILLES ACIER ARMATURE","Acquisition de matériels pour la transformation industriel de l'acier en produits fini",184272.9,92136,"FEDER ","GUADELOUPE","GUADELOUPE","Programme Opérationnel FEDER 2007-2013",,
"Antilles Environnement Recyclage","Acquisition d'une presse de cisaille hydraulique",650574.97,305770.23,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / LAMENTIN / LAMENTIN","Programme Opérationnel FEDER 2007-2013","44","Gestion des déchets ménagers et industriels"
"ANTILLES ON LINE SAS","Réalisation d'une plate-forme guadeloupéenne de tourisme électronique",1250781.45,750468.87,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / SAINT-FRANCOIS / SAINT-FRANCOIS","Programme Opérationnel FEDER 2007-2013",,
"ASSOCIATION AGOUTI","APP 2008",54240,21696,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Association Plénitude  Formation","Lutte contre l'illettrisme 2008 - 2009",74250,44550,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / ANSE-BERTRAND / PORT-LOUIS","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ATELIER  HORIZON - POLE DE COMPETENCES (AHPC)","ACTION ILLETTRISME DETENUS BAIE MAHAULT 2008",66000,52800,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ATELIER  HORIZON - POLE DE COMPETENCES (AHPC)","ACTION ILLETTRISME DETENUS BASSE TERRE 2008",39000,31200,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / BASSE-TERRE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ATELIER  HORIZON - POLE DE COMPETENCES (AHPC)","Apprentissages de base et informatique (lutte contre l'illettrisme) 2008 - 2009",66000,39600,"FONDS SOCIAL EUROPEEN","GUADELOUPE",,"Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ATI  -  REUSSITE SCOLAIRE","LUTTE CONTRE L'ILLETTRISME 2008-2009",74250,44550,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"BERVILLE Pascal","Création d'une structure d'hébergement touristique",275511.57,126735,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"BRISE OCEANE BUNGALOWS","Création d'un hôtel",304325.44,139990,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"BSH SARL","Equipement et aménagement d'une supérette",789499.44,244744.83,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / POINTE-A-PITRE / LES ABYMES","Programme Opérationnel FEDER 2007-2013",,
"CARIF-OREF Guadeloupe - Maison Régionale de la Formation et de l'Emploi","ACTIVITES DU CARIF OREF 2008",600000,300000,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BASSE-TERRE 1ER CANTON","Programme Opérationnel FSE 2007-2013","65","Modernisation et renforcement des institutions du marché du travail"
"CEGESERV","EQUIPEMENT ET AMENAGEMENT D'UNE BLANCHESSERIE",103928.51,51964.26,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / SAINT-FRANCOIS / SAINT-FRANCOIS","Programme Opérationnel FEDER 2007-2013",,
"CEGESPA","AMENAGEMENT ET EQUIPEMENT D'UN SPA",232684.87,116342.43,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / SAINT-FRANCOIS / SAINT-FRANCOIS","Programme Opérationnel FEDER 2007-2013",,
"CEI BA  SA","Accompagnement des migrations technologiques et des conduites au changement - Formation 2008",208161,124896.6,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"CEI BA  SA","Développement de services innovants, bénéficiant de transfert de technologie visant à la sécurisation des activités portuaires : ADEMAR - PROTIS",1076770,689132.8,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BAIE-MAHAULT / BAIE-MAHAULT","Programme Opérationnel FEDER 2007-2013",,
"CELLULE EUROPE","AUDIT FONDS DOM GUADELOUPE",40000,40000,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"CELLULE EUROPE","Bilan de la mise en oeuvre des critères d'éco-conditionnalité sur les années 2007, 2008 et 2009 du programme FEDER 2007-2013",20000,20000,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"CELLULE EUROPE","BUDGET 01 FEDER",1502300,1231886,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BASSE-TERRE / BASSE-TERRE","Programme Opérationnel FEDER 2007-2013","82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
