"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"2ème RSMA","Achat d'engins de travaux publics au profit du Centre de Formation aux Métiers de travaux publics","340,500 €","194,085 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"ACAJOU ALTERNATIVES","Création d'une plateforme de services en ligne","208,008 €","133,125 €","FEDER ","GUADELOUPE","GUADELOUPE",,"10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"Agence De l'Environnement et de la Maîtrise de l'Energie (ADEME)","Budget n° 01 AT FEDER - subvention globale Ademe années 2008 et 2009","149,335 €","112,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"AGENCE FRANCAISE DE DEVELOPPEMENT","FONDS DOM 2009 / 2010","3,360,000 €","960,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"ANGOT BRUNO","CONSTRUCTION DE GITES - COULEUR VANILLE","173,707 €","79,905 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"ANTILLES ACIER ARMATURE","Acquisition de matériels pour la transformation industrielle de l'acier en produits finis","184,273 €","92,136 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Antilles Environnement Recyclage","Acquisition d'une presse de cisaille hydraulique","650,575 €","305,770 €","FEDER ","GUADELOUPE","GUADELOUPE",,"44","Gestion des déchets ménagers et industriels"
"Antilles Environnement Recyclage","Aides aux intrans 2007","86,061 €","43,030 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Antilles Environnement Recyclage","Aides aux intrans 2008","197,888 €","98,944 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"Antilles Environnement Recyclage","Extension plateforme AER et construction d'un atelier de démantèlement DEEE et de Recyclage du verre","5,280,558 €","2,481,862 €","FEDER ","GUADELOUPE","GUADELOUPE",,"44","Gestion des déchets ménagers et industriels"
"ANTILLES ON LINE SAS","Réalisation d'une plate-forme guadeloupéenne de tourisme électronique","1,250,781 €","750,469 €","FEDER ","GUADELOUPE","GUADELOUPE",,"10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"Archipel des Sciences","FETE DE LA SCIENCE 2009","82,653 €","11,955 €","FEDER ","GUADELOUPE","GUADELOUPE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Archipel des Sciences","Renforcement des actions et du réseau de culture scientifique sur le territoire guadeloupéen","279,578 €","165,578 €","FEDER ","GUADELOUPE","GUADELOUPE",,"59","Développement d'infrastructures culturelles"
"Beau Comme les Antilles","Guide de la maison écologique en Guadeloupe","218,221 €","60,769 €","FEDER ","GUADELOUPE","GUADELOUPE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"BERVILLE Pascal","Création d'une structure d'hébergement touristique","275,512 €","126,735 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"BIOMETAL GUADELOUPE","Aide aux intrants 2007","398,098 €","199,049 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"BIOMETAL GUADELOUPE","Aide aux intrants 2008","787,004 €","393,502 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"BOURRELY Richard , Francis,Jean","Construction & Aménagements de gîtes touristiques","139,380 €","64,115 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"BRISE OCEANE BUNGALOWS","Création d'un hôtel","304,325 €","139,990 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"BSH SARL","Equipement et aménagement d'une supérette","789,499 €","244,745 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CARAIBE CARRELAGE ET MATERIAUX","Aménagement et Equipements d'un  commerce de produits de revêtements de sols","651,680 €","325,840 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CEGESERV","EQUIPEMENT ET AMENAGEMENT D'UNE BLANCHESSERIE","103,929 €","51,964 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CEGESPA","AMENAGEMENT ET EQUIPEMENT D'UN SPA","278,276 €","139,138 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CEGESTOUR","Equipement d'une structure d'hébergement tourisrique en NTIC","92,053 €","55,232 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CEI BA  SA","Développement de services innovants, bénéficiant de transfert de technologie visant à la sécurisation des activités portuaires : ADEMAR - PROTIS","1,076,770 €","689,133 €","FEDER ","GUADELOUPE","GUADELOUPE",,"10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"CELLULE EUROPE","Assistance technique de gestion du fonds FEDER","904,224 €","904,224 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CELLULE EUROPE","AUDIT FONDS DOM GUADELOUPE","40,000 €","40,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CELLULE EUROPE","Bilan de la mise en oeuvre des critères d'éco-conditionnalité sur les années 2007, 2008 et 2009 du programme FEDER 2007-2013","22,427 €","22,427 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CELLULE EUROPE","BUDGET 01 FEDER","1,502,300 €","1,231,886 €","FEDER ","GUADELOUPE","GUADELOUPE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"CENTRE DE COOPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","AGROECOTROP","477,549 €","339,060 €","FEDER ","GUADELOUPE","GUADELOUPE",,"1","Activités R&DT dans centres de recherche"
"CENTRE DE COOPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","CANN'ELEC OU L'ELECTRICITE VERTE","1,228,667 €","1,044,367 €","FEDER ","GUADELOUPE","GUADELOUPE",,"1","Activités R&DT dans centres de recherche"
"CENTRE DE COOPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","CARAMBA","682,411 €","498,160 €","FEDER ","GUADELOUPE","GUADELOUPE",,"1","Activités R&DT dans centres de recherche"
"CENTRE DE COOPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","Gestion des risques en santé animale et végétale","1,127,000 €","795,820 €","FEDER ","GUADELOUPE","GUADELOUPE",,"1","Activités R&DT dans centres de recherche"
"CENTRE DE COOPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","VALEIXBIOTROP","1,449,369 €","1,029,052 €","FEDER ","GUADELOUPE","GUADELOUPE",,"1","Activités R&DT dans centres de recherche"
"CENTRE HOSPITALIER DE BASSE-TERRE","2 ème Tranche du nouvel hôpital de BASSE-TERRE - Construction du bâtiment des médecines- Mise aux normes para-sismiques","7,532,924 €","3,766,462 €","FEDER ","GUADELOUPE","GUADELOUPE",,"76","Infrastructures pour la santé"
