"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADIE","Mise en oeuvre et développement d'une action d'accompagnement de projets de création de microentreprises par des personnes en situation d'exclusion ","80,950 €","44,650 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AIR CARAIBES","DEMARCHE COMPETENCES ","1,857,836 €","882,954 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ASSOCIATION AGOUTI","APP 2008","54,240 €","21,696 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ATI  -  REUSSITE SCOLAIRE","LUTTE CONTRE L'ILLETTRISME 2008-2009","74,250 €","44,550 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CARIF-OREF Guadeloupe - Maison Régionale de la Formation et de l'Emploi","Information sur la formation professionnelle et accompagnement des mutations économiques - CARIF-OREF 2009-2010","1,200,000 €","600,000 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","65","Modernisation et renforcement des institutions du marché du travail"
"CEI BA  SA","Accompagnement des migrations technologiques et des conduites au changement - Formation 2008","208,161 €","124,897 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"CENTRE DE FORMATION MARITIME ET INDUSTRIELLE LOUIS DOULDAT","CAP COMPOSITES PLASTIQUES ET CHAUDRONNES CYCLE 2 - DETENUS BM 2008","96,194 €","76,955 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CENTRE INTERPROFESSIONNEL DE SANTE AU TRAVAIL (CIST) ","PLAN DE FORMATION 2008","113,377 €","90,702 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Centre Régional Information Jeunesse Guadeloupe ( CRIJ Guadeloupe)","Accueil - Information - Orientation du public jeune 2008_2009","365,426 €","209,053 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","65","Modernisation et renforcement des institutions du marché du travail"
"Cité des métiers de Guadeloupe","FONCTIONNEMENT CITE DES METIERS 2008-2009","401,262 €","200,631 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","65","Modernisation et renforcement des institutions du marché du travail"
"Collège Rémy Nainsouta - Académie de la Guadeloupe","Lutter contre l'échec scolaire et prévenir les sorties prématurées sans qualification 2008-2011","7,683,987 €","5,762,990 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Collège Rémy Nainsouta - Académie de la Guadeloupe","Sections euro-caribéennes - Mobilité et périodes de formation en milieu professionnel en lycées 2008-2011","2,248,314 €","1,686,237 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"COMMUNE DE SAINTE-ANNE","LUMIERES SUR DOUVILLE","34,777 €","20,492 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CONSEIL REGIONAL DE LA GUADELOUPE","Assistance Technique FSE Subvention globale Conseil régional - Budget 01 2008-2009","480,174 €","408,148 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","85","Préparation, mise en oeuvre, suivi et inspection "
"FONGECIF GUADELOUPE","Congé Individuel de Formation 2007-2008","3,792,260 €","2,844,194 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"GARDEL SA","PLAN DE FORMATION INTRA-ENTREPRISE 2007-2008","559,193 €","311,227 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"GIP DAIFI (Dispositif Académique d'Insertion, de Formation et d'Ingénierie)","ANIMATION PEDAGOGIQUE IRILL 2008/2009","124,000 €","49,600 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"GIP DAIFI (Dispositif Académique d'Insertion, de Formation et d'Ingénierie)","Animation régionale des APP 2008/2009","94,457 €","56,674 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"GIP DAIFI (Dispositif Académique d'Insertion, de Formation et d'Ingénierie)","Insertion professionnelle des assistants d'éducation 2008-2011","526,487 €","328,376 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"GRETA de Basse-Terre","LUTTE CONTRE L'ILLETTRISME 2008-2009","168,000 €","117,600 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"GUADELOUPE ACTIVE","Accompagnement à la création d'entreprises 2007-2008","339,442 €","257,442 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","68","Aide au travail indépendant et à la création d'entreprise"
"IDRH -INNOVATION ET DEVELOPPEMENT DES RESSOURCES HUMAINES","ACCOMPAGNEMENT A LA SOCIALISATION","55,873 €","43,373 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"IDRH -INNOVATION ET DEVELOPPEMENT DES RESSOURCES HUMAINES","MOBILISATION JEUNES DETENUS BM 2008","37,986 €","30,389 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"IDRH -INNOVATION ET DEVELOPPEMENT DES RESSOURCES HUMAINES","PREPARATION A LA SORTIE - DETENUS BM 2008","59,094 €","47,275 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ITREMA","INITIATION EN INFORMATIQUE BUREAUTIQUE ET INFOGRAPHIE - DETENUS BASSE TERRE 2008","89,895 €","62,927 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ITREMA","INITIATION EN INFORMATIQUE BUREAUTIQUE ET INFOGRAPHIE - DETENUS - BASSE TERRE 2009","74,820 €","44,892 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ITREMA","INITIATION EN INFORMATIQUE BUREAUTIQUE ET INFOGRAPHIE - DETENUS BM 2008","89,895 €","44,948 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"MORAL CARAIBES","Plan de formation 2008","38,277 €","22,967 €","FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
