"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"3ème Régiment du Service Militaire Adapté","Actions de formation et d'insertion 3ème RSMA 2007",876000,657000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTIVITE CONSEIL Boutique de gestion","UFB2 2008 CAYENNE ",107440,59740,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ADC GUYANE","Mise en place d'un intranet clients",27327.9,16000,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013",,
"ADEME-Délegation Régionale de Guyane","Etude de faisabilité technico economique de la filière huile végétale carburant",114230,50000,"FEDER ","GUYANE","GUYANE","PO FEDER GUYANE 2007-2013",,
"ADI","Agence Départementale d'Insertion - mise en oeuvre des actions de formation dans le cadre du PDI 200",745207.42,372603.71,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADI","Agence Départementale d'Insertion - mise en oeuvre des actions de formation dans le cadre du PDI 2008/2009",366913.81,249430.43,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADIE","ADIE 2007  appui et accompagnement aux porteurs de projets de micro entreprises, bénéficiaires en si",126541,55000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE",,
"ADIE","ADIE 2008  appui et accompagnement aux porteurs de projets de micro entreprises, bénéficiaires en situation d'exclusion ",113693,50000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE",,
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","AFPA Guyane  PREFOB 2007-2013 / CICEB de Matoury 2008",261019,182519,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / MATOURY / MATOURY","PO FSE GUYANE","70","Actions spécifiques pour renforcer la participation des migrants sur le marché du travail..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","AFPA Guyane  PREFOB 2007-2013 / UFB de Kourou 2008",155769,115269,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
