"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"2F ASSOCIES/DECO&QUARTZ","Atelier de façonnage de pierres naturelles et matériaux similaires","16,237 €","8,120 €","FEDER ","GUYANE","GUYANE",,,
"ADC GUYANE","Mise en place d'un intranet clients","27,328 €","16,000 €","FEDER ","GUYANE","GUYANE",,,
"ADEME-Délegation Régionale de Guyane","Etude de faisabilité technico economique de la filière huile végétale carburant","114,230 €","50,000 €","FEDER ","GUYANE","GUYANE",,,
"AGENCE LASER TOPOGRAPHIE AEROPORTE - ALTOA","Acquisition de matériels de topographie laser à haute précision","592,377 €","369,000 €","FEDER ","GUYANE","GUYANE",,"8","Autres investissements en entreprises"
"AGIR ENVIRONNEMENT","Acquisition de matériels d'inspection photographique de réseaux","119,354 €","75,299 €","FEDER ","GUYANE","GUYANE",,"8","Autres investissements en entreprises"
"ALUMINIUM AUTOMATISMES ACCESSOIRES - AAA","Acquisition de matériels de production","92,893 €","64,000 €","FEDER ","GUYANE","GUYANE",,,
"ALUMINIUM AUTOMATISMES ACCESSOIRES - AAA","AIDE AU FRET pour compenser les surcouts de transport induits par l'éloignement","17,835 €","8,918 €","FEDER ","GUYANE","GUYANE",,,
"ALUVER","Fabrication et vente de menuiserie aluminium","36,310 €","18,156 €","FEDER ","GUYANE","GUYANE",,,
"ALUVER","INVESTISSEMENT MATERIEL 2010","140,404 €","49,142 €","FEDER ","GUYANE","GUYANE",,,
"ALYSE GUYANE","Activité de capital risque","708,862 €","117,425 €","FEDER ","GUYANE","GUYANE",,,
"ALYSE GUYANE","Financement d'audits dans les entreprises","67,211 €","16,803 €","FEDER ","GUYANE","GUYANE",,,
"Amazone Car Wash Cora Cayenne"," Création d'un site de lavage automatisé de voitures ","60,762 €","27,343 €","FEDER ","GUYANE","GUYANE",,,
"Amazone Car Wash Montjoly 2","Création d'un site de lavage automatisé de voitures","50,750 €","22,838 €","FEDER ","GUYANE","GUYANE",,,
"AQUAA","Création d'un centre de ressources  qualité environnementale du cadre bâti ","146,000 €","56,800 €","FEDER ","GUYANE","GUYANE",,,
"ASSOCIATION DES PETITES ET MOYENNES INDUSTRIES DE LA GUYANE","DECOUVERTE INTERACTIVE DES METIERS DE L'INDUSTRIE EN GUYANE","60,930 €","23,500 €","FEDER ","GUYANE","GUYANE",,,
"ASSOCIATION DES PETITES ET MOYENNES INDUSTRIES DE LA GUYANE","Programme ECOSTEP","117,165 €",,"FEDER ","GUYANE","GUYANE",,,
"Association GRAINE Guyane","Favoriser la communication sur l'éducation à l'environnement vers un développement durable, l'innovation et l'évaluation","52,015 €","20,806 €","FEDER ","GUYANE","GUYANE",,,
"Association pour le droit a l'Initiative Economique","Dotation aux prêts d'honneur 2008-2010 pour l' ADIE Guyane","335,000 €","150,750 €","FEDER ","GUYANE","GUYANE",,,
"CAP DOM 2 / SCIERIE DE L'EST GUYANAIS","acquisition de matériels d'exploitation et transport de bois","297,450 €","70,000 €","FEDER ","GUYANE","GUYANE",,,
"CAP DOM 4","Acquisition d'une ligne de laminage","464,600 €","212,300 €","FEDER ","GUYANE","GUYANE",,,
"CAP DOM 5","Modernisation des moyens de production","1,490,000 €","456,000 €","FEDER ","GUYANE","GUYANE",,,
"CBE SARL","COMPENSATION DES SURCOUTS DE TRANSPORT","224,647 €","100,000 €","FEDER ","GUYANE","GUYANE",,,
"CCPR IMPRIMERIE","Acquisition de diverses machines d'imprimerie de labeur","202,893 €","95,000 €","FEDER ","GUYANE","GUYANE",,,
"Cellule Economique Régionale du BTP","Observatoire du marché de la construction en Guyane - Soutien aux entreprises du secteur","283,825 €","120,000 €","FEDER ","GUYANE","GUYANE",,,
"CEMKO","Aide au fret","65,800 €","32,900 €","FEDER ","GUYANE","GUYANE",,,
"CENTRE HOSPITALIER ANDREE ROSEMON","EHPaVI : Epidémiologie de linfection à Human Papilloma Virus chez les femmes vivant sur les fleuves Maroni et Oyapock","976,511 €","596,936 €","FEDER ","GUYANE","GUYANE",,,
"CENTRE HOSPITALIER ANDREE ROSEMON","Facteurs influençant les conduites sexuelles à risque dans le milieu de la prostitution - CAPVIH","176,508 €","105,900 €","FEDER ","GUYANE","GUYANE",,,
"CENTRE TECHNIQUE INTERPROFESSIONNEL DES OLEAGINEUX METROPOLITAINS - CETIOM","Transfert de technologies innovantes de production de céréales et d'oléoprotéagineux en Guyane","640,435 €","275,400 €","FEDER ","GUYANE","GUYANE",,,
"CETIOM","DAFTA - Développement durable de l'agriculture en forêt tropicale humide amazonienne","802,062 €","497,278 €","FEDER ","GUYANE","GUYANE",,,
"Chambre de Commerce et d'Industrie de la Guyane","action d'accompagnement des entreprises de la Filière Forêt et Bois en Guyane","157,080 €","105,664 €","FEDER ","GUYANE","GUYANE",,,
"Chambre de Commerce et d'Industrie de la Guyane","Assistance technique et juridique pour la définition du programme d'aménagement des phases n°2 et n°3 du PAE de Dégrad des Cannes","50,000 €","20,000 €","FEDER ","GUYANE","GUYANE",,,
"Chambre de Commerce et d'Industrie de la Guyane","Chargé de mission énergie du bâtiment","245,470 €","117,826 €","FEDER ","GUYANE","GUYANE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Chambre de Commerce et d'Industrie de la Guyane","Chargé de mission énergie du bâtiment","245,470 €","117,826 €","FEDER ","GUYANE","GUYANE",,"54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Chambre de Commerce et d'Industrie de la Guyane","Extension de la maison des entreprises (MAE)","541,000 €","387,800 €","FEDER ","GUYANE","GUYANE",,"14","Services et applications pour les PME (commerce électronique, éducation et formation, mise en réseau, etc.)"
"Chambre de Commerce et d'Industrie de la Guyane","Extension de la maison des entreprises (MAE)","541,000 €","387,800 €","FEDER ","GUYANE","GUYANE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Chambre de Commerce et d'Industrie de la Guyane","Foire de Paris 2009","98,548 €","53,608 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"Chambre de Commerce et d'Industrie de la Guyane","Fonctionnement Maison de la Forêt et des Bois de Guyane (MFBG)","1,043,223 €","728,394 €","FEDER ","GUYANE","GUYANE",,"15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"Chambre de Commerce et d'Industrie de la Guyane","Fonctionnement Maison de la Forêt et des Bois de Guyane (MFBG)","1,043,223 €","728,394 €","FEDER ","GUYANE","GUYANE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Chambre de Commerce et d'Industrie de la Guyane","Mise en place du Pôle Technique Minier de Guyane","1,481,750 €","684,600 €","FEDER ","GUYANE","GUYANE",,,
"Chambre de Commerce et d'Industrie de la Guyane","PARTICIPATION DE LA GUYANE A LA FOIRE DE PARIS 2008","237,463 €","30,000 €","FEDER ",,,,,
"Chambre de Commerce et d'Industrie de la Guyane","Performance environnement 973","136,738 €","82,043 €","FEDER ","GUYANE","GUYANE",,,
"CHARPENTE BOIS ET COUVERTURE INDUTRIALISEES - CBCI","Acquisition d'un centre automatisé d'usinage","674,314 €","202,000 €","FEDER ","GUYANE","GUYANE",,"8","Autres investissements en entreprises"
"CHARPENTE BOIS ET COUVERTURE INDUTRIALISEES - CBCI","Etude de faisabilité d'une unité de fabrication de bois laméllé-collé","435,056 €","181,000 €","FEDER ","GUYANE","GUYANE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Chez MAUDEL","Création de cinq chambres d'hotes","193,777 €","69,760 €","FEDER ","GUYANE","GUYANE",,,
"CIMENTS GUYANAIS","Mise en place d'une unité de fabrication d'un nouveau liant routier","1,049,251 €","373,000 €","FEDER ","GUYANE","GUYANE",,,
"CIRAD","CARPAGG: carbone des paturages de Guyane et gaz à effet de serre","846,770 €","524,997 €","FEDER ","GUYANE","GUYANE",,,
"CIRAD","DICACAO - Diversité des cacaoyers spontanés de Guyane et des endophytes associés. Intérêt et utilisation dans ","400,671 €","201,679 €","FEDER ","GUYANE","GUYANE",,,
"CIRAD","GUYAFOR: un réseau de dispositifs permanents pour un suivi à long terme des écosystèmes forestiers g","792,600 €","495,600 €","FEDER ","GUYANE","GUYANE",,,
"CNRS","DEGA -  Diversité Entomologique de Guyane et Applications","558,528 €","398,528 €","FEDER ","GUYANE","GUYANE",,,
"CNRS","QUALISOL - Microorganismes bio-indicateurs de la qualité des sols guyanais et du bassin amazonien","408,186 €","253,075 €","FEDER ","GUYANE","GUYANE",,,
"COGUMER","recrutement d'un commercial et d'une secrétaire-comptable","144,000 €",,"FEDER ","GUYANE","GUYANE",,,
"COGUMER","recrutement d'un contrôleur de production","45,000 €","22,500 €","FEDER ","GUYANE","GUYANE",,,
"COMenSciences","FDS GUYANE 2009 - Fête de la Science Guyane 2009","87,000 €","52,000 €","FEDER ","GUYANE","GUYANE",,,
"COMenSciences","Fête de la Science Guyane 2008","82,120 €","50,320 €","FEDER ","GUYANE","GUYANE",,,
"Comité du Tourisme de la Guyane","Enquête flux touristique 2009","29,660 €","22,245 €","FEDER ","GUYANE","GUYANE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Comité du Tourisme de la Guyane","Plan E-Marketing","119,847 €","43,145 €","FEDER ","GUYANE","GUYANE",,,
"Comité du Tourisme de la Guyane","PLAN MARKETING 2008","608,100 €","100,000 €","FEDER ","GUYANE","GUYANE",,,
"Comité du Tourisme de la Guyane","Plan marketing 2009","486,500 €","100,000 €","FEDER ","GUYANE","GUYANE",,,
"Comité du Tourisme de la Guyane","Plan marketing 2010","439,600 €","158,256 €","FEDER ","GUYANE","GUYANE",,,
"Communauté de Communes du Centre Littoral","Aménagement de points de collecte collectifs et résorption des points difficiles","750,000 €","450,000 €","FEDER ",,,,,
"Communauté de Communes du Centre Littoral","appui et évaluation de la filiere dechets","165,530 €","66,212 €","FEDER ",,,,,
"Communauté de Communes du Centre Littoral","Campagne de communication et de sensibilisation à l'environnement sur le territoire de la CCCL","200,000 €","100,000 €","FEDER ","GUYANE","GUYANE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"Communauté de Communes du Centre Littoral","Mise en place de la collecte sélective du verre et de sa valorisation sur le territoire de la CCCL phase 2","525,000 €","315,000 €","FEDER ",,,,,
"Communauté de Communes du Centre Littoral","Raccordement en euax usées du secteur Cotonnière-Balata Ouest - phase 1 à Matoury","2,300,000 €","780,000 €","FEDER ","GUYANE","GUYANE",,,
"Communauté de Communes du Centre Littoral","Réalisation d'un réseau de récupération des huiles de vidanges","160,000 €","88,000 €","FEDER ",,,,,
"Communauté de Communes du Centre Littoral","Structuration primaire en eaux usées du bassin versant Montabo Suzini Baduel-Phase amont PUG-Lot3","475,000 €","117,500 €","FEDER ",,,,,
"Communauté de Communes du Centre Littoral","Structuration primaire en EU du bassin versant Montabo, Suzini, Baduel-phase Amont PUG-Lot 2","600,000 €","240,000 €","FEDER ","GUYANE","GUYANE",,,
" Communauté des Communes de l'Est Guyanais","Etudes préalables à la création d'un centre de stockage des déchets ultimes","165,000 €","92,000 €","FEDER ","GUYANE","GUYANE",,"44","Gestion des déchets ménagers et industriels"
" Communauté des Communes de l'Est Guyanais","Etudes préalables à la création d'un centre de stockage des déchets ultimes","165,000 €","92,000 €","FEDER ","GUYANE","GUYANE",,"45","Gestion et distribution d'eau (eau potable)"
" Communauté des Communes de l'Est Guyanais","Etudes préalables à la création d'un centre de stockage des déchets ultimes","165,000 €","92,000 €","FEDER ","GUYANE","GUYANE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
" Communauté des Communes de l'Est Guyanais","Réalisation d'analyses des études de diagnostic et de mise en conformité de la décharge de St Georges, volet 1 ","18,407 €","14,726 €","FEDER ","GUYANE","GUYANE",,,
"Communauté des Communes de l'Ouest Guyanais","Contrat d'Objectif Territorial Déchets","213,098 €","85,239 €","FEDER ",,,,,
"Communauté des Communes de l'Ouest Guyanais","Etude technique et financière sur les compétences pré collecte, collecte et traitement des ordures ","55,000 €","22,000 €","FEDER ",,,,,
"Communauté des Communes de l'Ouest Guyanais","Mission d'assistance à MO pr l'établissement du contrat et le suivi d'exploitation : CSDU de l'Ouest","90,000 €","45,000 €","FEDER ",,,,,
"Communauté des Communes de l'Ouest Guyanais","Réalisation des travaux de réhabilitation et de création d'un centre de stockage de déchets ménagers tranche 1","2,043,090 €","1,021,545 €","FEDER ",,,,,
"Communauté des Communes de l'Ouest Guyanais","Réalisation des travaux de réhabilitation et de création d'un centre de stockage de déchets ménagers tranche 2","600,000 €","360,000 €","FEDER ","GUYANE","GUYANE",,"44","Gestion des déchets ménagers et industriels"
"Communauté des Communes du Centre Littoral","Construction d'un bassin de stockage d'eau brute à l'usine d'eau potable de la Comté","700,000 €","465,000 €","FEDER ","GUYANE","GUYANE",,"45","Gestion et distribution d'eau (eau potable)"
"Communauté des Communes du Centre Littoral","Etude d'optimisation de la collecte des déchets ménagers et mise en place de la collecte sélective","150,000 €","60,000 €","FEDER ",,,,,
"Communauté des Communes du Centre Littoral","Mise en place de bornes fontaines - Quartier Cogneau-Lamirande  à MATOURY","46,000 €","43,700 €","FEDER ","GUYANE","GUYANE",,,
"Communauté des Communes du Centre Littoral","Mise en place de quatre bornes fontaines à carte dans le Quartier Nord de Cayenne (Zone portuaire, Secteur Leblond)","51,000 €","25,500 €","FEDER ","GUYANE","GUYANE",,"45","Gestion et distribution d'eau (eau potable)"
"Communauté des Communes du Centre Littoral","Mission d'assistance technique à MO pour la réalisation et l'exploitation d'un centre de tri","100,000 €","40,000 €","FEDER ",,,,,
"Communauté des Communes du Centre Littoral","Optimisation de la gestion des déchets industriels et commerciaux banals","79,600 €","23,880 €","FEDER ",,,,,
"Communauté des Communes du Centre Littoral","Réalisation des travaux de collecte des eaux usées de l'Avenue d'Estrées à Cayenne","700,000 €","385,000 €","FEDER ","GUYANE","GUYANE",,,
"Communauté des Communes du Centre Littoral","Tranche 7 - Collecte des eaux usées de CAYENNE- Phase 2","2,800,000 €","1,000,000 €","FEDER ","GUYANE","GUYANE",,"46","Traitement de l'eau (eaux usées)"
"Communauté des Communes du Centre Littoral","Travaux d'augmentation de la capacité de traitement et de production d'eau potable de l'usine de la Comté - Construction d'un réservoir de 3000 m3","2,037,559 €","815,023 €","FEDER ","GUYANE","GUYANE",,,
"Communauté des Communes du Centre Littoral","Travaux d'augmentation de la capacité de traitement et de refoulement d'eau potable de l'usine de la Comté - Securisation du refoulement et renforcement de la capacité de pompage du surpresseur de Stoupan","841,575 €","336,630 €","FEDER ","GUYANE","GUYANE",,,
"Commune Awala Yalimapo","Extension et réhabilitation du groupe scolaire Yamanale à Awala Yalimapo","754,395 €","123,516 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
"Commune de Cayenne","Création au quartier Eau-Lisette d'un pont vers le quartier Césaire et déplacement du pont actuel Cesaire vers  la cité Capulo à Cayenne","1,120,000 €","224,000 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Grand Santi","construction de deux cales de déchargement sur la commune de Grand-Santi","450,000 €","270,000 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Kourou","Construction du marché couvert du bourg de Kourou","1,805,778 €","600,000 €","FEDER ","GUYANE","GUYANE",,"8","Autres investissements en entreprises"
"Commune de Kourou","Etudes de faisabilité pour la valorisation des boues d'épuration et l'élaboration d'un plan d'épanda","100,000 €","35,000 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Kourou","Schéma directeur de gestion des déchets de la ville de Kourou","75,000 €","37,500 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Kourou","Valorisation des boues en phase transitoire de la station d'épuration des eaux usées, Kourou","165,000 €","51,150 €","FEDER ","GUYANE","GUYANE",,,
"Commune de Macouria","Construction de 4 classes aux écoles Michelle Ponet et Maud Nadiré","542,720 €","186,085 €","FEDER ","GUYANE","GUYANE",,"75","Infrastructures pour l'éducation"
