"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ACTIVITE CONSEIL Boutique de gestion","CREATIVES- dispositif spécifique sur la création d'entreprise et les femmes","53,968 €","30,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE",,
"ACTIVITE CONSEIL Boutique de gestion","UFB2 2008 CAYENNE ","107,440 €","59,740 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ADI","Agence Départementale d'Insertion - mise en oeuvre des actions de formation dans le cadre du PDI 200","745,207 €","372,604 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADI","Agence Départementale d'Insertion - mise en oeuvre des actions de formation dans le cadre du PDI 2008/2009","366,914 €","249,430 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADIE","ADIE 2007  appui et accompagnement aux porteurs de projets de micro entreprises, bénéficiaires en si","126,541 €","55,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE",,
"ADIE","ADIE 2008  appui et accompagnement aux porteurs de projets de micro entreprises, bénéficiaires en situation d'exclusion ","113,693 €","50,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE",,
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","AFPA Guyane  PREFOB 2007-2013 / UFB de Kourou 2008","155,769 €","115,269 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Assistante de vie aux familles / niveau V","74,435 €","55,826 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Dispositif de préformation de Cayenne 2008","184,195 €","138,146 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Filière Information A - Niveau IV et III","126,734 €","95,050 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Filière Informatique B- Niveau IV et III","132,819 €","99,614 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Mécanique auto - Niveau V","93,668 €","70,251 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME GUYANE","Accompagnement en ingénierie des entreprises de plus de 10 salariés","344,414 €","172,207 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AGEFOS PME GUYANE","Actions de l'AGEFOS PME - soutien aux démarches de GPEC des entreprises de Guyane","315,655 €","220,958 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Agence Nationale pour l'Insertion et la promotion des Travailleurs d'Outre-mer (A.N.T )","A N T  - Formation en mobilité 2007","1,111,500 €","500,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Agence Régionale d'Information sur la Validation des Acquis et pour le Dév. Emp.","Mise en oeuvre de la validation des acquis de l'expérience VAE 2008","297,087 €","197,087 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ARACT  GUYANE","A R A C T Guyane - Programme d'activités 2008","314,119 €","163,663 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"ARACT  GUYANE","PROGRAMME D'ACTIVITE DE L'ARACT en 2007","252,890 €","103,503 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"ARCNAM","Sous-programme 1 : Formation professionalisante diplômante supérieure.","680,000 €","368,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ARCNAM","Sous-Programme n°2 : Formation d'ingénieur","85,000 €","24,205 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ARCNAM","Sous-Programme n°3 : Formation à distance","42,500 €","23,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ARCNAM","Sous-programme n 4: Validation des acquis de l'expérience","42,500 €","23,000 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
