"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADEME","Etat des lieux et prospectives de développement de la filière géothermie en Haute-Normandie","79,975 €","39,988 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"42","Energie renouvelable: én. hydroélectrique, géothermique et autre"
"AEGILOPS APPLICATIONS","Développement d'un prototype d'outil de contrôle en continu des poussières contenues dans les semences traitées.","150,150 €","35,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"AERAZUR","ComAit : Circuit carburant en composite pour la nouvelle génération d'avion","1,958,675 €","263,809 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"Agence de l'Environnement et de la Maîtrise de l'Energie (ADEME)","Programme d'animation, de suivi et de valorisation de bâtiment basse consommation à destination des professionnels - PREBAT","1,208,782 €","725,269 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Agence Régionale de l'Environnement de Haute-Normandie AREHN","Edition scientifique sur la biodiversité Atlas des papillons de Normandie","42,547 €","27,900 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Agence Régionale de l'Environnement de Haute-Normandie AREHN","Education à l'environnement et au développement durable","450,326 €","225,163 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Agence Régionale de l'Environnement de Haute-Normandie AREHN","Programme d'information et de sensibilisation à l'environnement et au développement durable","436,837 €","218,419 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Agence Régionale de l'Environnement de Haute-Normandie AREHN","Réalisation du Bilan Carbone des établissements d'enseignement","108,400 €","54,200 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"AGRINOVATECH","Cellule de transfert de technologie de l'ESITPA","544,395 €","196,849 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AGRO HALL","Etude des Impacts du mode de transmission de l'énergie de technologies de décontamination (anciennes et innovantes) sur la destruction de microorganismes et de composés toxiques","583,669 €","230,558 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"AHNORIA","PERFORMANCE INDUSTRIELLE ET REDUCTION DES COUTS POUR LES PME DE L'AGRO-ALIMENTAIRE","82,524 €","23,107 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ASICEN","MISE EN OEUVRE DU BILAN CARBONE EN ENTREPRISE","570,379 €","72,849 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ASSELIN-THIBEAU","Développement d'un nouvel étaleur nappeur à haute vitesse d'entrée, permettant d'améliorer la résistance et l'isotropie des nappes en sortie de machines.","891,190 €","100,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ASSOCIATION DES PARENTS ET AMIS DES ENFANTS INADAPTES  LES ATELIERS D'ETRAN (A.P.E.I.)","AMENAGEMENT D'UNE NOUVELLE REPASSERIE AVEC UNE EXTENSION EN PRESSING ECOLOGIQUE","518,798 €","35,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Association Liberty Alliance Seine Ouest ","Construction de la crèche interentreprises Liberty Alliance Seine Ouest","2,046,691 €","500,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
