"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADCE - Association Des Chercheurs d'Emploi","Aide aux postes dans les entreprises d'insertion - 2008","77,448 €","32,405 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ALFA FORMATION","Atelier de pédagogie personnalisée : antenne de Gaillon","12,200 €","6,100 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen",,
"Association Régie de Quartier","Aide aux postes dans les entreprises d'insertion - 2008","256,547 €","128,273 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CAPS","Ateliers de pédagogie personnalisée : sites de proximité département de l'Eure","30,577 €","15,250 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen",,
"CHAMBRE DE METIERS DE L'EURE","Capacité en gestion des entreprises artisanales (CGEA)","147,543 €","66,394 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CHAMBRE DE METIERS DE L'EURE","Dispositif d'accompagnement renforcé des créateurs d'entreprise","128,481 €","57,816 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CHAMBRE DE METIERS DE L'EURE","Transmission et reprise des entreprises artisanales","158,535 €","71,341 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Conseil Général de l'Eure","Aide à domicile - objectif qualité des services d'aide et d'accompagnement à la personne","1,951,108 €","676,682 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"Conseil Général de l'Eure","Assistance Technique 2008 2010","267,265 €","187,086 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"Conseil Général de l'Eure","Généralisation de la plateforme unique d'accueil des bénéficiaires du RMI.","1,155,728 €","529,550 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Général de l'Eure","subvention globale FSE du Conseil Général de l'Eure","3,900,000 €","1,950,000 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen",,
"ECOTRI","Aide aux poste dans les entreprises d'insertion - 2008","464,688 €","203,301 €","FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
