"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"3DLIZED","L'orchestre de joysticks (ORJO)","118,190 €","59,095 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"4N MEDIA GROUP","LIMED - Linguistic Meta Educational engine","325,342 €","162,671 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"A.2.I.A.","constitution d'une bibliothèque algorithmique pour numérisation d'archives.","359,785 €","54,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"Agence d'urbanisme et de développement de la Seine aval (AUDAS)","Définition de projets de développement économique, statégie de déploiement de l'offre d'implantation","450,000 €","225,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"Agence d'urbanisme et de développement de la Seine aval (AUDAS)","Mise en place d'un dispositif d'appui au développement de la filière éco-construction et efficacité énergétique","900,000 €","450,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"Agence foncière et technique de la région parisienne","Aménagement de la ZAE des Tissonvilliers 3 à Villiers-le-Bel dans une logique d'intégration envvironnementale","3,040,000 €","1,520,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Agence foncière et technique de la région parisienne","Aménagement de l'Ecoparc des Cettons","1,250,000 €","600,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"Agence régionale de développement Paris-Île-de-France (ARD)","EuroBio 2008","384,990 €","150,036 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ALTIC SARL","Open Source Solutions for Médium Organisation and Small Enterprises (OSSMOSE)","168,000 €","84,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"AONIX","CBDP - Context Based Digital Personality","598,820 €","299,410 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"AONIX","conception d'une plateforme modulaire de développements multilangages d'applications temps réel","1,190,645 €","80,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"ARESA (Association Seine-Amont développement)","Pôle d'excellence gérontechnologique Charles Foix (Réseau Charles Foix)","55,391 €","27,696 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"ARESA (Association Seine-Amont développement)","Pôle excellence gérontotechnologique Charles Foix (Bourse Charles Foix)","56,831 €","28,415 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"ARIANE SYSTEMS","Kiosk Virtuel (KIVI)","648,440 €","324,220 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ARTERIS","MPSOexplorer - Multiobjective System on Chip Exploration","508,613 €","250,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"AS AN ANGEL SA","ANGELSTUDIO","479,492 €","239,746 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Association Astech Paris - Région","Plan d'action en faveur de la Filière aéronautique et spatiale francilienne Phase 1","1,030,150 €","309,045 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association Astech Paris - Région","Plan d'actions en faveur de la filière aéronautique et spatiale francilienne Phase 2","552,000 €","165,600 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association Jessica France","Accompagner les projets collaboratifs des PME Franciliennes dans le domaine de la mécatronique et des systèmes embarqués","351,500 €","105,050 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association Réseau C.U.R.I.E.","Rencontres d'affaires CURIE :Capital IP et Capital Transfert","186,476 €","74,590 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association Savoir apprendre","Exploradome-Vitry-sur-Seine","1,669,700 €","773,071 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"AUTOMATIC SEA VISION - ASV","Extension des capacités opérationnelles et fonctionnelles des systèmes de vision pour la surveillance maritime par l'utilisation d'autres types de caméras, de l'amélioration du pistage et de l'assistance à l'opérateur dans la prise de décision.","480,852 €","82,500 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"AVERTEC","BACCARAT (Gestion des contraintes temporelles dans la conception d'un système électronique)","286,268 €","143,134 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"AXALOT","Développement dun logiciel pour plateforme Windows permettant de sauvegarder et restaurer les données et les environnements critiques pour la continuité de lactivité des entreprises","929,611 €","100,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,,
"BEARSTECH","Open Source Solutions for Medium Organisation and Small Enterprises","179,871 €","89,936 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Campus de Cancérologie de Villejuif - Cancer Campus","Demande de financement pour l'équipement et l'animation d'un incubateur sur le site de Cancer Campus","285,527 €","131,342 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Cap digital Paris-Région","Plan filière contenus numériques de cap digital","1,439,025 €","521,610 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CCIP","CAP LEAN. Développer l'excellence opérationnelle des entreprises franciliennes","582,500 €","174,685 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"Cellectis SA","Elaboration d'un Business Plan pour la Plateforme CellMill (PB CellMill)","39,000 €","11,700 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Cellectis SA","Etude de Faisabilité de la Plateforme d'innovation Cell Mill : lot  étude de marché  pour les produits dérivés des cellules souches induites à la pluripotence","67,536 €","20,261 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Cellectis SA","Travaux collaboratifs de recherche et de développement - Projet GeSuRho","529,852 €","264,926 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Centre de recherche clinique et translationnelle Sud-Francilien","Centre de recherche clinique et translationnelle Sud-Francilien","3,661,776 €","1,527,975 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"CENTRE FRANCILIEN DE L'INNOVATION","Plateforme régionale d'appui aux projets à fort potentiel de création d'emplois - Club Innov It","170,499 €","68,200 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Centre nat. de la recherche scientifique d'Île-de-France Ouest-Nord (CNRS-IDF)","Plate-forme THD","310,195 €","155,098 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Centre technique des industries mécaniques (CETIM)","ACAMAS Ile de France multifilières","954,500 €","286,350 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Centre technique des industries mécaniques (CETIM)","Action d'envergure de prédiagnostics stratégiques pour les PME des filières Mécanique, Automobile et Aéronautique (Prédiagnostics stratégiques)","226,708 €","68,012 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Chambre de commerce et d'industrie de l'Essonne","TECHINNOV : les rencontres Innovation et Développement Paris-Sud, le plus court chemin vers les affaires.","215,250 €","86,100 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Chambre de commerce et dindustrie de Versailles - Val-dOise / Yvelines","Production performante","260,600 €","78,180 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Chambre de métiers et de l'artisanat de Seine-et-Marne","Création de l'Institut des Métiers et de l'Artisanat (IMA)","181,754 €","90,877 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Chambre régionale de commerce et dindustrie de Paris et d'Île-de-France","Acompagner les PME franciliennes dans leur développement à l'international à travers des démarches d'intelligence économique","160,000 €","30,000 €","FEDER ","ILE-DE-FRANCE","ILE-DE-FRANCE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
