"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"3S","AFT : Expérimentation d'un dispositif innovant de filtration des vins","61,467 €","15,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"A.C.A.R.L.E.T. (Association Clermontaise pour l'Accueil, la Restauration et les Loisirs des Enfants et des Travailleurs","Achat d'un bâtiment et création d'une cuisine de restauration sociale collective innovante à Ceyras (34)","1,112,768 €","110,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"8","Autres investissements en entreprises"
"ADVICENNE PHARMA","Développement de formulations et de dispositifs médicaux adaptés à la problèmatique pédiatrique ( Forms4Kids )","719,114 €","220,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,,
"ADVICENNE PHARMA","Développement de formulations pédiatriques innovantes de médicaments antiépileptiques.","541,260 €",,"FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,,
"ADVICENNE PHARMA","Montage et négociation d'un projet en réponse au 3è AAP  santé  du 7è PCRD (adaptation de médicaments libres d'exploitation aux besoins spécifiques de la pédiatrie)","57,528 €",,"FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AFOBATP des Pyrénées Orientales","Création d'une plateforme photovoltaïque de formation","66,402 €","33,201 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"AFPA NIMES","Création d'une plateforme photovoltaïque de formation","68,136 €","34,068 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"Agence d'urbanisme et de développement des régions nîmoise et alésienne (AUDRNA)","Lancement du contrat d'axe branche ferroviaire Nîmes-Alès: animation d'une démarche partenariale visant à accompagner la modernisation de la ligne ferroviaire par une stratégie d'aménagement cohérente","300,000 €","135,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,,
"Agence Locale de l'Energie de Montpellier","Animation du programme d'actions de l'Espace Info Energie pour l'année 2010","150,315 €","53,774 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"53","Prévention des risques (...)"
"Agence Locale de l'Energie de Montpellier","Mise en oeuvre d'un Espace Info Energie 2009 à l'Agence locale de l'Energie de Montpellier","122,412 €","54,681 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"42","Energie renouvelable: én. hydroélectrique, géothermique et autre"
"Agence Locale de l'Energie de Montpellier","Programme d'actions 2008 - Espace Info Energie de l'Hérault","50,500 €","15,205 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"AGROSUD","aide au partenariat concernant la conception et mise en place d'une offre de services innovants","64,840 €","32,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AGROSUD","Projet de R&D collaborative  PRECOVISION  concernant le développement de méthodes et d'outils pour une agiculture durable","300,214 €","90,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,,
"AIRDIE","approche innovante du micro-crédit et outils collaboratifs de l'AIRDIE","285,000 €","168,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,,
"ALCI","Industrialisation d'un procédé robotisé de découpe de muscles de gros bovins (projet DRIMB)","220,177 €","60,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,,
"ALEFPA - ECOLE HOTELIERE","Installation d'une chaufferie automatique au bois pour l'école hôtelière à Vernet Les Bains","545,496 €","136,374 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"41","Energie renouvelable: biomasse"
"ALMERAS Jean-Bernard","AFC : Projet GINKGO : Construction de maisons invididuelles innovantes et évolutives","11,720 €","2,930 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
