"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"3S","AFT : Expérimentation d'un dispositif innovant de filtration des vins",61467,15000,"FEDER ","LANGUEDOC-ROUSSILLON","HERAULT / MONTPELLIER / MEZE / VILLEVEYRAC","PO FEDER Languedoc-Roussillon","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ACCES","Atelier d'initiation à l'informatique de Carnon : 2009/14",7150,3600,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACCES","Atelier d'initiation à l'informatique de Mauguio : 2009/13",6650,3400,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACCES","Atelier informatique de Mauguio : 2008/13",6800,2754,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACCES","Atelier Informatique de Palavas : 2008/14",7700,3118.5,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACEE - Association pour la Communication, les Echanges et l'Emploi","Chantier d'insertion  Aménagement Garrigue ",273326,56201,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD / NIMES / NIMES / NIMES / RESTE DE LA COMMUNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACEE - Association pour la Communication, les Echanges et l'Emploi","Chantier d'insertion  Atelier créatif ",204600,40600,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD / NIMES / NIMES / NIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACEE - Association pour la Communication, les Echanges et l'Emploi","Chantier d'insertion  Atelier créatif  2009-2010",161182,29950,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD / NIMES / NIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Action Sociale Humanitaire","Chantier ASH",162661,20043,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD / NIMES / NIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADAGES - POLE SOCIAL / CHRS REGAIN","C.A.V.A (Centre Adaptation Vie Active)",84750,28250,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","HERAULT","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADAGES Pôle Social Espace Famille","ASI API Espace Famille",53989,20758,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","HERAULT","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADAGES Pôle Social Espace Famille","Développement des services d'accueil d'enfants d'urgence et sur des horaires atypiques - Espace Famille  les lilas ",2309645,100000,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","HERAULT / MONTPELLIER","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"ADASEA DU GARD Association Départementale pour l'Aménagement des Structures des","Assurer la reprise des exploitations agricoles dans la Gard",95205,30000,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ADASEAH","Assurer la reprise des exploitations agricoles dans l'Hérault",98096,25000,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","HERAULT","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ADVICENNE PHARMA","Développement de formulations pédiatriques innovantes de médicaments antiépileptiques.",541260,,"FEDER ","LANGUEDOC-ROUSSILLON","GARD / NIMES / NIMES / NIMES","PO FEDER Languedoc-Roussillon",,
"ADVICENNE PHARMA","Montage et négociation d'un projet en réponse au 3è AAP  santé  du 7è PCRD (adaptation de médicaments libres d'exploitation aux besoins spécifiques de la pédiatrie)",57528,,"FEDER ","LANGUEDOC-ROUSSILLON","GARD / NIMES / NIMES / NIMES","PO FEDER Languedoc-Roussillon","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AEFTI GRAND SUD","Savoirs Plus",36188,32910,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD / NIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.E.T.E","Animation Territoriale Mosson",81477,20300,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","HERAULT / MONTPELLIER / MONTPELLIER / MONTPELLIER","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"AFDAIM-ADAPEI 11","Formation aux principes méthodes et outils de la démarche qualité sociale",248500,74550,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","AUDE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFIG SUD","AEROS Accueil Repérage Evaluation Orientation Suivi",7182,3591,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD / NIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIG SUD","AEROS BILAN EVALUATION ORIENTATION ACCOMPAGNEMENT",26620.8,13310.4,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD / NIMES / NIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIG SUD","Chargé de relations entreprises n°1",23589,3767,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIG SUD","Chargé de relations entreprises n°1 - Partie Sud du territoire du PLIE",35955,10699,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFIG SUD","Projet Professionnel et Vie Active",19459.8,9729.9,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","GARD / NIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFOBATP des Pyrénées Orientales","Création d'une plateforme photovoltaïque de formation",66402.48,33201.24,"FEDER ","LANGUEDOC-ROUSSILLON","PYRENEES-ORIENTALES / PERPIGNAN","PO FEDER Languedoc-Roussillon","40","Energie renouvelable: én. solaire"
"AFOBATP des Pyrénées Orientales","Mention complémentaire soudage",31680,8680,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","PYRENEES-ORIENTALES / PERPIGNAN / PERPIGNAN / PERPIGNAN","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AFPA","CHANTIER ECOLE DE VILLEMOUSTAUSSOU",36613,13070.4,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","AUDE / CARCASSONNE / CONQUES-SUR-ORBIEL / VILLEMOUSTAUSSOU","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA","CHANTIER ECOLE ROULLENS",42362.61,20002.75,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","AUDE / CARCASSONNE / MONTREAL / ROULLENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA","CHANTIER ECOLE VILLEMOUSTAUSSOU",72156.48,22002.25,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","AUDE / CARCASSONNE / CONQUES-SUR-ORBIEL / VILLEMOUSTAUSSOU","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA","CHANTIER FORMATION BERRIAC",68263.55,33712.28,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","AUDE / CARCASSONNE / CARCASSONNE-1ER / BERRIAC","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA","PREPROFESSIONNALISATION METIERS DU BATIMENT",36281.5,14996.25,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","AUDE / CARCASSONNE / CARCASSONNE / CARCASSONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFPA Languedoc-Roussillon","Elaboration du projet professionnel et de formation pour les jeunes DE et toute personne reconnue TH",1049526,524763,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"AFPA Languedoc-Roussillon","foad gestion pour repreneur et créateur d'entreprise",41260,20630,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","HERAULT / MONTPELLIER / MONTPELLIER / MONTPELLIER","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"AFPA NIMES","Création d'une plateforme photovoltaïque de formation",68135.51,34067.76,"FEDER ","LANGUEDOC-ROUSSILLON","GARD / NIMES","PO FEDER Languedoc-Roussillon","40","Energie renouvelable: én. solaire"
"AFT IFTIM","Technicien supérieur méthodes et exploitation logistique",60400,6102,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","HERAULT / MONTPELLIER / LATTES / PEROLS","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AGEFOS PME Languedoc-Roussillon","ASSISTANCE TECHNIQUE 2008",70000,50000,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON",,"Programme opérationnel national Fonds social européen",,
"AGEFOS PME Languedoc-Roussillon","FSE AGEFOS SUBVENTION GLOBALE 2008-2010",8649000,3732300,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON",,"Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"AGEFOS PME Languedoc-Roussillon","MESURES D'ACCOMPAGNEMENT ACTIONS INDIVIDUELLES ET COLLECTIVES 2008",31000,31000,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON",,"Programme opérationnel national Fonds social européen",,
"AGEFOS PME Languedoc-Roussillon","MESURES D'ACCOMPAGNEMENT ANTICIP PME GPEC 2008",65000,65000,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON",,"Programme opérationnel national Fonds social européen",,
