"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"3ème DEGRE","Investissements matériels (compression volumétrique, prototypage haute fréquence,...)","325,000 €","48,750 €","FEDER ","LIMOUSIN","LIMOUSIN",,"8","Autres investissements en entreprises"
"ABCS","Extension de bâtiment à usage professionnel","219,179 €","25,206 €","FEDER ","LIMOUSIN","LIMOUSIN",,"8","Autres investissements en entreprises"
"ACL 23","Acquisition d'une plieuse et d'une table de découpe","418,000 €","73,150 €","FEDER ","LIMOUSIN","LIMOUSIN",,"8","Autres investissements en entreprises"
"ACTIMETAL INDUSTRIE","Acquisition d'une machine de découpe laser","410,000 €","51,250 €","FEDER ","LIMOUSIN","LIMOUSIN",,"8","Autres investissements en entreprises"
"ACTION CPV","Table de découpe numérique et divers matériels","119,647 €","17,947 €","FEDER ","LIMOUSIN","LIMOUSIN",,,
"ADAM","Construction d'un bâtiment de production bois et d'un atelier logistique","2,253,145 €","225,315 €","FEDER ","LIMOUSIN","LIMOUSIN",,"8","Autres investissements en entreprises"
"ADAM","Construction d'un bâtiment de stockage et de production","355,582 €","35,558 €","FEDER ","LIMOUSIN","LIMOUSIN",,"8","Autres investissements en entreprises"
"ADAM","Investissements en matériel productif","2,273,598 €","227,360 €","FEDER ","LIMOUSIN","LIMOUSIN",,"8","Autres investissements en entreprises"
"ADETEL WIREWAVE","Remote Wake Up (RWU)","226,210 €","56,717 €","FEDER ","LIMOUSIN","LIMOUSIN",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADETEL WIREWAVE","SAPHIRALE (recherche industrielle)","266,920 €","60,057 €","FEDER ","LIMOUSIN","LIMOUSIN",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Agence pour la Valorisation de la Recherche Universitaire du Limousin (AVRUL)","Etude géologique, pédologique et paysagère des serpentinites du Limousin","30,000 €","12,000 €","FEDER ","LIMOUSIN","LIMOUSIN",,,
"Agence pour la Valorisation de la Recherche Universitaire du Limousin (AVRUL)","FILTRAMEMS","598,974 €","214,289 €","FEDER ","LIMOUSIN","LIMOUSIN",,,
