"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"AFIJ","Action de préparation aux concours de la FP pour les jeunes diplômés des quartiers défavorisés du 54","50,000 €","22,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION LORRAINE POUR LA PROMOTION EN AGRICULTURE","ACCOMPAGNEMENT DU PARCOURS A L'INSTALLATION DES JEUNES AGRICULTEURS DU 54","11,167 €","5,317 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Association Solidarité pour l'Insertion des Chômeurs ","chantier d'insertion PDI 54","36,480 €","18,240 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CCI  54","ateliers femmes créatrices de l'agglomération de Nancy","50,000 €","25,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES","PRENEZ L'AVANTAGE","32,000 €","13,500 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"CERFAV (Centre européen de recherches et de formation aux arts verriers)","Conception - Coordination pédagogique à l'emploi des nouvelles technologies numériques","87,558 €","43,778 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"CHAMBRE DEPARTEMENTALE D'AGRICULTURE DE MEURTHE ET MOSELLE","Accompagnement du parcours à l'installation des jeunes agriculteurs de Meurthe et Moselle, dispositif stage 6 mois- 2008","33,286 €","15,404 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CHAMBRE DEPARTEMENTALE D'AGRICULTURE DE MEURTHE ET MOSELLE","Accompagnement du parcours à l'installation des jeunes agriculteurs du 54","27,500 €","13,750 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CLUB ENTREPRENEURIAL","Club Entrepreneurial/club service : Un suivi innovant et adapté à l'entreprise au féminin","42,788 €","12,158 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Comité de Promotion, d'Aménagement et d'Expansion de Meurthe et Moselle (CAPEMM)","DLA 54 - Année 2008","203,834 €","30,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
