"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Agence des 50 pas géométriques ","Assainissement du quartier Mansarde Rancée","1,741,881 €","609,658 €","FEDER ","MARTINIQUE","MARTINIQUE",,"46","Traitement de l'eau (eaux usées)"
"Agence des 50 pas géométriques ","Construction de la station d'épuration de l'Anse Dufour","927,000 €","325,750 €","FEDER ","MARTINIQUE","MARTINIQUE",,"46","Traitement de l'eau (eaux usées)"
"Agence Française de Développement","Fonds de garantie Martinique - volet moyen long terme","4,700,000 €","2,680,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Agence Française de Développement","FONDS DE GARANTIE Volet Court terme","1,500,000 €","720,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AGENCE POUR LE DEVELOPPEMENT ECONOMIQUE DE LA MARTINIQUE (ADEM)","PREMIERES ASSISES REGIONALES DE LA LOGISTIQUE EN MARTINIQUE","23,167 €","13,167 €","FEDER ","MARTINIQUE","MARTINIQUE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ANTILLES TELESURVEILLANCE","Consolidation de l'infrastructure informatique","131,934 €","35,843 €","FEDER ","MARTINIQUE","MARTINIQUE",,"8","Autres investissements en entreprises"
"ARMATURES DES ANTILLES","AIDE AU FRET 2008 : approvisionnements en coupleurs, fil recuit, fil à souder et treillis soudés","590,537 €","295,268 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"ARMETAL","AIDE AU FRET 2008 : Approvisionnements en bobines et barres acier","474,831 €","237,415 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"ASSOCIATION H2 EAUX","test",250 €,150 €,"FEDER ","MARTINIQUE","MARTINIQUE",,"75","Infrastructures pour l'éducation"
"ASSOCIATION MARTINIQUAISE POUR LA PROMOTION DE L'INDUSTRIE (AMPI)","Publication de 2 numéros du magazine  PIL LE MAGAZINE DE L'INDUSTRIE MARTINIQUAISE ","78,178 €","37,228 €","FEDER ","MARTINIQUE","MARTINIQUE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association MARTINIQUE INITIATIVE","Dotation Prêts d'honneur","1,000,000 €","500,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association pour l'Aide aux Personnes Handicapées","PLAN DE MODERNISATION de l'ETABLISSEMENT ET SERVICE D'AIDE PAR LE TRAVAIL (ESAT) DE BELLEFONTAINE ","3,609,749 €","750,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"BRASSERIE LORRAINE","AIDE AU FRET 2008  Approvisionnement matières premières et emballages 2007 ","627,058 €","313,529 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"CABEX INDUSTRIE","AIDE AU FRET 2008 : Approvisionnements en Compound PVC, gaine plastique d'emballage","130,000 €","65,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"CACEM (COMMUNAUTE D'AGGLOMERATION DU CENTRE DE LA MARTINIQUE)","Etude d'AMO pour la réalisation et l'exploitation d'une unité de valorisation du BIOGAZ issue du CET de la Trompeuse","73,915 €","19,218 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"CACEM (COMMUNAUTE D'AGGLOMERATION DU CENTRE DE LA MARTINIQUE)","Optimisation de la collecte sélective en porte à porte sur le territoire de la CACEM - 1ère année","1,195,360 €","316,770 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"CAESM (COMMUNAUTE D'AGGLOMERATION DE L'ESPACE SUD MARTINIQUE)","COORDINATION GENERALE DU PROJET A.T.R.A.C.T SUD MARTINIQUE","232,440 €","79,030 €","FEDER ","MARTINIQUE","MARTINIQUE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"CAESM (COMMUNAUTE D'AGGLOMERATION DE L'ESPACE SUD MARTINIQUE)","DISPOSITIF MOBILE MICROCREDIT A.T.R.A.C.T SUD MARTINIQUE","132,500 €","29,150 €","FEDER ","MARTINIQUE","MARTINIQUE",,"66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"CAESM (COMMUNAUTE D'AGGLOMERATION DE L'ESPACE SUD MARTINIQUE)","Renforcement de la pré-collecte sélective des ménages en porte à porte","152,334 €","39,607 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"CARAIBES ROTO DIFFUSION","AIDE AU FRET  APPROVISIONNEMENT DE MATIERES PREMIERES (PAPIER, ENCRE) ET PRODUITS INTERMEDIAIRES ","276,596 €","138,298 €","FEDER ","GUADELOUPE","GUADELOUPE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"CARIBBEAN CENTER SARL","Création d'un espace de bien être & de remise en forme","807,860 €","272,945 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"CCNM (Communauté de Communes du Nord de la Martinique)","Création d'une déchèterie et d'un centre de transfert à BELLEFONTAINE","2,573,710 €","772,113 €","FEDER ","MARTINIQUE","MARTINIQUE",,"44","Gestion des déchets ménagers et industriels"
"CCNM (Communauté de Communes du Nord de la Martinique)","Travaux d'aménagement de l'ancien centre de stockage de déchets de Fond Canonville à Saint-Pierre","1,370,906 €","356,436 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"Centre de Coopération Internationale en Recherche Agronomique pour le Développement - Agence de la Martinique","Conception de systèmes de cultures innovants à faibles impacts environnementaux - PHASE 1","745,074 €","298,030 €","FEDER ","MARTINIQUE","MARTINIQUE",,"1","Activités R&DT dans centres de recherche"
"Centre de Coopération Internationale en Recherche Agronomique pour le Développement - Agence de la Martinique","Conception de systèmes de cultures innovants à faibles impacts environnementaux - Phase 2","994,867 €","447,690 €","FEDER ","MARTINIQUE","MARTINIQUE",,"1","Activités R&DT dans centres de recherche"
"Centre de Coopération Internationale en Recherche Agronomique pour le Développement - Agence de la Martinique","Evaluation et gestion des risques et des services environnementaux des agro-systèmes - phase 2 - 2009-2010","566,587 €","254,964 €","FEDER ","MARTINIQUE","MARTINIQUE",,"1","Activités R&DT dans centres de recherche"
"Centre de Coopération Internationale en Recherche Agronomique pour le Développement - Agence de la Martinique","Innovations variétales et compétitivité des filières - PHASE 1","406,176 €","162,470 €","FEDER ","MARTINIQUE","MARTINIQUE",,"1","Activités R&DT dans centres de recherche"
"Centre de Coopération Internationale en Recherche Agronomique pour le Développement - Agence de la Martinique","Innovations variétales - phase 2 (2009-2010)","280,163 €","126,073 €","FEDER ","MARTINIQUE","MARTINIQUE",,"1","Activités R&DT dans centres de recherche"
"Centre de Coopération Internationale en Recherche Agronomique pour le Développement - Agence de la Martinique","Intégration des innovations agronomiques pour une gestion environnementale cohérente des territoires 2007-2008 - (PHASE 1)","96,794 €","38,718 €","FEDER ","MARTINIQUE","MARTINIQUE",,"1","Activités R&DT dans centres de recherche"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA MARTINIQUE (CCIM)","1ER FORUM  QUALITE-HYGIENE-SECURITE-ENVIRONNEMENT ","116,945 €","43,556 €","FEDER ","MARTINIQUE","MARTINIQUE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA MARTINIQUE (CCIM)","Les rendez-vous de la transmission reprise d'entreprise de la CCIM","24,984 €","11,243 €","FEDER ","MARTINIQUE","MARTINIQUE",,"8","Autres investissements en entreprises"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA MARTINIQUE (CCIM)","RENFORCEMENT DES AIRES DE MANOEUVRE ET BALISAGE DE L'AEOPORT MARTINIQUE AIME CESAIRE","14,311,000 €","2,500,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,"29","Aéroports"
"CHAMBRE DE METIERS DE LA MARTINIQUE","Excellence  Artisanale","98,482 €","40,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"CHIPSO","AIDE AU FRET 2008  Approvisionnement en emballages films plastiques ","4,176 €","2,088 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"COLIBRI CHIPS","AIDE AU FRET 2007-2008 : Approvisionnements en graines, arômes, étiquettes, films, intercalaires, etc.","31,201 €","15,600 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"COMIA","AIDE AU FRET 2008 : Approvisionements en sel alimentaire, assaisonnements et emballages","163,105 €","81,553 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"COMMUNE DE CASE-PILOTE","Achèvement de la restauration de l'église Notre Dame de l'Assomption et Saint-Joseph","540,000 €","232,200 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"COMMUNE DE FONDS-SAINT-DENIS","Création d'une cyberbase","63,365 €","12,673 €","FEDER ","MARTINIQUE","MARTINIQUE",,"11","Technologies de l'information et la communication (...)"
"COMMUNE DE FORT-DE-FRANCE","RECONSTRUCTION DE L'ECOLE DE BALATA","1,800,000 €","180,248 €","FEDER ","MARTINIQUE","MARTINIQUE",,"53","Prévention des risques (...)"
"COMMUNE DE FORT-DE-FRANCE","REHABILITATION DU RESEAU D'EAUX PLUVIALES DE FLOREAL - GODISSARD (PHASE 2)","630,000 €","195,300 €","FEDER ","MARTINIQUE","MARTINIQUE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNE DE FORT-DE-FRANCE","REVALORISATION DES ESPACES PUBLICS ET REQUALIFICATION DES CHEMINEMENTS PIETONS DE FLOREAL GODISSARD","670,000 €","207,700 €","FEDER ","MARTINIQUE","MARTINIQUE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"COMMUNE DE FORT-DE-FRANCE","Travaux de restauration extérieure de la cathèdrale Saint-Louis de Fort de France: transept et nef","1,849,242 €","739,697 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"COMMUNE DE SAINTE-LUCE","Travaux d'aménagement des sites à vocation touristique dans le bourg de Sainte-Luce","540,348 €","232,350 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"COMMUNE DES ANSES D'ARLET","Etude de maîtrise foncière pour la mise en oeuvre de l'EAT de Grande-Anse aux Anses d'Arlet","39,323 €","19,661 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"COMMUNE DES ANSES D'ARLET","Travaux de restauration de l'église saint-henry des Anses d'Arlet (1ère phase)","863,413 €","345,365 €","FEDER ","MARTINIQUE","MARTINIQUE",,"57","Autres outils d'amélioration des services touristiques"
"COMMUNE de SCHOELCHER","Balisage de la bande littorale des 300 M nautiques de la ville de Schoelcher","205,000 €","88,150 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"COMMUNE de SCHOELCHER","informatisation et numerisationdes services municipaux : Mise en place d'une infrastructure de sauvegarde informatique, d'une passerelle GSM et du cartable Numérique","240,000 €","120,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
