"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"31000EMPLOI.com","31000EMPLOI.com",15548,7774,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 D MANAGER SERVICES","Plan de formation des salariés 2008",4460,2007,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"A2P Association ","Dispostif Local d'Accompagnement",90000,40000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"AB7 INDUSTRIES","Contrat d'Appui PME 2007-2009",1159733,86980,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / MONTGISCARD / DEYME","FEDER Compétitivité Régionale et Emploi","8","Autres investissements en entreprises"
"AB7 INDUSTRIES","Contrat d'Appui PME Innovation",1385680,213020,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / MONTGISCARD / DEYME","FEDER Compétitivité Régionale et Emploi","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ABADIE GERARD SCIT ENTREPRISE","MACONNERIE",6841.6,3078.72,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / TOULOUSE-13E / COLOMIERS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ABEXA SARL","PLAN DE FORMATION DES SALARIES 2009",65680,24156,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","GERS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ABSOGER S.A.","CA INNOVATION 2008 - 2011",282061,35000,"FEDER ","MIDI-PYRENEES","TARN-ET-GARONNE / CASTELSARRASIN / CASTELSARRASIN-2E / LES BARTHES","FEDER Compétitivité Régionale et Emploi","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ACCION COMPOSITE","PROJET PRODMECA - EPICEA 2008",1018512,203702,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE / MURET / CARBONNE / CARBONNE","FEDER Compétitivité Régionale et Emploi","7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ACCUEIL ALZHEIMER 82","PROJET COLLECTIF PASSEPORT FORMATION 2007",353.41,159.03,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN-ET-GARONNE / MONTAUBAN","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"A CIEL OUVERT","A chacun son ciel",61000,25000,"FEDER ","MIDI-PYRENEES","GERS","FEDER Compétitivité Régionale et Emploi","55","Promotion des actifs naturels"
"ACT AERO COMPOSITE TOULOUSAIN","PROJET RIHT - EPICEA 2008",150000,30000,"FEDER ","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / TOULOUSE / TOULOUSE / RESTE DE LA COMMUNE","FEDER Compétitivité Régionale et Emploi","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
