"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ASSOCIATION APPAAMEENNE D'INSERTION PAR L'ACTIVITE ECONOMIQUE","CHANTIERS D'INSERTION","77,775 €","28,879 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION APPAAMEENNE D'INSERTION PAR L'ACTIVITE ECONOMIQUE","CHANTIERS D'INSERTION","77,775 €","34,999 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION APPAAMEENNE D'INSERTION PAR L'ACTIVITE ECONOMIQUE","CHANTIERS D'INSERTION 2009","77,775 €","38,888 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Ariégeoise pour Personnes en Recherche d'Emploi","Accompagnement des publics en chantier d'insertion","54,900 €","20,385 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Ariégeoise pour Personnes en Recherche d'Emploi","Accompagnement des publics en chantier d'insertion","54,900 €","24,705 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Ariégeoise pour Personnes en Recherche d'Emploi","Accompagnement des publics en chantier d'insertion- ANNEE 2009","54,900 €","27,450 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Ariégeoise pour Personnes en Recherche d'Emploi","Action d'accompagnement des salariés de l' l'AI","47,628 €","18,660 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association des Jeunes pour l'Emploi","Accompagnement socio-professionnel des publics salariés de l'association intermédiaire AJE","63,049 €","15,226 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association HERISSON-BELLOR","Aide aux postes d'insertion en entreprise d'insertion","193,620 €","77,448 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Hérisson Bellor","Aide aux postes d'insertion en entreprise d'insertion","193,620 €","77,448 €","FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","ARIEGE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
