"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"3DELINEA","Mise au point d'une gamme innovante de protection anti-sudation lavable",153231,42500,"FEDER ","NORD-PAS-DE-CALAIS","NORD / LILLE / ROUBAIX / ROUBAIX","Programme Opérationnel Compétitivité et Emploi Nord-Pas-de-Calais","4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"3 ID Instance Intercommunale d'Insertion","Accès à l'emploi pour les familles monoparentales",14344,7172,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS","PAS-DE-CALAIS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 ID Instance Intercommunale d'Insertion","Aide à l'encadrement des bénéficiaires du RMI 2009",180000,90000,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 ID Instance Intercommunale d'Insertion","Aide à l'Encadrement des BRMI - 2007",176250,88125,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS","PAS-DE-CALAIS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 ID Instance Intercommunale d'Insertion","Aide à l'Encadrement des BRMI - 2008",187500,93750,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS","PAS-DE-CALAIS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 ID Instance Intercommunale d'Insertion","Prestation (atelier socio esthétique) des participants PLIE 2009",5265,2765,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS","PAS-DE-CALAIS / LENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 ID Instance Intercommunale d'Insertion","Prestation des participants PLIE 2009  atelier socio esthétique ",3422,2422,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS","PAS-DE-CALAIS / LENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 ID Instance Intercommunale d'Insertion","Prestation participants PLIE 2008 Atelier Socio-Esthétique",3696,1614,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS","PAS-DE-CALAIS / LENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 ID Instance Intercommunale d'Insertion","Renforcement de l'encadrement IAE (Chantier Ecole de Sains en Gohelle) participants PLIE 2008",4026,,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS","PAS-DE-CALAIS / LENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"3 ID Instance Intercommunale d'Insertion","Renforcement de l'encadrement IAE de participants PLIE 2008 (secteur Propreté)",3600,,"FONDS SOCIAL EUROPEEN","NORD-PAS-DE-CALAIS","PAS-DE-CALAIS / LENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
