"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"3DELINEA","Mise au point d'une gamme innovante de protection anti-sudation lavable","153,231 €","42,500 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"4I-CONCEPT","Développement d'une première machine spéciale. Etude et fabrication d'un dispositif de dispositif de rangement de câbles.","77,500 €","21,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ACCESS-IT","Intégration des technologies de développement liées au terminal Microsoft Surface et recherche d'applications métiers","46,290 €","8,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ACTION PLASTURGIE ARTOIS FLANDRES ","Gouvernance du pôle d'Excellence Plasturgie","138,000 €","27,600 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ACTION PLASTURGIE ARTOIS FLANDRES ","Pôle d'excellence plasturgie : programme d'actions 2008","50,000 €","10,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ACTIPAYSAGE","Etude de faisabilité de méthodes de gestion différenciée appliquées aux espaces verts","70,204 €","17,500 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ADEELI - CPIE Flandre Maritime"," Un Dragon ! Dans mon jardin ?  et l'Observatoire Batracho-Herpétologique Régional Nord Pas de Calais (OBHER Nord Pas de Clais) CPIE Flandre Maritime","131,900 €","131,500 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ADER Initiative","Dotation fonds de prêts au titre de l'année 2008 dans le cadre du Programme Régional de Création Transmission d'Entreprises","325,000 €","22,500 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADEVIA (ex. SEM ARTOIS DEVELOPPEMENT)","Construction HQE d'un bâtiment tertiaire  Centre d'Affaires Artéa   de la ZAC de l'an 2000 à Liévin","516,312 €","206,524 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"ADINOV","Recherche et synthèse assistée par ordinateur de polymères fabriqués à partir d'agro-ressources","242,180 €","50,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ADITEC","PIVR plan de développement d'aditec","351,800 €","26,300 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
