"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ABC SARL","Accompagnement à l'emploi dans le cadre de l'insertion par l'activité économique",923100,29043,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","VAUCLUSE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"ABC SARL","AIDE AUX POSTES D INSERTION",58086,29043,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA VISTA","A.I.  ENTRETIEN ET MISE EN SECURITE DES REMPARTS NORD DU FORT D'ENTRECASTEAUX (TRANCHE 3)",105000,30000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA VISTA","Domaine de la Fontasse-Aménagement d'espaces naturels protégés",314997,48000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE / MARSEILLE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA VISTA","Domaine de la Fontasse : Aménagements d'espaces naturels protégés - Accompagnement socioprofessionnel des salariés en insertion",58293,20000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA VISTA","Domaine de la gardiole Aménagement d'espaces naturels protégés",302894,35000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE / MARSEILLE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA VISTA","Domaine de la Gardiole - Aménagements d'espaces naturels protégés - Accompagnement socio professionnel des salariés en insertion",58215,20000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA VISTA","Entretien des remparts du Fort Ganteaume",330413,80000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE / MARSEILLE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA VISTA","Entretien et mise en sécurité des remparts du Fort Ganteaume (tranche 3) : Accompagnement socio professionnel des salariés en insertion",53000,20000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTA VISTA","Entretien et mise en sécurité des remparts nord,est,ouest du Fort d'Entrecasteaux",478026,90000,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE / MARSEILLE / MARSEILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTEL","ACCOMPAGNEMENT A ET DANS L'EMPLOI",45000,22500,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","BOUCHES-DU-RHONE / MARSEILLE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"ACT MEDITERRANEE","CLUB D'ENTREPRISES SUR L'EGALITE PROFESSIONNELLE FEMMES - HOMMES",39000,19800,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"ADASEA des Hautes-Alpes","COORDINATION ET ANIMATION DU RESEAU DES ACTEURS DES SITES NATURA 2000 - 03/2009 à 03/2010",50000,25000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","HAUTES-ALPES","Programme Opérationnel FEDER",,
