"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"3ROAM SA","Appel à Projet Recherche Finalisée 2009  RAISOM ","539,027 €","77,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ADASEA des Hautes-Alpes","Animation du réseau des Sites Natura 2000 de l'ensemble du département des Hautes-Alpes","60,000 €","30,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ADASEA des Hautes-Alpes","COORDINATION ET ANIMATION DU RESEAU DES ACTEURS DES SITES NATURA 2000 - 03/2009 à 03/2010","50,000 €","25,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"ADELHA","Programme d'activité année 4 (2007) et année 5 (2008) - Espace Info Energie de GAP (05)","138,528 €","30,834 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"ADELHA","Programme d'activité année 6 (2009) - Espace Info Energie de GAP (05)","75,845 €","14,932 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"ADEME (Agence de l'Environnement et de la Maîtrise de l'Energie) PACA","Assistance Technique ADEME de la subvention globale Feder ADEME Paca 2007-2013 ","1,800,000 €","900,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"AGROPARC ","PROGRAMME 2009 RESEAU REGIONAL DE L INNOVATION","300,000 €","60,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"AGROPARC ","PROMOTION DES INNOVATIONS ET DES TECHNOLOGIES EN PROCESS AGROALIMENTAIRE - RRI 2008","314,750 €","70,800 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ALARME -SERVICE","Lydie DESSAUD - Alarme service","27,555 €","8,266 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"Albert AUTO","Albert MONTALBANO - Albert AUTO","35,980 €","9,150 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
