"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"BEAUTE DU COEUR","Montage d'ateliers autour du relooking pour personnes en insertion et développement des partenariats","18,741 €","5,799 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Chambre d'Agriculture des Alpes de Haute Provence","Accompagnement des créateurs d'entreprise agricole","109,048 €","49,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Haute Provence Initiative","Accompagnement post-création","75,300 €","33,943 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Ligue de l'enseignement des Alpes-de-Haute-provence","Antennes APP en milieu rural et utilisation des TIC en APP","222,223 €","100,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE","Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"Ligue de l'enseignement des Alpes-de-Haute-provence","Antennes de formations individualisées en milieu rural et FOAD","88,145 €","39,665 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE","Programme opérationnel national Fonds social européen",,
"Mission locale des Alpes de Haute-Provence","Renforcement des liens entre les jeunes et les milieux de l'entreprise","51,102 €","25,551 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"SPORT OBJECTIF PLUS","Dispositif local d'accompagnement 2009","83,400 €","36,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"SPORT OBJECTIF PLUS","DIspositif local d'accompagnement - DLA 04","77,400 €","30,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-DE-HAUTE-PROVENCE","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"ADEF (Association pour le Développement de l'Emploi par la Formation)","Diversification des choix professionnels des femmes et gestion de parcours","36,000 €","18,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Alcool Assistance Alpes-Maritimes","Addictions et travail : les réponses existent","23,000 €","11,500 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AVIE - Association Valbonnaise pour l'Insertion par l'Economie","Service d'aide à la mobilité pour le public jeune en parcours d'insertion professionnelle","76,000 €","38,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"CHANTIER PLUS 06","Insertion professionnelle des personnes en difficultés sur les chantiers de BTP par le biais de prestations de services","193,620 €","96,810 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CLAIE - COORDINATION LOCALE DES ACTEURS DE L'INSERTION PAR L'ECONOMIQUE","DLA 2008 - DISPOSITIF LOCAL D'ACCOMPAGNEMENT","152,000 €","50,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"CLAIE - COORDINATION LOCALE DES ACTEURS DE L'INSERTION PAR L'ECONOMIQUE","DLA 2009 : dispositif local d'accompagnement par des partenaires","176,000 €","73,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"CLAIE - COORDINATION LOCALE DES ACTEURS DE L'INSERTION PAR L'ECONOMIQUE","IAE 2009 : mise en réseau et accompagnement dans les AM","89,923 €","33,000 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
