"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ADASEA de la Sarthe","Animation Docob osmoderma foret de perseigne","90,000 €","45,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Agence de l'Environnement et de la Maîtrise de l'Energie ADEME","Mission ADEME d'instruction technique, administrative et financière des dossiers FEDER","366,954 €","183,477 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"AGGLOMERATION DU CHOLETAIS","Centre social du Planty - Extension et réaménagement","778,022 €","194,506 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"AGGLOMERATION DU CHOLETAIS","Espace culturel St Louis - 2e tranche, construction d'un théâtre - Phase 1 études et maîtrise d'oeuvre","1,264,459 €","252,892 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"59","Développement d'infrastructures culturelles"
"AGGLOMERATION DU CHOLETAIS","Pavillon du développement durable","126,958 €","38,087 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"AGGLOMERATION DU CHOLETAIS","Plan de lutte contre les discriminations sur le marché du travail sur le territoire du Choletais","42,824 €","10,706 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AGGLOMERATION DU CHOLETAIS","TIC & COM Système d'information voyageurs","77,756 €","19,439 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"ANGERS LOIRE METROPOLE","Antenne angevine Est de la Loire à Vélo","1,637,057 €","409,264 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"52","Promotion de transports urbains propres"
"ANGERS LOIRE METROPOLE","Basses vallées angevines - Animation Natura 2000 et agro-environnementale (2008-2010)","120,000 €","60,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ANGERS LOIRE METROPOLE","BILAN CARBONE D'ANGERS LOIRE METROPOLE : diagnostic des émissions de gaz à effets de serre","47,403 €","14,221 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"ANGERS LOIRE METROPOLE","Centre de méthanisation des déchets ménagers BIOPOLE","12,361,912 €","1,000,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"41","Energie renouvelable: biomasse"
"ANGERS LOIRE METROPOLE","Friches industrielles de Trélazé : création d'un parc public - Phase 1","389,641 €","97,410 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"50","Réhabilitation de sites industriels et de sols contaminés"
"ANGERS LOIRE METROPOLE","Restructuration de la station de dépollution de la Baumette","3,528,840 €","1,000,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"41","Energie renouvelable: biomasse"
"Angers Technopole Promotion","Développer et renforcer l'ingénierie de projets innovants en Anjou (année 2008/2009)","108,660 €","32,304 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Angers Technopole Promotion","Développer et renforcer l'ingénierie de projets innovants en Anjou - Année 2 (mai à décembre 2009)","117,576 €","35,273 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Antoine THAREAU","Installation photovoltaïque pour production d'électricité","115,065 €","21,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"40","Energie renouvelable: én. solaire"
"Arts et Métiers ParisTech - Centre ENSAM d'Angers","Réseau de Recherche sur les Procédés de fabrication Emergents pour la réalisation d'ensembles composites ou métalliques R2PE - équipements scientifiques de l'ENSAM","369,995 €","74,995 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Association des assises nationales des déchets","Assises nationales des déchets","216,523 €","64,957 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Association La Turmelière","Mise en place d'une chaudière à bois déchiqueté","331,136 €","35,334 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"41","Energie renouvelable: biomasse"
"Association  Pôle de compétitivité ID4CAR  (ex Pôle de compétitivité automobile haut de gamme)","AUTOSARLAB","2,026,929 €","212,881 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association pour le Développement du Bassin Versant de la Baie de Bourgneuf","Animation Natura 2000","90,000 €","45,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ASSOCIATION POUR LES TRANSFERTS DE TECHNOLOGIES DU MANS - CTTM","Développer les forces technologiques du CTTM - dossier 2007-2008","3,968,463 €","992,116 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ASSOCIATION POUR LES TRANSFERTS DE TECHNOLOGIES DU MANS - CTTM","Projet AEREDECO  - recyclage des composites aéronautiques","197,040 €","9,852 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"1","Activités R&DT dans centres de recherche"
"ASSOCIATION POUR LES TRANSFERTS DE TECHNOLOGIES DU MANS - CTTM","Valoriser les savoir faire du CTTM au profit des PME - 1ère phase (2007-2008-2009)","264,367 €","76,950 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ATLANBOIS","Mise en place d'une cellule bois-énergie à Atlanbois","623,000 €","208,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"41","Energie renouvelable: biomasse"
"ATLANPOLE","Blue Cluster -action de faisabilité 2009","315,386 €","78,800 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ATLANPOLE","CEEi hors et post incubation 2007","486,190 €","145,857 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ATLANPOLE","CEEi hors et post incubation 2008","497,315 €","149,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ATLANPOLE","CEEi hors et post incubation 2009","507,253 €","152,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ATLANPOLE","Incubateur 2007","825,000 €","247,500 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ATLANPOLE","Incubateur 2008","819,178 €","245,099 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ATLANPOLE","Incubateur 2009","833,721 €","250,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ATLANPOLE","Pôle Atlantic Biothérapies: Développement biothérapies 2008","394,517 €","98,629 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ATLANPOLE","Pôle Atlantic Biothérapies: Développement biothérapies 2009","583,730 €","145,932 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ATLANPOLE","Recherche collaborative 2007","200,567 €","48,342 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ATLANPOLE","Recherche collaborative 2008","212,320 €","53,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ATLANPOLE","Recherche collaborative 2009","275,756 €","68,930 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ATLANTIQUE HABITATIONS","Construction d'un foyer de jeunes travailleurs en haute performance énergétique à Machecoul","52,116 €","7,046 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"ATLANTIQUE HABITATIONS","Construction d'un foyer de jeunes travailleurs en haute performance énergétique à St Philbert de Grandlieu","49,647 €","8,295 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"BARREAU Frédéric","Installation de panneaux photovoltaïque","84,585 €","21,000 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"40","Energie renouvelable: én. solaire"
"BEAUDOIN Eric","Installation photovoltaïque pour production d'électricité","35,777 €","9,355 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"40","Energie renouvelable: én. solaire"
"Bernard Morantin","Installation photovoltaïque pour production d'électricité","59,988 €","12,717 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"40","Energie renouvelable: én. solaire"
"Bertrand PERDRIAU","Installation photovoltaïque pour production d'électricité","78,442 €","16,735 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"40","Energie renouvelable: én. solaire"
"BIDON Claude","Installation photovoltaïque pour production d'électricité","44,855 €","8,969 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"40","Energie renouvelable: én. solaire"
"BIOGASYL","Mise en oeuvre d'une unité de méthanisation à partir de déchets agricoles et agro industriels ","2,527,295 €","423,350 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"41","Energie renouvelable: biomasse"
"BIORET Jean-Pierre","Installation photovoltaïque pour production d'électricité","70,107 €","14,868 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"40","Energie renouvelable: én. solaire"
"BOISARD Didier","Installation photovoltaïque pour production d'électricité","49,480 €","5,974 €","FEDER ","PAYS DE LA LOIRE","PAYS DE LA LOIRE",,"40","Energie renouvelable: én. solaire"
