"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Accueil Garage Insertion du Saumurois","Développement et professionnalisation d'un garage solidaire par l'insertion par l'économique",193993,89700,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","MAINE-ET-LOIRE / SAUMUR / SAUMUR / SAUMUR","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"Actual Interim Insertion (A2I)","Accompagnement des bénéficiares du RSA vers l'emploi durable dans l'entreprise d'intérim d'insertion vers l'emploi durable",70499.25,25874.25,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Actual Interim Insertion (A2I)","Actions d'accompagnement socio-professionnel",70499.74,27499.74,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADASEA de la Sarthe","Animation Docob osmoderma foret de perseigne",90000,45000,"FEDER ","PAYS DE LA LOIRE","SARTHE","Programme opérationnel FEDER - 2007/2013","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ADC propreté","Aide aux postes en entreprise d'insertion",755118,377559,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADELIS","Accompagnement",15850,15850,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADELIS","Accompagnement",94715,94715,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADELIS","Formation",8490,6800,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADELIS","Intégration",96237,96237,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADELIS","Intégration à l'emploi - Challenge emploi",22383,20923,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADIPH Espaces Verts (AEV)","Aide aux postes en entreprise d'insertion",271068,135534,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
