"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"AISNE ACTION EMPLOI","Action Intégr'Emploi  2009-2010","315,784 €","142,103 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AISNE ACTION EMPLOI","AISNE INITIATIVE EMPLOI - 2008","101,943 €","45,874 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AISNE ACTION EMPLOI","AISNE INITIATIVE EMPLOI - 2009-2010","221,571 €","99,707 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AISNE ACTION EMPLOI","Emploi et entreprises - méthode IOD - 2008","398,736 €","179,431 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AISNE ACTION EMPLOI","Emploi et entreprises - méthode IOD - 2009-2010","808,298 €","363,734 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Centre d'information sur les Droits des Femmes et des Familles de l'Aisne","Optimiser l'accès à la formation des femmes de l'Aisne 2008-2009","90,140 €","45,070 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",69,"Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Centre d'information sur les Droits des Femmes et des Familles de l'Aisne","Optimiser l'accès à la formation des femmes de l'Aisne 2009-2010","119,000 €","70,000 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",69,"Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Chambre de Commerce et d'Industrie de l'Aisne (CCI)","Sécurisation des parcours professionnels via GPEC territoriale pilote sur département Aisne 2009-2012","776,584 €","349,463 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",64,"Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"G.R.I.E.P (Groupement Régional de l'Insertion par l'Economique en Picardie)","Dispositif Local d'accompagnement de l'Aisne","90,322 €","40,645 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",64,"Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"G.R.I.E.P (Groupement Régional de l'Insertion par l'Economique en Picardie)","Formation Complémentaire Contrats Aidés Aisne 2009","562,200 €","281,100 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"G.R.I.E.P (Groupement Régional de l'Insertion par l'Economique en Picardie)","Formation Complémentaire Contrats Aidés Aisne 2010","790,000 €","395,000 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"LE RELAIS","aide aux postes d'insertion 2010","348,516 €","174,258 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"L'Etablissement Social et industriel (ESI)","Aide aux postes d'insertion 2010","19,362 €","9,681 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mission Locale pour l'Insertion Professionnelle et Sociale des Jeunes du Bassin du Soissonnais","PROMOTION EMPLOIS AIDES","68,806 €","34,403 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",65,"Modernisation et renforcement des institutions du marché du travail"
"RECYCL'AISNE","aide aux postes entreprises d'insertion 2010","58,086 €","29,043 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"RESTAU BAT","aide aux postes d'insertion 2010","48,405 €","24,203 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"SARL LA BLANCHISSERIE CENTRALE","Aide aux postes d'insertion 2010","348,516 €","174,258 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"SOLI*BOIS & CO","aide aux postes d'insertion 2010","38,724 €","19,362 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association intermédiaire  Les petits boulots de l'Ormois ","CHANTIER D'INSERTION","218,879 €","11,680 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE / CHATEAU-THIERRY","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mairie de Château-Thierry","Chantier voirie et mobilier urbain","201,288 €","13,380 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE / CHATEAU-THIERRY","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"MISSION LOCALE DE L'ARRONDISSEMENT DE CHATEAU-THIERRY","ACTION MOBILITE DU SUD DE L'AISNE 2009","58,286 €","29,143 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE / CHATEAU-THIERRY","Programme opérationnel national Fonds social européen",65,"Modernisation et renforcement des institutions du marché du travail"
"MISSION LOCALE DE L'ARRONDISSEMENT DE CHATEAU-THIERRY","ML CHATEAU THIERRY - SUBVENTION GLOBALE 2008/2010","1,198,902 €","610,032 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE / CHATEAU-THIERRY","Programme opérationnel national Fonds social européen",71,"Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"MISSION LOCALE DE L'ARRONDISSEMENT DE CHATEAU-THIERRY","Promotion, développement et suivi CAE Passerelle","40,500 €","20,250 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE / CHATEAU-THIERRY","Programme opérationnel national Fonds social européen",65,"Modernisation et renforcement des institutions du marché du travail"
"Collège FRANCOIS TRUFFAUT","ECOLE OUVERTE 2009","20,741 €","8,741 €","FONDS SOCIAL EUROPEEN","PICARDIE","AISNE / CHATEAU-THIERRY / CHARLY / CHARLY","Programme opérationnel national Fonds social européen",73,"Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
