"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ACIME TECHNOLOGY","Développement d'un référentiel de composants industriels dédié à la conception de transformateurs","167,498 €","66,999 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ACOR -INTER","A0904012T : Etude de faisabilité technico-économique d'un dispositif de recyclage des poudres anti-incendie de type ABC (les plus communes)","108,150 €","50,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ACOR -INTER","A0904013T : Etude de faisabilité technico-économique d'un dispositif de détection hydraulique pour les installations anti-incendie de type  déluge ","111,050 €","50,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ACOR -INTER","AE :A0809008T A0812007T Système de dosage hydraulique constant pour l'activité d'extinction incendie  ","573,654 €","50,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ADASEA CHARENTE MARITIME","Elaboration d'un plan d'action de lutte contre les pesticides sur le bassin versant de la Soloire","80,550 €","16,110 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"45","Gestion et distribution d'eau (eau potable)"
"ADIT","EURADIT Poitou-Charentes","2,013,450 €","805,380 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ADNET CONSULTING","A1002008T : Programme de recherche et développement d'un système d'information libre","35,450 €","17,700 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"ALAIN BIROT","Centrale photovoltaïque connectée au réseau d'une puissance de 24.395 kWc","129,710 €","14,637 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"40","Energie renouvelable: én. solaire"
"altantlique alimentaire","A0811006T Lancement commercial de galettes pancakes et wraps en continu suite à la mise au point du procédé, objet de l'aide n° A0807003T","44,284 €","22,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"altantlique alimentaire","A1001009T-Mise au point de procédés de fabrication (dosage, cuisson,...) adaptés aux produits bio.","106,952 €","50,000 €","FEDER ","POITOU-CHARENTES","POITOU-CHARENTES",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
