"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Association pour les Gens du Voyage de la Région de Cognac (AGVRC)","2008 - Garage associatif LE VAGO","116,262 €","19,818 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CASSIOPEE","2008 - Cassiopée Lieu Ressources","116,082 €","55,000 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Centre Social Culturel et Sportif","2008 APLIS CSC ROUMAZIERES LOUBERT","20,751 €","7,171 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Chambre d'Agriculture des Deux-Sèvres","2008  Adaptation des accompagnements aux publics agricoles particuliers","8,239 €","2,475 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Chambre de Métiers et de l'Artisanat Charente","2007: promotion et accompagnement à la VAE pour les titres du secteur des métiers","20,861 €","8,344 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Chambre de Métiers et de l'Artisanat Charente","2008: COMAFOA/ Prestations R.H","73,050 €","32,872 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Chambre de Métiers et de l'Artisanat Charente","2008 Créer et reprendre une entreprise artisanale en Charente 2008","260,998 €","115,962 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre de Métiers et de l'Artisanat Charente","2008: Formation des artisans et conjoints","68,182 €","30,000 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Chambre de Métiers et de l'Artisanat Charente","2008 - Promotion de l'artisanat de la charente","16,699 €","7,074 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Chambre de Métiers et de l'Artisanat Charente","2009: Accompagnement des créateurs/ repreneurs d'entreprises artisanales","189,880 €","94,940 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre de Métiers et de l'Artisanat Charente","GRH Artisanat","158,677 €","63,471 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ChambreDépartementale d'Agriculture de la Charente","2008-2009 Adaptation des accompagnements aux publics agricoles particuliers","16,875 €","6,750 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"CHARENTE INITIATIVES","2008 - Accompagner la création reprise d'entreprise en Charente","33,091 €","11,900 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CIDF 16 Centres d'Information sur les Droits des Femmes et des Familles de la Charente","2008 Promouvoir l'accès des femmes à l'emploi en Charente","69,470 €","34,470 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"CIDF 16 Centres d'Information sur les Droits des Femmes et des Familles de la Charente"," 2009 - Promouvoir l'accès des femmes à l'emploi dans le département de la Charente","70,000 €","35,000 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Communauté d'Agglomération du Grand Angoulême ","2008-2010 Subvention globale COMAGA","2,092,686 €","1,046,343 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"Conseil Général de la Charente","2008-2010 Subvention globale CG 16","5,620,410 €","2,211,600 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"Conseil Général de la Charente","2008 - Assistance technique","136,451 €","65,292 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"Conseil Général de la Charente","2008 - Mixité professionnelle en Charente ","26,444 €","13,222 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Conseil Général de la Charente","2009 - Concours bâtiment au féminin","6,600 €","3,300 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Conseil Régional Poitou-Charentes","2007 : Accompagnement des femmes vers l'emploi durable (16) - RETRAVAILLER","80,011 €","40,006 €","FONDS SOCIAL EUROPEEN","POITOU-CHARENTES","CHARENTE","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
