Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégo- -risation,Libellé catégorisation
ADCAM,Centre d'Intelligence Juridique Economique et Technique CIJET 2007,"63,191 €","37,914 €",FEDER ,REUNION,REUNION,,15,Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME
ADCAM,Centre d'Intelligence Juridique Economique et Technique CIJET 2008,"69,998 €","41,999 €",FEDER ,REUNION,REUNION,,15,Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME
ADCAM,Centre d'Intelligence Juridique Economique et Technique CIJET 2010,"68,754 €","41,252 €",FEDER ,REUNION,REUNION,,15,Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME
ADCAM,Centre d'intelligence juridique économique et technique CIJET- programme 2009,"70,000 €","42,000 €",FEDER ,REUNION,REUNION,,15,Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME
AER REUNION,Acquisition de matériels de production,"37,445 €","8,987 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
AGENCE DE DEVELOPPEMENT DE LA REUNION,Etude économique sur la filière environnement et ses perspectives,"61,314 €","36,788 €",FEDER ,REUNION,REUNION,,,
AGENCE DE DEVELOPPEMENT DE LA REUNION,Programme d'actions 2008,"762,245 €","457,347 €",FEDER ,REUNION,REUNION,,9,"Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
AGENCE DE DEVELOPPEMENT DE LA REUNION,Programme d'actions de l'AD Réunion pour l'exercice 2009,"762,245 €","457,347 €",FEDER ,REUNION,REUNION,,9,"Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
agence de développement de la Réunion,Programme d'actions 2007,"762,245 €","457,347 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
AGENCE REGIONALE DE L'ENERGIE REUNION,Publications de l'observatoire de l'énergie de la Réunion : bilans des émissions de GES en 2007 ,"7,420 €","3,116 €",FEDER ,REUNION,REUNION,,,
ALIZE PLAGE,Rénovation de l'hôtel  Alizé Plage ,"201,646 €","40,227 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ALOHA DEVELOPPEMENT,Création d'une société de recyclage de cartouches d'imprimantes,"46,935 €","16,897 €",FEDER ,REUNION,REUNION,,44,Gestion des déchets ménagers et industriels
AMCI Assistance Maîtrise Conseil Informatique,Nouveaux Services en Ligne,"24,796 €","7,439 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
AMOUR DE FLEURS,Aide aux investissements des entreprises industrielles et artisanales,"6,984 €",,FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ANTENNE REUNION,Conseil en stratégie,"15,000 €",,FEDER ,REUNION,REUNION,,9,"Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
ANTENNE REUNION,Evolution du réseau et du cur informatique,"236,292 €","70,888 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ANTENNE REUNION,Numérisation de la chaîne de production et préparation à la Haute Définition (HD) - Phase 2,"388,806 €","116,642 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ANTHURIUM HOTELS ASSOCIATION,Actions collectives de promotion sur les marchés européens prioritaires au SDATR,"67,223 €","32,267 €",FEDER ,REUNION,REUNION,,57,Autres outils d'amélioration des services touristiques
ARCHIV'2000,Acquisition de matériels de numérisation,"409,590 €","73,726 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ARDA (Association Réunionnaise pour le Développement de l'Aquaculture),Centre de diffusion technologique on line,"126,345 €","75,807 €",FEDER ,REUNION,REUNION,,13,"Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
ARDA (Association Réunionnaise pour le Développement de l'Aquaculture),Observation des flux migratoires des populations de poissons et de macrocrustacés diadromes de La Réunion,"217,594 €","130,556 €",FEDER ,REUNION,REUNION,,51,Promotion de la biodiversité et protection de la nature (y compris Natura 2000)
ARDA (Association Réunionnaise pour le Développement de l'Aquaculture),Optimisation et sécurisation du système de production aquacole en cage offshore implanté en baie de St Paul,"100,000 €","60,000 €",FEDER ,REUNION,REUNION,,3,Transfert de technologie et amélioration des réseaux de coopération...
ARISTANGELE Didier,Aide aux investissements des entreprises industrielles et artisanales,"47,060 €","8,471 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ART DE FER,Acquisition de matériels de production,"63,688 €","15,285 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ARTIC,EmissionsTV : l'ARTIC PRATIC II,"177,650 €","79,943 €",FEDER ,REUNION,REUNION,,15,Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME
ARTIC,Forum TIC 2007,"65,903 €",,FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
ASSOCIATION DOMAINE DES TOURELLES,Programme d'actions 2009,"78,866 €","47,320 €",FEDER ,REUNION,REUNION,,,
ASSOCIATION DOMAINE DES TOURELLES,Programmes d'actions 2008,"75,782 €","45,469 €",FEDER ,REUNION,REUNION,,9,"Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
ASSOCIATION POUR LE DEVELOPPEMENT INDUSTRIEL DE LA REUNION (ADIR),les nouveaux défis 2007,"215,111 €","96,800 €",FEDER ,REUNION,REUNION,,8,Autres investissements en entreprises
