"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"GIP-FCIP-OIP","Actions de remotivation des élèves dans un parcours de formation (MODAL) - Année 2009-2010","49,300 €","34,510 €","FONDS SOCIAL EUROPEEN","REUNION","Multilocalisation","PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"GIP-FCIP-OIP","Actions de remotivation des élèves dans un parcours de formation (Modules d'accueil en lycée- MODAL) 2008-2009","43,900 €","30,730 €","FONDS SOCIAL EUROPEEN","REUNION","Multilocalisation","PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"GIP-FCIP-OIP","Actions de remotivation des élèves dans un parcours de formation MOREMO 2008-2009","107,800 €","75,460 €","FONDS SOCIAL EUROPEEN","REUNION","Multilocalisation","PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"GIP-FCIP-OIP","Actions de remotivation des élèves dans un parcours de formation (MOREMO) - Année 2009-2010","107,800 €","75,460 €","FONDS SOCIAL EUROPEEN","REUNION","Multilocalisation","PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ADI  (AGENCE  D'INSERTION DE LA REUNION)","Formation et Accompagnement professionnelle durable des bénéficiaires des minima sociaux et des contrats aidés 2008","2,571,429 €","1,800,000 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADI  (AGENCE  D'INSERTION DE LA REUNION)","Programme d'actions d'accompagnement et de formation 2007","1,428,570 €","1,000,000 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADIE: Association pour le Droit à l'Initiative Economique","Crédit solidaire et aide à la création et au premier dévéloppement de très petites entreprises - Programme 2008","369,404 €","258,583 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","68","Aide au travail indépendant et à la création d'entreprise"
"AGENCE POUR L'INTEGRATION DE L'EGALITE DES CHANCES ENTRE LES HOMMES ET LES FEMME","CHANCE EGAL - Programme 2009","129,375 €","90,563 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"ANT","Mobilité ANT - Programme 2008","6,314,286 €","4,420,000 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ARVISE","Santé et sécurité du travail 2009","36,592 €","25,614 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"ARVISE","Service à la personne - Programme 2009","48,184 €","33,729 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Association Réunion Active","Expertise,financement et suivi post création de projets développement par l'activité économique 2009","146,786 €","102,750 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","68","Aide au travail indépendant et à la création d'entreprise"
"CARIF OREF","Mission d'appui à la prévention et à la lutte contre l'illettrisme (MAPLI) 2009","182,500 €","127,750 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CARIF OREF","Missions de bases - Programme 2009","768,029 €","537,620 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre Technique du Tourisme de l'Hotellerie et de la Restauration (CENTHOR)","CAP Services Hôteliers","138,791 €","97,154 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre Technique du Tourisme de l'Hotellerie et de la Restauration (CENTHOR)","Institut de Promotion Commerciale Hôtelière - Année 2007","225,000 €","157,500 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Centre Technique du Tourisme de l'Hotellerie et de la Restauration (CENTHOR)","Institut de Promotion Commerciale Tourisme et Montagne - Programme 2007","227,564 €","159,295 €","FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
