"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"AGEFOS-PME Rhône-Alpes","Formation collective agents d'accompagnement auprès des personnes agées et des personnes dépandantes en maison de retraite, avec une option relative à la formation reuise pour prétendre à la VAE aide soignante (AAPAPD / VAE DEAS)","28,452 €","9,105 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGLCA (Agence pour la Gestion, la Liaison et le Conseil aux Associations)","Dispositif Local d'Accompagnement de l'Ain (2009)","71,362 €","35,000 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"AGLCA (Agence pour la Gestion, la Liaison et le Conseil aux Associations)","Dispositif Local d'Accompagnement de l'Ain. Fonds Ingénierie","73,314 €","36,657 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","80","Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
"AGLCA (Agence pour la Gestion, la Liaison et le Conseil aux Associations)","Professionnalisation et appui aux associations relais dans les territoires ruraux ou fragiles","23,000 €","17,250 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association ATELEC - Lettres pour l'être","Ateliers permanents d'acquisition et de développement des compétences de base pour des personnes adultes en situation d'illettrisme","110,167 €","11,000 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CENTRE AIN INITIATIVES ACTIVE","Développement et intégration dans l'économie locale des entreprenariats d'insertion, d'utilité sociale et de solidarité","250,753 €","60,000 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Centre psychothérapique de l'Ain","Accompagnement des personnes bénéficiaires du RMI en souffrance psychique","561,103 €","180,000 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Communauté d'Agglomération de Bourg-en-Bresse","Développement de l'offre de service des points information emploi de l'Agglomération de Bourg en Bresse","518,050 €","250,370 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Conseil Général de l'AIN","Financement d'un poste de chargé de mission FSE","162,500 €",,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen",,
"Conseil Général de l'AIN","Subvention globale FSE (2008-2010)","3,580,369 €","1,483,336 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","86","Evaluation et études; information et communication"
"Direction régionale de Pôle emploi Rhône Alpes","Organisation et gestion de parcours d'insertion professionnelle vers l'emploi durable des personnes ","2,338,716 €","1,010,793 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"GRoupe pour l'Emploi des Probationnaires (GREP)","Consolider nos actions d'insertion professionnelle aux condamnés domiciliés sur le secteur d'Oyonnax et préparer au mieux la sortie des détenus du futur centre pénitentiaire de  Bourg en Bresse (2009-2010)","159,389 €","65,000 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"BRUNET TP","Brevet technicien supérieur travaux publics","22,477 €","8,991 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BELLEY / AMBERIEU-EN-BUGEY / AMBERIEU-EN-BUGEY","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Ainter services","Aide aux postes d'insertion","140,375 €","70,187 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Ainter services","Aide aux postes en entreprise d'insertion","135,534 €","67,767 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mission Locale Jeunes","Accès des jeunes au marché du travail par l'accueil et l'orientation","701,438 €","37,805 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Urgences entretien espaces verts","Aide aux postes d'insertion sur le secteur de l'environnement et des espaces verts .","154,896 €","77,448 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"S.M.J.M","Brevet professionnel charpente bois","12,150 €","4,774 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / BAGE-LE-CHATEL / REPLONGES","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"MICRONOV","Aide aux postes en entreprise d'insertion","31,947 €","15,973 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / BOURG-EN-BRESSE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CEGELEC CENTRE EST","Certificat de qualification professionnelle (cqp) courants faibles ","15,592 €","6,237 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / MIRIBEL / SAINT-MAURICE-DE-BEYNOST","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CEGELEC CENTRE EST","Certificat de qualification professionnelle (cqp) courants faibles ","20,789 €","7,383 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / MIRIBEL / SAINT-MAURICE-DE-BEYNOST","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Espace Temps","Aide aux postes en entreprise d'insertion","24,203 €","12,101 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / MONTREVEL-EN-BRESSE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"EUROVIA ALPES","Certificat de compétences professionnelles - réaliser les différentes couches d'enrobés à chaud","2,329 €",932 €,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / PONT-D'AIN / CERTINES","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"RABUEL CONSTRUCTION","Menuisier de fabrication bâtiment ameublement","12,150 €","4,315 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / PONT-DE-VEYLE / CORMORANCHE-SUR-SAONE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"BOURDON Michel & Fils","Gestion des entreprises artisanales du bâtiment","6,875 €","2,750 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / PONT-DE-VEYLE / SAINT-CYR-SUR-MENTHON","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"BOURDON Michel & Fils","Gestion des entreprises artisanales du bâtiment","9,453 €","3,357 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / PONT-DE-VEYLE / SAINT-CYR-SUR-MENTHON","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"SOCIETE CHARRION ET FILS","Brevet technicien supérieur charpente couverture","46,680 €","18,672 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / BOURG-EN-BRESSE / VILLARS-LES-DOMBES / VILLARS-LES-DOMBES","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Entreprise d'insertion des jeunes de l'Ain EIJA","Aide aux postes en entreprise d'insertion, secteur des services, d'aménagement paysager et nettoyage","106,491 €","53,246 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / NANTUA / OYONNAX / OYONNAX","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mission Locale action jeunes ","Accompagnement renforcé et personnalisé de jeunes 16-25 ans","540,492 €","73,630 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / NANTUA / OYONNAX / OYONNAX","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"OYONNAX RUGBY","Plan de formation Oyonnax Rugby","14,130 €","4,522 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / NANTUA / OYONNAX / OYONNAX","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"PERRAUD & ASSOCIES","Brevet de maîtrise charpente",514 €,144 €,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","AIN / NANTUA / PONCIN / SAINT-JEAN-LE-VIEUX","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
,,,,,,,,,
"ADASEA de l'Ardèche","Accompagnement de la transmission et création des entreprises rurales (2009-2010)","163,584 €","73,613 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","ARDECHE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Association Parenthèse","Pégase parenthèse, une passerelle vers l'emploi durable","39,809 €","19,000 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","ARDECHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CEFORA (CEntre de FORmation Ardèchois)","Action de lutte contre l'illetrisme, itinérante et rurale - AGIR","45,319 €","17,819 €","FONDS SOCIAL EUROPEEN","RHONE-ALPES","ARDECHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
