Country,1 EUR equals,Currency Code,Description,Source
BULGARIA,1.956022,BGN,Pegged to the Euro since 8/6/2004 at,http://www.oanda.com/currency/average
CZECH REPUBLIC,26.0212525,CZK,average over 2007-2010,http://www.oanda.com/currency/average
DENMARK,7.447895,DKK,average over 2007-2010,http://www.oanda.com/currency/average
ESTONIA,15.6466,EEK,average over 2007-2010,http://www.oanda.com/currency/average
HUNGARY,268.9059,HUF,average over 2007-2010,http://www.oanda.com/currency/average
LATVIA,0.709325,LVL,average over 2007-2010,http://www.oanda.com/currency/average
LITHUANIA,3.468675,LTL,average over 2007-2010,http://www.oanda.com/currency/average
POLAND,3.9543375,PLN,average over 2007-2010,http://www.oanda.com/currency/average
ROMANIA,3.968065,RON,average over 2007-2010,http://www.oanda.com/currency/average
SWEDEN,9.840785,SEK,average over 2007-2010,http://www.oanda.com/currency/average
UK,0.8216375,GBP,average over 2007-2010,http://www.oanda.com/currency/average
