payee_name,project_title,year_joined,public_expenditure_listing,fund,uri
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«∆ιοργάνωση Επιτροπών Παρακολούθησης και Τεχνικών Συσκέψεων της ΕΥ∆» του Άξονα Προτεραιότητας 10, 11, 12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"120.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«Σύµβουλος Τεχνικής Υποστήριξης της Ειδικής Υπηρεσίας ∆ιαχείρισης του Επιχειρησιακού Προγράµµατος «∆ιοικητική Μεταρρύθµιση 2007-2013», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"950.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«Έρευνα για το ποσοστό των πολιτών που γνωρίζουν το Ε.Π. και τους στόχους του» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"60.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«∆ιοργάνωση Ηµερίδων ευαισθητοποίησης ∆ικαιούχων του Άξονα Προτεραιότητας 10,11,12», Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"300.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«Σύµβουλος ∆ηµοσιότητας του Ε.Π. «∆ιοικητική Μεταρρύθµιση 2007-2013» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"500.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«Προµήθεια Λογισµικού για την ΕΥ∆ του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"5.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«∆απάνες για την εκπαίδευση των ∆ικαιούχων του Ε.Π. ‘∆ιοικητική Μεταρρύθµιση 2007-2013» του Άξονα Προτεραιότητας 10, 11, 12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"20.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«∆απάνες για την εκπαίδευση του προσωπικού Ε.Υ.∆., Ε.∆.Α., Ε.Φ.∆. του Ε.Π. ‘∆ιοικητική Μεταρρύθµιση 2007-2013» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"20.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«Μελέτη καταγραφής τρόπου εξυπηρέτησης πολιτών σε 20 χώρες-µέλη», στον Άξονα 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"125.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«Yπηρεσίες υποστήριξης και συντήρησης για την EY∆ του του Επιχειρησιακού Προγράµµατος «∆ιοικητική Μεταρρύθµιση 2007- 2013» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"25.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","«Μελέτη και διεξαγωγή έρευνας µε θέµα τη διερεύνηση του βαθµού ικανοποίησης των πολιτών από τις δηµόσιες υπηρεσίες της χώρας και κατάρτιση προτάσεων βελτίωσης και επικοινωνίας σε σχέση µε τις προσδοκίες των πολιτών» στον Άξονα Προτεραιότητας 10,11,12 Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"154.000,00","",http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"«Κωδικοποιήσεις και απλουστεύσεις των νοµοθετικών και κανονιστικών ρυθµίσεων στον τοµέα της ισότητας των φύλων», Γενικός Στόχος ΙΙΙ «ΕΝ∆ΥΝΑΜ ΣΗ Τ Ν ΠΟΛΙΤΙΚ Ν ΙΣΟΤΗΤΑΣ ΣΕ ΟΛΟ ΤΟ ΕΥΡΟΣ ΤΗΣ ∆ΗΜΟΣΙΑΣ ∆ΡΑΣΗΣ», ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ 07,08, 09",2009,"799.279,95",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"«Εκπαίδευση ∆ικαιούχων της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"10.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"«Εκπαίδευση Προσωπικού ΕΥ∆/Ε∆Α/ΕΦ∆ της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"10.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"Προµήθεια Λογισµικού της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"10.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"«Έξοδα ∆ηµοσιεύσεων – Ανακοινώσεων της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"10.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"«Οργάνωση εκδηλώσεων – συνεδριάσεων – συσκέψεων της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"45.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"«Συµµετοχή σε Ηµερίδες – Συνέδρια της Ειδικής Υπηρεσίας Εφαρµογής της Γενικής Γραµµατείας Ισότητας», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"17.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΙΣΟΤΗΤΑΣ (ΓΓΙ),"«Μελέτη οργάνωσης για την δηµιουργία των 13 περιφερειακών διοικητικών υπηρεσιών ισότητας και της διασύνδεσής τους µε τη ΓΓΙ και το Παρατηρητήριο Ισότητας το οποίο θα δηµιουργηθεί στο πλαίσιο του Γενικού Στόχου ΙΙΙ», Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"40.000,00",EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358
