payee_name,project_title,year_joined,public_expenditure_listing,fund,uri
Νοµαρχία Ανατολικής Αττικής,Αναβάθµιση εξωτερικού δικτύου ύδ ρωπίων,2009,"9.236.185,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
Περιφέρεια Αττικής - ∆ιεύθυνση ∆ηµοσίων Εργων,Κατασκευή εξωτερικού αγωγού ύδ Φαναρίου - ∆ρυόπης απ,2009,"1.897.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
Περιφέρεια Αττικής - ∆ιεύθυνση ∆ηµοσίων Εργων,Κατασκευή εξωτερικού αγωγού ύδρε Αγίας Ελένης - Άνω,2009,"2.010.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Αυλώνα,Έργα αναβάθµισης και βελτίωσης ύδρευσης ∆ήµου Αυλώνα,2009,"1.950.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Λαυρεωτικής,Αντικατάσταση εσωτερικού δικ Λαυρεωτικής,2009,"2.741.701,65",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Σπάτων,Αντικατάσταση αµιαντοσωλήνων κα ύδρευσης του ∆ήµου,2009,"2.856.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Βριλησσίων,Βελτίωση - Αναβάθµιση εσωτερικού δ Βριλησσίων,2009,"4.165.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Παλλήνης,Αντικατάσταση και επέκταση δικ Βακαλόπουλο,2009,"950.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
ΕΥ∆ΑΠ Α.Ε,Υδροδότηση Σαλαµίνας µέσω δι Φανερωµένης,2009,"8.366.233,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
Περιφέρεια Αττικής - ∆ιέυθυνση ∆ηµοσίων Εργων,Κατασκευή - Αναβάθµιση δικτύου Καπανδριτίου,2009,"1.999.200,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Κρωπίας,Αντικατάσταση Αµιαντοσωλήνων,2009,"2.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
Νοµαρχία Ανατολικής Αττικής,Αντικατάσταση αµιαντοτσιµεντοσωλ αγωγών περιοχής Αγκώνα - Αγίας ζώνης ∆ήµου Καλ,2009,"6.057.100,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Ελληνικού,Πράσινη παρέµβαση στ,2009,"1.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Πειραιά,Βελτίωση της λειτουργικότητας αναβάθµιση Αστικού Περιβάλλο,2009,"3.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Μελισσίων,Ανάπλαση περιοχής 1η,2009,"1.500.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Αιγάλεω,"Ανάπλαση - Βελτίωση λειτουργικότ οδού Εδέσσης, Κοινοχρήστων χώρων χαράς άλσους, πλατείας Ματρώζου Αιγάλεω.",2009,"2.500.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Λυκόβρυσης,Αναζωογόνηση και ενίσχυση πρασίν,2009,"1.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Ζωγράφου,Πράσινη ζωή στη,2009,"2.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Ψυχικού,Βελτίωση της λειτουργικότητας αναβάθµιση του αστικού περιβάλ προσβασιµότητας και της κινητι,2009,"1.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Ιλίου,Πράσινη ζωή στην πόλη,2009,"2.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Αµαρουσίου,∆ιαδροµές ζωής - πνοή Περιβά,2009,"2.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Ηλιούπολης,"Σχέδιο ""Πράσινη ζωή στην πό",2009,"2.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ηµος Κηφισιάς,Πράσινη Κηφισιά,2009,"2.500.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ηµος Φιλοθέης,"Ανάπλαση του κοινόχρηστου χώρου πρ Καποδιστρίου, Συνταγµατάρχου Κρι Σαρανταπόρου και Λουκή Ακρίτα",2009,"1.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Περιστερίου,Πράσινη ζωή στην πόλη το,2009,"2.500.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ηµος ∆άφνης,"Πολεοδοµική αναδιάρθρωση στις περι τις οδούς Αγ. Βαρβάρας, Παπανασ Αρκαδίου",2009,"2.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Βούλας,Κατασκευή ποδηλατοδρόµων στο ∆. πρασίνου,2009,"1.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Γλυφάδας,"Κατασκευή υποδοµής στην πόλ περιβαλλοντικών ρύπων, εξοµάλ διευκόλυνση",2009,"2.000.000,00",ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ηµος Βριλησσίων,Περιβαλλοντική ανάπλαση κεντρικού,2009,1.500.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Νέου Ψυχικού,Αύξηση - βελτίωση κοινοχρήστων προσβασιµότητας και αναβάθµιση το Ψυχικού (περιοχή Αγ,2009,1.500.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Κορυδαλλού,Πράσινη Ζωη στην πόλη ∆ή,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Αγίας Βαρβάρας,Πράσινη ζωή στην πόλη ∆ήµο,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Βουλιαγµένης,∆ιάφορες κατασκευές και αναπλάσει Καβουριο,2009,1.500.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Αγίων Αναργύρων,Ανάπλαση και διαµόρφωση µε ενίσχυ χώρων πλατειών και ποδηλατοδρόµων διαδροµή,2009,1.500.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Γαλατσίου,Ανάπλαση κατασκευή δικτύου πλατει και ποδηλατόδορµων στον,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Παλαιού Φαλήρου,Ανάδειξη - ανάπλαση κεντρικής πρά κέντρου Παλαιού,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
