Payee Name,Project Title,Year Field,Public expenditure (€),Final payment year field,Public expenditure integration,Fund
Metro Inc.,"EXTENSION OF THE METRO LINE 3 OF ATHENS, DEPARTMENT HAIDARI-PIRAEUS",2009,730.000.000,,,CF
Egnatia Odos SA.,NTEGRATION OF VERTICAL AXIS EGNATIAS STREET: Komotini - Nymphaeum - Greek (ref. EASA 75.0),2009,46.573.226,,,ERDF
Egnatia Odos SA.,Integration of LACHANAS - A / C & K CHRIST Vine - A / C PETRITSI the vertical axis of Egnatia road: THESSALONIKI (DERVENI) - SERRES-Promahon,2009,132.101.204,,,CF
Egnatia Odos SA.,"IMPROVING THE LEVEL OF ROAD SAFETY IN THESSALONIKI road - POLIGIROS (SD 16), SECTION: Thermo-LIMITS LAW OF THESSALONIKI",2009,37.605.000,,,CF
Special service management op. strengthening prospelamotitas (esa/op-op),OPERATING ACTIONS ESA / OP-OP Cohesion Fund,2009,354.700,,,CF
Special service management op. strengthening prospelamotitas (esa/op-op),OPERATING ACTIONS ESA / OP-OP ERDF,2009,350.000,,,ERDF
Special service management op. strengthening prospelamotitas (esa/op-op),SUPPLIES ESA / OP-OP Cohesion Fund,2009,206.000,,,CF
Special service management op. strengthening prospelamotitas (esa/op-op),CONSULTANT SUPPORT OF ESA / OP-OP-COHESION FUND,2009,609.400,,,CF
Special service management op. strengthening prospelamotitas (esa/op-op),"ADVISOR ON-THOINTH EVALUATION OF OPERATIONAL PROJECT ""STRENGTHENING PROSPELASIMOTITAS""",2009,1.000.000,,,CF
Special service management op. strengthening prospelamotitas (esa/op-op),CONSULTANT SUPPORT OF ESA / OP-OP - ERDF,2009,764.100,,,ERDF
Special service management op. strengthening prospelamotitas (esa/op-op),SUPPLIES ESA / OP-OP ERDF,2009,206.000,,,ERDF
Eyde study projects construction concessions Peloponnese,"CONCESSION AGREEMENT ""DESIGN - CONSTRUCTION-FINANCING - OPERATION - MAINTENANCE AND EXPLOITATION OF Freeway ELEFSINA-CORINTH - Patra - Pyrgos - Tsakonas""",2009,957.972.823,,,ERDF
Ministry of the Environment - Eyde/Mede,ROAD CONSTRUCTION ASSOCIATION OF AREA AKTIO the western North - South,2009,338.193.000,,,ERDF
Ministry of the Environment - Eyde/Mede,"NEW PORT PATRAS - SECTION 30, A PHASE",2009,186.000.000,,,ERDF
Ministry of the Environment - Eyde/Mede,NEW PORT IGOUMENITSA C-Fassi,2009,110.000.000,,,ERDF
Ministry of the Environment - Eyde/Mede,IMPROVEMENT ASSOCIATION WITH Velestinou Pathe motorway and the city of Volos,2009,4.620.000,,,ERDF
