t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&quot;Organization of Monitoring and Technical Committee Meeting of ESA Priority Axis 10, 11, 12, General Objective IV&quot; Technical Assistance &quot;","«∆ιοργάνωση Επιτροπών Παρακολούθησης και Τεχνικών Συσκέψεων της ΕΥ∆» του Άξονα Προτεραιότητας 10, 11, 12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"120.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&quot;Organization of Monitoring and Technical Committee Meeting of ESA Priority Axis 10, 11, 12, General Objective IV&quot; Technical Assistance &quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&quot;Technical Support Consultant of the Managing Authority of Operational Program&quot; Administrative Reform 2007-2013, Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;","«Σύµβουλος Τεχνικής Υποστήριξης της Ειδικής Υπηρεσίας ∆ιαχείρισης του Επιχειρησιακού Προγράµµατος «∆ιοικητική Μεταρρύθµιση 2007-2013», του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"950.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&quot;Technical Support Consultant of the Managing Authority of Operational Program&quot; Administrative Reform 2007-2013, Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","Research on the percentage of people who know the OP and objectives &quot;of the Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;","«Έρευνα για το ποσοστό των πολιτών που γνωρίζουν το Ε.Π. και τους στόχους του» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"60.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"Research on the percentage of people who know the OP and objectives &quot;of the Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&quot;Awareness Workshop Organized Beneficiaries Priority Axis 10,11,12&quot; Overall Objective IV &quot;Technical Assistance&quot;","«∆ιοργάνωση Ηµερίδων ευαισθητοποίησης ∆ικαιούχων του Άξονα Προτεραιότητας 10,11,12», Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"300.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&quot;Awareness Workshop Organized Beneficiaries Priority Axis 10,11,12&quot; Overall Objective IV &quot;Technical Assistance&quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&#39;Publicity Director of OP &quot;Administrative Reform 2007-2013&quot; Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;","«Σύµβουλος ∆ηµοσιότητας του Ε.Π. «∆ιοικητική Μεταρρύθµιση 2007-2013» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2008,"500.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&#39;Publicity Director of OP &quot;Administrative Reform 2007-2013&quot; Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&quot;Supply of Software for the ESA Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;","«Προµήθεια Λογισµικού για την ΕΥ∆ του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"5.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&quot;Supply of Software for the ESA Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&quot;Expenditure on education of the beneficiaries of the OP &#39;Administrative Reform 2007-2013 &quot;Priority Axis 10, 11, 12, General Objective IV&quot; Technical Assistance &quot;","«∆απάνες για την εκπαίδευση των ∆ικαιούχων του Ε.Π. ‘∆ιοικητική Μεταρρύθµιση 2007-2013» του Άξονα Προτεραιότητας 10, 11, 12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"20.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&quot;Expenditure on education of the beneficiaries of the OP &#39;Administrative Reform 2007-2013 &quot;Priority Axis 10, 11, 12, General Objective IV&quot; Technical Assistance &quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&quot;Expenditure on staff training SMS, E.D.A., E.F.D. the OP &#39;Administrative Reform 2007-2013 &quot;Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;","«∆απάνες για την εκπαίδευση του προσωπικού Ε.Υ.∆., Ε.∆.Α., Ε.Φ.∆. του Ε.Π. ‘∆ιοικητική Μεταρρύθµιση 2007-2013» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"20.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&quot;Expenditure on staff training SMS, E.D.A., E.F.D. the OP &#39;Administrative Reform 2007-2013 &quot;Priority Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&quot;Study how registration services to citizens in 20 member states, the Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;","«Μελέτη καταγραφής τρόπου εξυπηρέτησης πολιτών σε 20 χώρες-µέλη», στον Άξονα 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"125.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&quot;Study how registration services to citizens in 20 member states, the Axis 10,11,12, General Objective IV&quot; Technical Assistance &quot;",EKT
ESA the &quot;Administrative Reform 2007 - 2013&quot;,"ΕΥ∆ ΕΠ ""∆ιοικητική Μεταρρύθµιση 2007- 2013""","&quot;Support and Maintenance Services for the ESA of the Operational Program for Administrative Reform 2007 - 2013&quot; Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;","«Yπηρεσίες υποστήριξης και συντήρησης για την EY∆ του του Επιχειρησιακού Προγράµµατος «∆ιοικητική Μεταρρύθµιση 2007- 2013» του Άξονα Προτεραιότητας 10,11,12, Γενικός Στόχος ΙV «Τεχνική Υποστήριξη Εφαρµογής»",2009,"25.000,00",EKT,EKT,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,ESA the &quot;Administrative Reform 2007 - 2013&quot;,"&quot;Support and Maintenance Services for the ESA of the Operational Program for Administrative Reform 2007 - 2013&quot; Priority Axis 10,11,12, General Objective IV &quot;Technical Assistance&quot;",EKT
