t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
East Attica,Νοµαρχία Ανατολικής Αττικής,Upgrade external network Comp ropion,Αναβάθµιση εξωτερικού δικτύου ύδ ρωπίων,2009,"9.236.185,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,East Attica,Upgrade external network Comp ropion,ERDF
Attica Region - Public Works,Περιφέρεια Αττικής - ∆ιεύθυνση ∆ηµοσίων Εργων,Construction outside conductor Comp Fanari - Dryopes by,Κατασκευή εξωτερικού αγωγού ύδ Φαναρίου - ∆ρυόπης απ,2009,"1.897.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Attica Region - Public Works,Construction outside conductor Comp Fanari - Dryopes by,ERDF
Attica Region - Public Works,Περιφέρεια Αττικής - ∆ιεύθυνση ∆ηµοσίων Εργων,Construction outside conductor ydre St. Helens - Top,Κατασκευή εξωτερικού αγωγού ύδρε Αγίας Ελένης - Άνω,2009,"2.010.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Attica Region - Public Works,Construction outside conductor ydre St. Helens - Top,ERDF
Avlona,∆ήµος Αυλώνα,Works to upgrade and improve water Avlona,Έργα αναβάθµισης και βελτίωσης ύδρευσης ∆ήµου Αυλώνα,2009,"1.950.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Avlona,Works to upgrade and improve water Avlona,ERDF
Municipality of Lavrion,∆ήµος Λαυρεωτικής,Replacement own internal Lavreotiki,Αντικατάσταση εσωτερικού δικ Λαυρεωτικής,2009,"2.741.701,65",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Lavrion,Replacement own internal Lavreotiki,ERDF
Municipality of Spata,∆ήµος Σπάτων,Replacement of asbestos pipes Mrs Municipal Water Supply,Αντικατάσταση αµιαντοσωλήνων κα ύδρευσης του ∆ήµου,2009,"2.856.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Spata,Replacement of asbestos pipes Mrs Municipal Water Supply,ERDF
City Vrilissia,∆ήµος Βριλησσίων,Improvement - Upgrade internal d Vrilissia,Βελτίωση - Αναβάθµιση εσωτερικού δ Βριλησσίων,2009,"4.165.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Vrilissia,Improvement - Upgrade internal d Vrilissia,ERDF
Municipality of Pallini,∆ήµος Παλλήνης,Replacement and expansion right Vakalopoulos,Αντικατάσταση και επέκταση δικ Βακαλόπουλο,2009,"950.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Pallini,Replacement and expansion right Vakalopoulos,ERDF
EYDAP SA,ΕΥ∆ΑΠ Α.Ε,Supply Salamis through self Faneromenis,Υδροδότηση Σαλαµίνας µέσω δι Φανερωµένης,2009,"8.366.233,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,EYDAP SA,Supply Salamis through self Faneromenis,ERDF
Attica Region - Public Works,Περιφέρεια Αττικής - ∆ιέυθυνση ∆ηµοσίων Εργων,Construction - Upgrading network Kapandritiou,Κατασκευή - Αναβάθµιση δικτύου Καπανδριτίου,2009,"1.999.200,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Attica Region - Public Works,Construction - Upgrading network Kapandritiou,ERDF
City Kropia,∆ήµος Κρωπίας,Replacement of asbestos pipes,Αντικατάσταση Αµιαντοσωλήνων,2009,"2.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Kropia,Replacement of asbestos pipes,ERDF
East Attica,Νοµαρχία Ανατολικής Αττικής,Replace amiantotsimentosol pipeline region Ancona - Holy City area Good,Αντικατάσταση αµιαντοτσιµεντοσωλ αγωγών περιοχής Αγκώνα - Αγίας ζώνης ∆ήµου Καλ,2009,"6.057.100,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,East Attica,Replace amiantotsimentosol pipeline region Ancona - Holy City area Good,ERDF
Greek City,∆ήµος Ελληνικού,Green interference f,Πράσινη παρέµβαση στ,2009,"1.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Greek City,Green interference f,ERDF
Municipality of Piraeus,∆ήµος Πειραιά,Improving functionality upgrade Urban Environment,Βελτίωση της λειτουργικότητας αναβάθµιση Αστικού Περιβάλλο,2009,"3.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,Municipality of Piraeus,Improving functionality upgrade Urban Environment,ERDF
City Melissia,∆ήµος Μελισσίων,Regeneration Area 1st,Ανάπλαση περιοχής 1η,2009,"1.500.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Melissia,Regeneration Area 1st,ERDF
City Egaleo,∆ήµος Αιγάλεω,"Regeneration - Improving road leitourgikot Edessa, public spaces happy grove, square Matrozou Egaleo.","Ανάπλαση - Βελτίωση λειτουργικότ οδού Εδέσσης, Κοινοχρήστων χώρων χαράς άλσους, πλατείας Ματρώζου Αιγάλεω.",2009,"2.500.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Egaleo,"Regeneration - Improving road leitourgikot Edessa, public spaces happy grove, square Matrozou Egaleo.",ERDF
City Lukobrisi,∆ήµος Λυκόβρυσης,Revitalizing and enhancing green on,Αναζωογόνηση και ενίσχυση πρασίν,2009,"1.000.000,00",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325,City Lukobrisi,Revitalizing and enhancing green on,ERDF
