t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
Planning and Development Region of Central Macedonia,∆ιεύθυνση Σχεδιασµού και Ανάπτυξης Περιφέρειας Κεντρικής Μακεδονίας,Actions to support older persons in need of clamor enhance the employability of indirectly benefit persons in the Region of Central Macedonia,Ενέργειες στήριξης ηλικιωµένων ατόµων που χρήζουν βοή την ενίσχυση της απασχολησιµότητας των εµµέσως ωφελού ατόµων στην Περιφέρεια Κεντρικής Μακεδονίας,2008,5.850.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,Planning and Development Region of Central Macedonia,Actions to support older persons in need of clamor enhance the employability of indirectly benefit persons in the Region of Central Macedonia,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Buy a PC &amp; Peripherals,Αγορά Η/Υ & Περιφερειακών,2009,6.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Buy a PC &amp; Peripherals,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,"Director upgradability, and Maintenance Support Information (back-end) and Computer (front-end) system ESA &quot;Human Resource Development","Σύµβουλος Αναβάθµισης / Βελτίωσης, Υποστήριξης και Συντήρησης Πληροφοριακού (back-end) και Υπολογιστικού (front-end) συστήµατος ΕΥ∆ «Aνάπτυξη Ανθρώπινου ∆υναµικού",2009,200.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,"Director upgradability, and Maintenance Support Information (back-end) and Computer (front-end) system ESA &quot;Human Resource Development",ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Study on administrative and technical specifications for the electronic interconnection of intermediary managers and beneficiaries of EVDEP &quot;HRD&quot; by EY MIS,Μελέτη σχετικά µε τις διοικητικές και τεχνικές προδια για την ηλεκτρονική διασύνδεση των Ενδιάµεσων Φορέων ∆ιαχείρισης και των ∆ικαιούχων της ΕΥ∆ΕΠ «Ανάπτυξη Ανθρώπινου ∆υναµικού» µε την ΕΥ ΟΠΣ,2009,150.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Study on administrative and technical specifications for the electronic interconnection of intermediary managers and beneficiaries of EVDEP &quot;HRD&quot; by EY MIS,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Tips on managing the complete closure of the accounting operations of OP Employment Ms Vocational Training CSF,Σύµβουλος υποστήριξης για τη διαχειριστική ολοκλήρωση το λογιστικό κλείσιµο πράξεων του Ε.Π. «Απασχόληση κα Επαγγελµατική Κατάρτιση» Γ’ ΚΠΣ,2009,150.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Tips on managing the complete closure of the accounting operations of OP Employment Ms Vocational Training CSF,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical advisor supporting the activation of the project management unit (PMU) of the Task Committee ESSEEKA.,Τεχνικός σύµβουλος υποστήριξης της ενεργοποίησης της µονάδας διοίκησης έργου (µδε) της επιτελικής επιτροπή ΕΣΣΕΕΚΑ.,2009,150.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical advisor supporting the activation of the project management unit (PMU) of the Task Committee ESSEEKA.,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical advisor supporting the implementation of the national system of vocational education association Ms. training jobs (ESSEEKA).,Τεχνικός σύµβουλος υποστήριξης της εφαρµογής του εθνι συστήµατος σύνδεσης της επαγγελµατικής εκπαίδευσης κα κατάρτισης µε την απασχόληση (ΕΣΣΕΕΚΑ).,2009,2.400.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical advisor supporting the implementation of the national system of vocational education association Ms. training jobs (ESSEEKA).,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical advisor supporting the ENA and ESA renegotiated,Τεχνικός σύµβουλος υποστήριξης της ΕΥΕ και της ΕΥ∆ ΕΠΑΝΑ∆,2009,2.750.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical advisor supporting the ENA and ESA renegotiated,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Consultant restructuring EKEPIS,Σύµβουλος αναδιάρθρωσης του ΕΚΕΠΙΣ,2009,850.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Consultant restructuring EKEPIS,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Director Technical Support EKEPIS,Σύµβουλος τεχνικής υποστήριξης του ΕΚΕΠΙΣ,2009,1.110.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Director Technical Support EKEPIS,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Consultant restructuring and technical support PAEP,Σύµβουλος αναδιάρθρωσης και τεχνικής υποστήριξης της ΠΑΕΠ,2009,2.200.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Consultant restructuring and technical support PAEP,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Director for strategic and operational planning ECEP,Σύµβουλος για το στρατηγικό και επιχειρησιακό σχεδιασ ΕΚΕΠ,2009,700.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Director for strategic and operational planning ECEP,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical advisor supporting training SA (EAEC),Τεχνικός σύµβουλος υποστήριξης της επαγγελµατικής κατάρτισης Α.Ε (ΕΚΑΕ),2009,1.800.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical advisor supporting training SA (EAEC),ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical Support Advisor OAED,Τεχνικός σύµβουλος υποστήριξης του ΟΑΕ∆,2009,1.950.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical Support Advisor OAED,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical advisor supporting the operation of the portal PZE (supply and demand),Τεχνικός σύµβουλος υποστήριξης της λειτουργίας της διαδικτυακής πύλης ΠΖΕ (προσφορά και ζήτηση εργασίας),2009,1.700.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical advisor supporting the operation of the portal PZE (supply and demand),ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical adviser Agency Labor House,Τεχνικός σύµβουλος Οργανισµού Εργατικής Εστίας,2009,2.975.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical adviser Agency Labor House,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Tips on managing the complete closure of the accounting transactions for e.y.e.,Σύµβουλος υποστήριξης για τη διαχειριστική ολοκλήρωση το λογιστικό κλείσιµο πράξεων για την ε.υ.ε.,2009,140.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Tips on managing the complete closure of the accounting transactions for e.y.e.,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,"Director of planning, implementation, operation and expansion of new web site EVDEP &#39;HRD&#39; in the ECAC","Σύµβουλος σχεδιασµού, υλοποίησης, λειτουργίας και επέκτασης νέου web site ΕΥ∆ΕΠ «Ανάπτυξη Ανθρώπινου ∆υναµικού» στο πλαίσιο του ΕΣΠΑ",2009,100.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,"Director of planning, implementation, operation and expansion of new web site EVDEP &#39;HRD&#39; in the ECAC",ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Specificity of the communication strategy and implement action plans information &amp; publicity of OP &quot;HRD&quot; (Publicity Officer),Εξειδίκευση της επικοινωνιακής στρατηγικής και εφαρµο σχεδίου δράσεων πληροφόρησης & δηµοσιότητας του Ε.Π. «Ανάπτυξη Ανθρώπινου ∆υναµικού» (Σύµβουλος ∆ηµοσιότητας),2009,4.000.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Specificity of the communication strategy and implement action plans information &amp; publicity of OP &quot;HRD&quot; (Publicity Officer),ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Tour events - meetings - conferences,Οργάνωση εκδηλώσεων - συνεδριάσεων – συσκέψεων,2009,200.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Tour events - meetings - conferences,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Create and play electronic and printed material for 2008-2010,∆ηµιουργία και αναπαραγωγή ηλεκτρονικού και έντυπου υλικού για την περίοδο 2008-2010,2009,150.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Create and play electronic and printed material for 2008-2010,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Information and training for staff section SMS the OP &quot;HRD&quot; section for 2008-2010 is,Ενέργειες ενηµέρωσης και επιµόρφωσης του προσωπικού τ Ε.Υ.∆. του Ε.Π. «Ανάπτυξη Ανθρώπινου ∆υναµικού» για τ περίοδο 2008-2010,2009,200.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Information and training for staff section SMS the OP &quot;HRD&quot; section for 2008-2010 is,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,"Participation in workshops, conferences and fora of the staff of SMS the OP &quot;HRD&quot; c in 2008-2010","Συµµετοχή σε ηµερίδες, συνέδρια και fora του προσωπικ της Ε.Υ.∆. του Ε.Π. «Ανάπτυξη Ανθρώπινου ∆υναµικού» γ την περίοδο 2008-2010",2009,200.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,"Participation in workshops, conferences and fora of the staff of SMS the OP &quot;HRD&quot; c in 2008-2010",ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Study Planning System License / Certified Training Bodies,Μελέτη Σχεδιασµού Συστήµατος Αδειοδότησης / Πιστοποίη Φορέων Κατάρτισης,2009,130.900 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Study Planning System License / Certified Training Bodies,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Study of training packages from Vocational Training SA for micro and small enterprises aim to make them more attractive and usable,"Μελέτη πακέτων κατάρτισης από την Επαγγελµατική Κατάρτιση ΑΕ για πολύ µικρές και µικρές επιχειρήσεις, στόχο να γίνουν αυτά ελκυστικότερα και χρηστικότερα",2009,130.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Study of training packages from Vocational Training SA for micro and small enterprises aim to make them more attractive and usable,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical Support Advisor E.Y. integrating the principles of EQUAL and the management actions of the OP &quot;HRD&quot;,"Τεχνικός Σύµβουλος Υποστήριξης της Ε.Υ. για την ενσωµάτωση των αρχών της EQUAL και για τη διαχείριση δράσεων του Ε.Π. ""Ανάπτυξη Ανθρώπινου ∆υναµικού""",2009,1.000.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical Support Advisor E.Y. integrating the principles of EQUAL and the management actions of the OP &quot;HRD&quot;,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical Support Consultant potential beneficiaries of the programming period 2007-2013 for the Preparation of Acquisition Management competence,Σύµβουλος Τεχνικής Υποστήριξης των ∆υνητικών ∆ικαιούχ της Προγραµµατικής Περιόδου 2007-2013 για την Προετοιµασία της Απόκτησης της ∆ιαχειριστικής τους Επάρκειας,2009,200.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical Support Consultant potential beneficiaries of the programming period 2007-2013 for the Preparation of Acquisition Management competence,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Technical Advisor to support EYSEKT,Τεχνικός Σύµβουλος για την Υποστήριξη της ΕΥΣΕΚΤ,2009,860.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Technical Advisor to support EYSEKT,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Legal Support of ESA OP HRDA and ENA,Νοµική Υποστήριξη της ΕΥ∆ του Ε.Π. ΑΝΑ∆ και της ΕΥΕ,2009,150.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Legal Support of ESA OP HRDA and ENA,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Advertising - Information on the OP &quot;HRD&quot;,"∆ηµοσιότητα - Πληροφόρηση για το Ε.Π. ""Ανάπτυξη Ανθρώπινου ∆υναµικού""",2009,300.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Advertising - Information on the OP &quot;HRD&quot;,ECB
SMS OP &quot;HRD&quot;,Ε.Υ.∆. Ε.Π. «ΑΝΑΠΤΥΞΗ ΑΝΘΡΩΠΙΝΟΥ ∆ΥΝΑΜΙΚΟΥ»,Consultant Indirect Communication and Public Relations for the OP &quot;HRD&quot;,"Σύµβουλος Υποστήριξης Έµµεσης Επικοινωνίας και ∆ηµοσί Σχέσεων για το Ε.Π. ""Ανάπτυξη Ανθρώπινου ∆υναµικού""",2009,130.000 €,ECB,ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,SMS OP &quot;HRD&quot;,Consultant Indirect Communication and Public Relations for the OP &quot;HRD&quot;,ECB
