t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
Pella Prefecture,Νοµαρχιακή Αυτοδιοίκηση Πέλλας,1st primary school Pozar,1ο δηµοτικό σχολείο Αριδαίας,2009,1.432.887 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Pella Prefecture,1st primary school Pozar,ERDF
Pella Prefecture,Νοµαρχιακή Αυτοδιοίκηση Πέλλας,Elementary school Pentaplatanou,∆ηµοτικό σχολείο Πενταπλατάνου,2009,532.100 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Pella Prefecture,Elementary school Pentaplatanou,ERDF
Prefecture of Thessaloniki,Νοµαρχιακή Αυτοδιοίκηση Θεσσαλονίκης,Add in the assembly building TEE Euclid,Προσθήκη κτιρίου στο συγκρότηµα ΤΕΕ Ευκλείδης,2009,3.511.824 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Prefecture of Thessaloniki,Add in the assembly building TEE Euclid,ERDF
Prefecture of Halkidiki,Νοµαρχιακή Αυτοδιοίκηση Χαλκιδικής,1st primary school Kassandreia,1ο δηµοτικό σχολείο Κασσανδρείας,2009,1.156.038 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Prefecture of Halkidiki,1st primary school Kassandreia,ERDF
Prefecture of Pieria,Νοµαρχιακή Αυτοδιοίκηση Πιερίας,Construction of 8 rooms in the 2nd elementary school in Katerini,Κατασκευή 8 αιθουσών στο 2ο δηµοτικό σχολείο Κατερίνης,2009,994.845 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Prefecture of Pieria,Construction of 8 rooms in the 2nd elementary school in Katerini,ERDF
Public Works Region of Central Macedonia,∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,Construction nodes municipality Migdonia,Κατασκευή κόµβων δήµου Μυγδονίας,2009,3.300.000 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Public Works Region of Central Macedonia,Construction nodes municipality Migdonia,ERDF
Public Works Region of Central Macedonia,∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,"Polygyros Perimeter Road, part of Saint Vlassis - to Vrastama","Περιµετρική οδός Πολυγύρου, τµήµα Άγιος Βλάσης - προς Βράσταµα",2009,8.650.000 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Public Works Region of Central Macedonia,"Polygyros Perimeter Road, part of Saint Vlassis - to Vrastama",ERDF
Public Works Region of Central Macedonia,∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,Serres road - Amphipolis,Οδικός άξονας Σέρρες - Αµφίπολη,2009,38.591.200 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Public Works Region of Central Macedonia,Serres road - Amphipolis,ERDF
Planning and Development Region of Central Macedonia,∆ιεύθυνση Σχεδιασµού και Ανάπτυξης Περιφέρειας Κεντρικής Μακεδονίας,Actions to strengthen social cohesion and improving quality of life and older persons in need of home help,Ενέργειες ενίσχυσης της κοινωνικής συνοχής και βελτίωσης της ποιότητας ζωής ηλικιωµένων και ατόµων που χρήζουν κατ' οίκον βοήθειας,2008,20.011.865 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Planning and Development Region of Central Macedonia,Actions to strengthen social cohesion and improving quality of life and older persons in need of home help,ERDF
Public Works Region of Central Macedonia,∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,"Road Thessaloniki - Kilkis - Doirani, part of A / C Assiros to A / S N. Santa","Οδικός άξονας Θεσσαλονίκη - Κιλκίς - ∆οϊράνη, τµήµα από Α/Κ Ασσήρου έως Α/Κ Ν. Σάντα",2009,58.000.000 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Public Works Region of Central Macedonia,"Road Thessaloniki - Kilkis - Doirani, part of A / C Assiros to A / S N. Santa",ERDF
Public Works Region of Central Macedonia,∆ιεύθυνση ∆ηµοσίων Έργων Περιφέρειας Κεντρικής Μακεδονίας,Construction of road section Potidea - Kassandreia road circuit Kassandra Chalkidiki,Κατασκευή οδικού τµήµατος Ποτίδαια - Κασσανδρεία του οδικού κυκλώµατος Κασσάνδρας Ν. Χαλκιδικής,2009,80.000.000 €,ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,Public Works Region of Central Macedonia,Construction of road section Potidea - Kassandreia road circuit Kassandra Chalkidiki,ERDF
