t_payee_name,payee_name,t_project_title,project_title,year_joined,public_expenditure_listing,t_fund,fund,uri,t_payee_name,t_project_title,t_fund
Preveza Prefecture,Νοµαρχία Πρέβεζας,"Improvement - Construction 1st Ep.Odou, CH.TH.0 900.00 T KP R 0 3200.00 c","Βελτίωση - Κατασκευή 1ης Επ.Οδού, Χ.Θ.0+900,00 Ε Σ Χ.Θ. 0+3.200,00 κ",2009,"5.100.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Preveza Prefecture,"Improvement - Construction 1st Ep.Odou, CH.TH.0 900.00 T KP R 0 3200.00 c",ERDF
Municipality of Preveza,∆ήµος Φαναρίου,Connect with SD Kanalaki Preveza,Σύνδεση Καναλλακίου µε ΕΟ Πρέβεζας,2009,"8.661.908,61 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Municipality of Preveza,Connect with SD Kanalaki Preveza,ERDF
Arta Prefecture,Νοµαρχία Άρτας,Improvement - Asphalting Road District No. Street),Βελτίωση - Ασφαλτόστρωση ∆ρόµου Άρ Επαρχιακή Οδός),2009,"3.000.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Arta Prefecture,Improvement - Asphalting Road District No. Street),ERDF
Municipality of Arta,∆ήµος Αρταίων,Opening Assam Street - Port,∆ιάνοιξη της οδού Άρτας - Λιµήνης,2009,"3.600.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Municipality of Arta,Opening Assam Street - Port,ERDF
Arta Prefecture,Νοµαρχία Άρτας,Skip settlement Elatos - Korea,Παράκαµψη Συνοικισµού Έλατος - Κορ,2009,"5.400.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Arta Prefecture,Skip settlement Elatos - Korea,ERDF
Prefecture of Thesprotia,Νοµαρχία Θεσπρωτίας,Improvement of Provincial Road AR.9 Up Karvounari,Βελτίωση Επαρχιακού ∆ρόµου ΑΡ.9 απ Μέχρι Καρβουνάρι,2009,"1.500.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Prefecture of Thesprotia,Improvement of Provincial Road AR.9 Up Karvounari,ERDF
Region of Epirus / DISA,Περιφέρεια Ηπείρου/∆ΙΣΑ,Actions to strengthen social quality of life of elderly residents and help,Ενέργειες Ενίσχυσης της Κοινωνικής της ποιότητας ζωής ηλικιωµένων και κατ΄οίκων βοήθειας,2009,"9.956.750,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Region of Epirus / DISA,Actions to strengthen social quality of life of elderly residents and help,ERDF
Region of Epirus / DISA,Περιφέρεια Ηπείρου/∆ΙΣΑ,Awareness of new interventions financed by the ESF,Παρεµβάσεις ευαισθητοποίησης νέων χρηµατοδοτούνται από το ΕΚΤ,2009,"300.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Region of Epirus / DISA,Awareness of new interventions financed by the ESF,ERDF
ECN Epirus,Ε∆Α Ηπείρου,Legal consultancy services under the management track position on the Continent (project Technical,Παροχή υπηρεσιών συµβούλων νοµικών πλαίσια της διαχείρισης παρακολούθ ΘΣΗ για την Ήπειρο (έργο Τεχνικής,2009,"26.000,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,ECN Epirus,Legal consultancy services under the management track position on the Continent (project Technical,ERDF
Interim Management Authority Region of Thessaly,Ενδιάµεση διαχειριστική αρχή περιφέρειας Θεσσαλίας,Consultant address d of Thessalia region of entry for the projects financed by the E.P.TH-The-ST.E,Σύµβουλος υποστήριξης διεύθυνσης δ Περιφέρειας Θεσσαλίας για την έναρ έργων που χρηµατοδοτούνται από το Ε.Π.Θ-Η-ΣΤ.Ε,2009,"153.600,00 €",ERDF,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=362,Interim Management Authority Region of Thessaly,Consultant address d of Thessalia region of entry for the projects financed by the E.P.TH-The-ST.E,ERDF
