List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
Cavan,,,,
Denis Lewis t/a Claddagh Frames,Employment,"5,000.00",                                    -  ,"5,000.00"
Cavan County Produce Ltd. ,Capital,"5,985.00","3,990.00","9,975.00"
J. Clarke Engineering Ltd. ,Capital,"1,019.00",194,"1,213.00"
Noel Gilheany t/a Hygienic Health Care,Capital,"6,352.00","3,419.00","9,771.00"
Crannagh & Co. International Trade & Business Services Ltd,Employment,"18,750.00",                                    -  ,"18,750.00"
Francis McDonald Engineering Ltd,Capital,"15,000.00","10,000.00","25,000.00"
Lorraine Quinn t/a Elegant Drapes,Employment,"1,250.00",                                    -  ,"1,250.00"
Finola O'Reilly t/a Manor Hill Home Bakery,Capital,"4,000.00",                                    -  ,"4,000.00"
Mastek Ltd,Capital,"28,481.00","18,987.00","47,468.00"
Joseph & Nuala Gilsenan t/a Bridgefield Farm,Capital,"7,135.65","3,513.00","10,648.65"
J&A Control Systems Ltd. ,Capital,"14,000.00","6,000.00","20,000.00"
Ashley Morris t/a Emerald Isle Spring Water ,Capital,"6,655.00","2,218.00","8,873.00"
Noel Gilheany t/a Hygienic Health Care,Capital,"6,471.00","2,772.00","9,243.00"
Kingscourt Iron Crafts,Capital,"3,600.00",900,"4,500.00"
Peter Rahill Engineering ,Capital,"14,000.00","6,000.00","20,000.00"
Lifeforce Mill Ltd. ,Feasibility,"3,300.00",                                    -  ,"3,300.00"
In-van linings Ltd.  ,Capital,"11,000.00","5,000.00","16,000.00"
Zachbury Ltd. t/a TDF Engineering,Capital,"7,080.00","4,720.00","11,800.00"
Poca Systems Ltd. ,Capital,"2,442.00",464,"2,906.00"
David Moynagh t/a Cavan County Driving Training Centre,Feasibility,"3,000.00",                                    -  ,"3,000.00"
Virginia Agricultural Society Ltd,Feasibility,"5,442.00",                                    -  ,"5,442.00"
Shawn Hicks t/a Woodn'Gems,Capital,"3,000.00",                                    -  ,"3,000.00"
Mateocad Ltd. ,Employment,"3,750.00",                                    -  ,"3,750.00"
Cavan County Enterprise Fund,Capital,"23,748.00","11,175.00","34,923.00"
McHugh Timber Products Ltd. ,Capital,"16,000.00","8,000.00","24,000.00"
Mountview Engineering Ltd. ,Capital,"3,417.00","1,683.00","5,100.00"
Kenny Information Systems ,Employment,"3,000.00",                                    -  ,"3,000.00"
Totals, ,"222,877.65","89,035.00","311,912.65"
Donegal,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
Multicrete Agri Products,Capital,"8,829.29","3,973.17","12,802.46"
Long Grier Ltd t/a WDL Engineering,Capital,"25,000.00","10,000.00","35,000.00"
Brendan Mullin,Capital,"20,000.00","10,000.00","30,000.00"
Donegal County Enterprise Fund Ltd,Capital,"42,500.00","42,500.00","85,000.00"
John Martin,Capital,"9,793.89","4,896.92","14,690.81"
M & E Services,Capital,"10,359.79","2,544.49","12,904.28"
Noel McIntyre,Capital,"20,000.00","5,000.00","25,000.00"
CMD Engineering,Capital,"20,000.00","10,000.00","30,000.00"
Atlanticside College,Capital,"25,000.00","25,000.00","50,000.00"
D4 Products Ltd,Capital,"24,838.48","19,870.78","44,709.26"
Silver Strand Rope Works,Capital,"13,741.68","8,703.06","22,444.74"
Road Team,Capital,"20,000.00","20,000.00","40,000.00"
Manus McFadden,Capital,"20,000.00","5,000.00","25,000.00"
Davey Transport,Capital,0,"50,000.00","50,000.00"
Crana Handknits,Capital,"5,000.00","2,500.00","7,500.00"
Doobally Stud Ltd,Capital,"30,000.00",0,"30,000.00"
Eilish Kennedy,Employment,"5,000.00",0,"5,000.00"
Allpipe Engineering Ltd,Employment,"7,500.00",0,"7,500.00"
Gartan Technologies,Employment,"3,750.00",0,"3,750.00"
Allpipe Engineering Ltd,Employment,"33,750.00",0,"33,750.00"
Eilish Kennedy,Employment,"2,500.00",0,"2,500.00"
Switch Business Systems,Employment,"3,750.00",0,"3,750.00"
Eilish Kennedy,Employment,"2,500.00",0,"2,500.00"
Gartan Technologies,Employment,"11,250.00",0,"11,250.00"
LCMBK Printing Ltd,Employment,"3,750.00",0,"3,750.00"
Text One Group Ltd,Employment,"11,250.00",0,"11,250.00"
Progressive Senior Care,Employment,"2,500.00",0,"2,500.00"
Moville Pottery,Employment,"2,500.00",0,"2,500.00"
Trevor Steele,Employment,"3,750.00",0,"3,750.00"
WISP Teo.,Employment,"3,750.00",0,"3,750.00"
LCMBK Ltd,Employment,"3,750.00",0,"3,750.00"
Infocus,Employment,"5,000.00",0,"5,000.00"
Text One Group Ltd,Employment,"11,250.00",0,"11,250.00"
ETIC Solutions,Employment,"2,500.00",0,"2,500.00"
Home Instead,Employment,"2,500.00",0,"2,500.00"
LCMBK Ltd,Employment,"22,500.00",0,"22,500.00"
Moville Pottery,Employment,"2,500.00",0,"2,500.00"
In focus,Employment,"5,000.00",0,"5,000.00"
Rathmullan Enterprise,Feasibility,"5,166.18",0,"5,166.18"
WDL Engineering,Feasibility,"6,350.00",0,"6,350.00"
Rathmullan Enterprise,Feasibility,"1,183.82",0,"1,183.82"
Declan Gallagher,Feasibility,"6,350.00",0,"6,350.00"
Computerised Bookkeeping Systems,Feasibility,"5,922.00",0,"5,922.00"
Total, ,"472,535.13","219,988.42","692,523.55"
Galway,,,,
List of Beneficiaries for the BMW Region (Last updated 06/09),,,,
NAME OF GRANT RECIPIENT,GRANT TYPE,AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008,AMOUNT OF REFUNDABLE AID PAID OUT IN 2008,TOTAL PAID OUT IN 2008
€,€,€,,
HBF Biofuels,Capital,"24,500.00","10,500.00","35,000.00"
Seavite Bodycare Ltd,Employment,"2,625.00","1,125.00","3,750.00"
Brooks eBusiness,Capital,"4,580.00","2,170.00","6,750.00"
