"COUNTY","NAME OF GRANT RECIPIENT","GRANT TYPE","AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008","AMOUNT OF REFUNDABLE AID PAID OUT IN 2008","TOTAL PAID OUT IN 2008","YEAR"
"Cavan","Denis Lewis t/a Claddagh Frames","Employment",5000,"                                    -  ",5000,2008
"Cavan","Cavan County Produce Ltd. ","Capital",5985,3990,9975,2008
"Cavan","J. Clarke Engineering Ltd. ","Capital",1019,194,1213,2008
"Cavan","Noel Gilheany t/a Hygienic Health Care","Capital",6352,3419,9771,2008
"Cavan","Crannagh & Co. International Trade & Business Services Ltd","Employment",18750,"                                    -  ",18750,2008
"Cavan","Francis McDonald Engineering Ltd","Capital",15000,10000,25000,2008
"Cavan","Lorraine Quinn t/a Elegant Drapes","Employment",1250,"                                    -  ",1250,2008
"Cavan","Finola O'Reilly t/a Manor Hill Home Bakery","Capital",4000,"                                    -  ",4000,2008
"Cavan","Mastek Ltd","Capital",28481,18987,47468,2008
"Cavan","Joseph & Nuala Gilsenan t/a Bridgefield Farm","Capital",7135.65,3513,10648.65,2008
"Cavan","J&A Control Systems Ltd. ","Capital",14000,6000,20000,2008
"Cavan","Ashley Morris t/a Emerald Isle Spring Water ","Capital",6655,2218,8873,2008
"Cavan","Noel Gilheany t/a Hygienic Health Care","Capital",6471,2772,9243,2008
"Cavan","Kingscourt Iron Crafts","Capital",3600,900,4500,2008
"Cavan","Peter Rahill Engineering ","Capital",14000,6000,20000,2008
"Cavan","Lifeforce Mill Ltd. ","Feasibility",3300,"                                    -  ",3300,2008
"Cavan","In-van linings Ltd.  ","Capital",11000,5000,16000,2008
"Cavan","Zachbury Ltd. t/a TDF Engineering","Capital",7080,4720,11800,2008
"Cavan","Poca Systems Ltd. ","Capital",2442,464,2906,2008
"Cavan","David Moynagh t/a Cavan County Driving Training Centre","Feasibility",3000,"                                    -  ",3000,2008
"Cavan","Virginia Agricultural Society Ltd","Feasibility",5442,"                                    -  ",5442,2008
"Cavan","Shawn Hicks t/a Woodn'Gems","Capital",3000,"                                    -  ",3000,2008
"Cavan","Mateocad Ltd. ","Employment",3750,"                                    -  ",3750,2008
"Cavan","Cavan County Enterprise Fund","Capital",23748,11175,34923,2008
"Cavan","McHugh Timber Products Ltd. ","Capital",16000,8000,24000,2008
"Cavan","Mountview Engineering Ltd. ","Capital",3417,1683,5100,2008
"Cavan","Kenny Information Systems ","Employment",3000,"                                    -  ",3000,2008
"Donegal","Multicrete Agri Products","Capital",8829.29,3973.17,12802.46,2008
"Donegal","Long Grier Ltd t/a WDL Engineering","Capital",25000,10000,35000,2008
"Donegal","Brendan Mullin","Capital",20000,10000,30000,2008
"Donegal","Donegal County Enterprise Fund Ltd","Capital",42500,42500,85000,2008
"Donegal","John Martin","Capital",9793.89,4896.92,14690.81,2008
"Donegal","M & E Services","Capital",10359.79,2544.49,12904.28,2008
"Donegal","Noel McIntyre","Capital",20000,5000,25000,2008
"Donegal","CMD Engineering","Capital",20000,10000,30000,2008
"Donegal","Atlanticside College","Capital",25000,25000,50000,2008
"Donegal","D4 Products Ltd","Capital",24838.48,19870.78,44709.26,2008
"Donegal","Silver Strand Rope Works","Capital",13741.68,8703.06,22444.74,2008
"Donegal","Road Team","Capital",20000,20000,40000,2008
"Donegal","Manus McFadden","Capital",20000,5000,25000,2008
"Donegal","Davey Transport","Capital",0,50000,50000,2008
"Donegal","Crana Handknits","Capital",5000,2500,7500,2008
"Donegal","Doobally Stud Ltd","Capital",30000,0,30000,2008
