Beneficiary,Project title,Year,Research Capital Payments,Research Recurrent Payments,Research Total Payments,
 NUIG ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2007,7371543.04,3571800,10943343.04, 
 AIT ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2007,184000,0,184000, 
 DKIT ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2007,77000,0,77000, 
 IT Sligo  ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2007,145582.53,150393,295975.53, 
 LKIT ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2007,31000,0,31000, 
 GMIT ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2007,286918,0,286918, 
 NUIG ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2008,13931047.28,0,13931047.28,
 AIT ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2008,1813055.43,0,1813055.43,
 DKIT ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2008,800000,0,800000,
 IT Sligo  ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2008,139790,0,139790,
 LKIT ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2008,278871,0,278871,
 GMIT ,"Priority Axis 1: Innovation, ICT and the Knowledge Economy",2008,286715.1,0,286715.1,
