"COUNTY","NAME OF GRANT RECIPIENT","GRANT TYPE","AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008","AMOUNT OF REFUNDABLE AID PAID OUT IN 2008","TOTAL PAID OUT IN 2008","YEAR"
"Carlow County Enterprise Board ","Brian Kelly","Capital ","€ 10,000.00","€ 10,000.00","€ 20,000.00",2008
"Carlow County Enterprise Board ","Danelle Recycling Ltd","Capital ","€ 13,632.21","€ 13,632.21","€ 27,264.42",2008
"Carlow County Enterprise Board ","Glenn Lucas","capital ","€ 3,275.18","€ 3,275.18","€ 6,550.36",2008
"Carlow County Enterprise Board ","Danelle Recycling Ltd","Capital ","€ 1,411.00","€ 1,411.00","€ 2,822.00",2008
"Carlow County Enterprise Board ","Technical Stonework Limited","Capital ","€ 24,542.58","€ 24,542.58","€ 49,085.16",2008
"Carlow County Enterprise Board ","Glenn Lucas","Capital ","€ 474.82","€ 474.82","€ 949.64",2008
"Carlow County Enterprise Board ","James Patrick Flood - Ballyglish","Capital ","€ 2,122.25","€ 2,122.25","€ 4,244.50",2008
"Carlow County Enterprise Board ","Danelle Recycling Ltd","Capital ","€ 2,399.69","€ 2,399.69","€ 4,799.38",2008
"Carlow County Enterprise Board ","Danelle Recycling Ltd","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","Jaggo","Employment ","€ 1,442.00"," ","€ 1,442.00",2008
"Carlow County Enterprise Board ","ADT software","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","Edible Icons","Employment ","€ 3,000.00"," ","€ 3,000.00",2008
"Carlow County Enterprise Board ","Creativa","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","ADT software","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","EASI-STONE LTD","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","Danelle Recycling Ltd","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","Trunet","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","Newbyrne Partnership","Employment ","€ 5,000.00"," ","€ 5,000.00",2008
"Carlow County Enterprise Board ","Charlaine O' Carroll","Employment ","€ 4,500.00"," ","€ 4,500.00",2008
"Carlow County Enterprise Board ","Danelle Recycling Ltd","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","Aptus Limited","Employment ","€ 3,000.00"," ","€ 3,000.00",2008
"Carlow County Enterprise Board ","4th Promise","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","Jaggo Ltd","Employment ","€ 1,442.00"," ","€ 1,442.00",2008
"Carlow County Enterprise Board ","Twinfield","Employment ","€ 3,000.00"," ","€ 3,000.00",2008
"Carlow County Enterprise Board ","Eileen Hogan","Employment ","€ 3,000.00"," ","€ 3,000.00",2008
"Carlow County Enterprise Board ","T2","Employment ","€ 2,500.00"," ","€ 2,500.00",2008
"Carlow County Enterprise Board ","Newbyrne Partnership","Employment ","€ 5,000.00"," ","€ 5,000.00",2008
"Carlow County Enterprise Board ","Charlaine O' Carroll","Employment ","€ 4,500.00"," ","€ 4,500.00",2008
"Carlow County Enterprise Board ","John Hyland","Feasibility","€ 2,546.98"," ","€ 2,546.98",2008
