country,region,uri,google_translate_uri
Austria,,http://ec.europa.eu/employment_social/esf/docs/beneficiaries_at_2007_2008.pdf,http://translate.google.com/translate?hl=en&sl=de&tl=en&u=http://ec.europa.eu/employment_social/esf/docs/beneficiaries_at_2007_2008.pdf
Belgium,Flanders,http://www.esf-producten.be/projectlist2007.aspx,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.esf-producten.be/projectlist2007.aspx
Belgium,German-Speaking Community of Belgium,http://www.dglive.be/PortalData/2/Resources/downloads/europa/Uebersicht_ESF_Projekte.pdf,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.dglive.be/PortalData/2/Resources/downloads/europa/Uebersicht_ESF_Projekte.pdf
Belgium,Federal - Social Integration -SPP,http://www.mi-is.be/be_fr/04/Europees%20Sociaal%20Fonds/transparantie.html,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.mi-is.be/be_fr/04/Europees%20Sociaal%20Fonds/transparantie.html
Belgium,Federal - Supporting communities in Brussels,http://www.mi-is.be/be_fr/04/Europees Sociaal Fonds/content/transparantierichtlijnen/selcom 2008 BXL.xls,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.mi-is.be/be_fr/04/Europees Sociaal Fonds/content/transparantierichtlijnen/selcom 2008 BXL.xls
Belgium,Federal - Supporting communities in Flanders,http://www.mi-is.be/be_fr/04/Europees Sociaal Fonds/content/transparantierichtlijnen/selcom 2008 Vl.xls,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.mi-is.be/be_fr/04/Europees Sociaal Fonds/content/transparantierichtlijnen/selcom 2008 Vl.xls
Belgium,Federal - Supporting communities in Wallonia,http://www.mi-is.be/be_fr/04/Europees Sociaal Fonds/content/transparantierichtlijnen/selcom 2008 W.xls,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.mi-is.be/be_fr/04/Europees Sociaal Fonds/content/transparantierichtlijnen/selcom 2008 W.xls
Belgium,Wallonia,http://www.fse.be/les-projets-2007-2013/les-projets-approuves,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.fse.be/les-projets-2007-2013/les-projets-approuves
Belgium,Brussels - in FR,http://www.actiris.be/Search/Asp/page.asp?pg=http://www.actiris.be/fr/liens/fse_fr.htm,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.actiris.be/Search/Asp/page.asp?pg=http://www.actiris.be/fr/liens/fse_fr.htm
Belgium,Brussels - in NL,http://www.actiris.be/Search/Asp/page.asp?pg=http://www.actiris.be/nl/liens/fse_nl.htm,http://translate.google.com/translate?hl=en&sl=fr&tl=en&u=http://www.actiris.be/Search/Asp/page.asp?pg=http://www.actiris.be/nl/liens/fse_nl.htm
Bulgaria,Administrative Capacity OP,http://www.opac.government.bg/,http://translate.google.com/translate?hl=en&sl=bg&tl=en&u=http://www.opac.government.bg/
