"Region",
"All transnational","http://ec.europa.eu/regional_policy/country/commu/beneficiaries/transnational/index_en.htm"
"Northern Periphery","http://www.northernperiphery.eu/en/projects/news/"
"Baltic Sea","http://eu.baltic.net/Project_Database.5308.html"
"North West Europe","http://www.nweurope.eu/index.php?act=search"
"North Sea",
"Atlantic Coast",
"Alpine Space",
"Central Europe","http://www.central2013.eu/nc/central-projects/approved-projects.html"
"South West Europe",
"Mediterranean",
"South East Europe",
"Caribbean Area",
"Açores-Madeira-Canarias",
"Indian Ocean Area",
