"nome_dei_beneficiari","titolo_progetto","asse","linea_di_intervento","anno_di_assegnazione_finanziamento","anno_di_pagamento_finale","ammontare_assegnato","totale_importo_pagato_alla_fine_dell_operazione","fund_type","currency","uri"
"AMMINISTRAZIONE PROVINCIALE DI MATERA","76/2009/1 - ADEGUAMENTO SP ES SS 175 (INNESTO EX SS 380 - SS 106 JONICA).","I","I.1.1.A",2009,,"26.000.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"AMMINISTRAZIONE PROVINCIALE DI POTENZA","76/2009/2 - STRADA DI COLLEGAMENTO TRA LA S.S.V. CANDELA-POTENZA E LA S.S.V. BRADANICA 1° TRONCO (DALLO SVINCOLO DI RIONERO IN VULTURE A VENOSA EST) 3° LOTTO (RIPACANDIDA-GINESTRA) D.G.R. N. 1404 DEL 5.7.2005 .","I","I.1.1.A",2009,,"22.483.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"COMUNE DI MELFI","73/2009/3 - CAMPUS DI RICERCA ED ALTA FORMAZIONE ""CAMPUS PER L'INNOVAZIONE DEL MANUFACTURING""","II","II.1.1.B",2009,,"5.650.000,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2008/6 - CONTRATTO PER L'AFFIDAMENTO TEMPORANEO PER IL CSB ( PERIODO 23/12/2008 - 22/06/2009)","II","II.2.2.C",2008,,"857.558,23",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/18 - GIGA RUPAR- EVOLUZIONE DELLA RETE PRIMARIA RUPAR","II","II.2.1.A",2009,2009,"4.337.125,05","4.337.125,05","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/20 - ICAR-BAS REALIZZAZIONE DEL SISTEMA PER L'INTEROPERABILITÀ E LA COOPERAZIONE APPLICATIVA TRA LE REGIONI","II","II.2.1.B",2009,,"497.610,00",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/4 - CONTRATTO PER L'AFFIDAMENTO TEMPORANEO CSB PERIODO 23/06/2009-22/10/2009.","II","II.2.2.C",2009,2009,"573.904,48","573.904,47","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2004/1 - SERVIZI DI ACCESSO RESIDENZIALI PER I CITTADINI DELLA BASILICATA ALLA RETE TELEMATICA REGIONALE","II","II.2.2.A",2009,,"4.950.630,25",,"ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"REGIONE BASILICATA","71/2009/19 - E-BAS SPC - ADEGUAMENTO INFRASTRUTTURALE DEI SERVIZI DI CONNETTIVITÀ E DI SICUREZZA DI RETE DELLA RUPAR BASILICATA IN OTTICA SPC","II","II.2.1.B",2009,2009,"380.846,66","380.846,66","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"SVILUPPO BASILICATA SpA - FONDO DI GARANZIA - PO FESR 2007-2013 - DGR 2124 DEL 15 DICEMBRE 2009","73/2009/6 - FONDO DI GARANZIA - PO FESR BASILICATA 2007-2013 - DGR 2124 DEL 15 DICEMBRE 2009","II","II.1.1.A",2009,2009,"2.500.000,00","2.500.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
"SVILUPPO BASILICATA SpA - FONDO DI GARANZIA - PO FESR 2007-2013 - DGR 2124 DEL 15 DICEMBRE 2009","73/2009/10 - FONDO DI GARANZIA - PO FESR BASILICATA 2007-2013 - DGR N° 2124 DEL 15 DICEMBRE 2009","II","II.1.2.C",2009,2009,"500.000,00","500.000,00","ERDF","EUR","http://localhost:9999/DOCUMENT_FILE_100421.pdf"
