ASSE,"OBIETTIVO
SPECIFICO",BENEFICIARIO,AVVISO,OPERAZIONE,"ANNO
FINANZIAMENTO","IMP FINANZIAMENTO
PUBBLICO",IMPORTO PAGATO
IV,h,AGENZIA FORMATIVA ALBAFOR SRL,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile dell'organizzazione e comunicazione di
eventi per lo sviluppo del patrimonio culturale",2008,"161.250,00",
IV,h,ALMA SAS DI PRUSWNTINO M.+C.,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile dell'organizzazione e comunicazione di
eventi per lo sviluppo del patrimonio culturale",2008,"160.287,50",
VI,n,"ASSOCIAZIONE TECNOSTRUTTURA DELLE
REGIONI PER IL FSE","Affidamento intervento di Assistenza
tecnica Istituzionale per il periodo
2008-2013","Affidamento intervento di Assistenza tecnica Istituzionale
per il periodo 2008-2013",2008,"805.070,00","241.000,00"
IV,i2,Autoritˆ di Gestione per Beneficiari Vari,Dottorati di ricerca A.A. 2007-2008,Dottorati di ricerca A.A. 2007-2008,2008,"130.721,92","72.026,72"
IV,i2,Autoritˆ di Gestione per Beneficiari Vari,Master Universitari A.A. 2007-2008,Master Universitari A.A. 2007-2008,2008,"618.196,37","357.215,47"
IV,i2,Autoritˆ di Gestione per Beneficiari Vari,Master Non Universitari,Master Non Universitari,2008,"966.931,00",
IV,h,CENTRO SERVIZI SRL,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile dell'organizzazione e comunicazione di
eventi per lo sviluppo del patrimonio culturale",2008,"160.242,00",
IV,h,CONSORZIO I.S.F.I.MA.,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.250,00",
IV,h,ELDAIFP,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.250,00",
IV,h,FIGEST SOC. COOP.,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.250,00",
IV,h,FORCOPIM,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.250,00",
IV,h,"IIS ""I. MORRA""","Rafforzamento e qualificazione offerta
formativa scolastica","CG4 - STUDIAMO INSIME ""DICONO DI NOI""",2008,"55.991,42",
IV,h,"IIS ""I. MORRA""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"56.960,00",
IV,h,"IIS ""I. MORRA""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - ORIENTARSI NELLA COMPLESSITA',2008,"25.887,82",
IV,h,IREFORR,"Percorsi formativi integrati per la filiera
culturale turistica della Basilicata","Responsabile della fruizione e dello sviluppo del
patrimonio culturale",2008,"161.250,00",
IV,h,"ISTITUTO DI ISTRUZIONE SECONDARIA
SUPERIORE ""ROCCO SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - RICOMINCIO DA ME,2008,"19.901,48"
IV,i1,"ISTITUTO DI ISTRUZIONE SECONDARIA
SUPERIORE ""ROCCO SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica","CS2 - RIAPPROPIARSI DELLA SCUOLA PER
CRESCERE INSIEME",2008,"19.947,48"
IV,i1,"ISTITUTO DI ISTRUZIONE SECONDARIA
SUPERIORE ""ROCCO SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",CS3 - UNO PER TUTTI,2008,"19.486,98"
IV,h,"ISTITUTO DI ISTRUZIONE SECONDARIA
SUPERIORE ""ROCCO SCOTELLARO""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"22.720,00"
IV,h,"ISTITUTO D'ISTRUZIONE SECONDARIA
SUPERIORE ""G. SOLIMENE""","Rafforzamento e qualificazione offerta
formativa scolastica",SL1 - STAGE,2008,"32.668,00"
IV,h,"ISTITUTO D'ISTRUZIONE SECONDARIA
SUPERIORE ""G. SOLIMENE""","Rafforzamento e qualificazione offerta
formativa scolastica",CS4 - SVILUPPO DI COMPETENZE INFORMATICHE,2008,"11.996,51"
IV,h,"ISTITUTO D'ISTRUZIONE SECONDARIA
SUPERIORE ""G. SOLIMENE""","Rafforzamento e qualificazione offerta
formativa scolastica",QP1 - LABORATORIO DELLE COMPETENZE,2008,"47.619,66"
IV,i1,"ISTITUTO D'ISTRUZIONE SECONDARIA
SUPERIORE ""G. SOLIMENE""","Rafforzamento e qualificazione offerta
formativa scolastica",CS5 - FUORI DALLE DIPENDENZE,2008,"14.835,82"
IV,h,"ISTITUTO D'ISTRUZIONE SECONDARIA
SUPERIORE ""G. SOLIMENE""","Rafforzamento e qualificazione offerta
formativa scolastica",CG3 - LA SICUREZZA NELLA SOCIETA' MODERNA,2008,"10.230,42"
IV,h,"ISTITUTO D'ISTRUZIONE SECONDARIA
SUPERIORE ""G. SOLIMENE""","Rafforzamento e qualificazione offerta
formativa scolastica",CS1 - L'ORIENTAMENTO NELLO ZAINO,2008,"16.124,00"
IV,h,"ISTITUTO D'ISTRUZIONE SECONDARIA
SUPERIORE ""G. SOLIMENE""","Rafforzamento e qualificazione offerta
formativa scolastica",CG4 - SCAMBIO DI CLASSI,2008,"45.278,53"
