regione,provincia,nome,tipo_istituto,cod_mec,indirizzo,citta,cap,email,indirizzo_web,codice_del_progetto,obiettivo,azione,stato_del_progetto,protocollo,data,ammontare_assegnato,totale_importo_pagato
CALABRIA,CS,CD ACRI  II,SCUOLE ELEMENTARI,CSEE01300A,VIA DON LUIGI STURZO,ACRI,87041,CSEE01300A@istruzione.it,"",B-4-FSE-2007-126,B-Migliorare le competenze del personale della scuola e dei docenti,4-Interventi di formazione sulle metodologie per la didattica individualizzata e sulle strategie per il recupero del disagio,Avviato,5823,20-12-2007,"EUR 9.642,84","EUR 9.642,84"
CALABRIA,CS,CD ACRI  II,SCUOLE ELEMENTARI,CSEE01300A,VIA DON LUIGI STURZO,ACRI,87041,CSEE01300A@istruzione.it,"",C-1-FSE-2007-294,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 7.957,85","EUR 5.892,85"
CALABRIA,CS,CD ACRI  II,SCUOLE ELEMENTARI,CSEE01300A,VIA DON LUIGI STURZO,ACRI,87041,CSEE01300A@istruzione.it,"",F-1-FSE-2007-112,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 47.321,42","EUR 42.589,28"
CALABRIA,CS,ACRI I. C. LA MUCONE,ISTITUTO COMPRENSIVO,CSIC88200P,FRAZ.FERRANTE,ACRI,87041,CSIC88200P@istruzione.it,"",C-1-FSE-2007-355,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 47.243,52","EUR 38.146,69"
CALABRIA,CS,ACRI I. C. LA MUCONE,ISTITUTO COMPRENSIVO,CSIC88200P,FRAZ.FERRANTE,ACRI,87041,CSIC88200P@istruzione.it,"",D-1-FSE-2007-170,"D-Accrescere la diffusione, l'accesso e l'uso della società dell'informazione nella scuola","1-Interventi formativi rivolti ai docenti e al personale della scuola, sulle nuove tecnologie della comunicazione",Avviato,5823,20-12-2007,"EUR 17.678,55","EUR 15.080,13"
CALABRIA,CS,"I.C.  ACRI  ""V. PADULA""",ISTITUTO COMPRENSIVO,CSIC88300E,VIA MARIA MONTESSORI,ACRI,87041,CSIC88300E@istruzione.it,"",B-7-FSE-2007-12,B-Migliorare le competenze del personale della scuola e dei docenti,7-Interventi individualizzati e per l'auto-aggiornamento del personale scolastico (per questo bando limitatamente all'apprendimento linguisitico),Avviato,5823,20-12-2007,"EUR 7.821,42","EUR 4.989,48"
CALABRIA,CS,"I.C.  ACRI  ""V. PADULA""",ISTITUTO COMPRENSIVO,CSIC88300E,VIA MARIA MONTESSORI,ACRI,87041,CSIC88300E@istruzione.it,"",C-1-FSE-2007-155,C-Migliorare i livelli di conoscenza e competenza dei giovani,1-Interventi per lo sviluppo delle competenze chiave,Avviato,5823,20-12-2007,"EUR 52.007,10","EUR 44.629,41"
CALABRIA,CS,"I.C.  ACRI  ""V. PADULA""",ISTITUTO COMPRENSIVO,CSIC88300E,VIA MARIA MONTESSORI,ACRI,87041,CSIC88300E@istruzione.it,"",C-4-FSE-2007-41,C-Migliorare i livelli di conoscenza e competenza dei giovani,4-Interventi individualizzati per promuovere l'eccellenza,Avviato,5823,20-12-2007,"EUR 5.164,28","EUR 3.120,72"
CALABRIA,CS,"I.C.  ACRI  ""V. PADULA""",ISTITUTO COMPRENSIVO,CSIC88300E,VIA MARIA MONTESSORI,ACRI,87041,CSIC88300E@istruzione.it,"",F-1-FSE-2007-177,"F-Promuovere il successo scolastico, le pari opportunità e l'inclusione sociale",1-Interventi per promuovere il successo scolastico per le scuole del primo ciclo,Avviato,5823,20-12-2007,"EUR 63.033,42","EUR 61.381,32"
CALABRIA,CS,"I.C.  ACRI  ""V. PADULA""",ISTITUTO COMPRENSIVO,CSIC88300E,VIA MARIA MONTESSORI,ACRI,87041,CSIC88300E@istruzione.it,"",G-1-FSE-2007-44,G-Migliorare i sistemi di apprendimento durante tutto l'arco della vita,1-Interventi formativi flessibili finalizzati al recupero dell'istruzione di base per giovani e adulti,Avviato,5823,20-12-2007,"EUR 94.957,11","EUR 60.368,27"
