ragione_sociale,denominazione_dell_operazione,anno_finanziamento_pagamento,contributo_concesso_risorse_nazionali_ecomunitarie,fund_type,currency,uri
3 BRIDGES HYDRAULIC S.R.L.,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza",2009,"36.000,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
A.B.L. S.R.L.,"Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡ Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi",2009,"86.800,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
A.D.P. SRL,"Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡",2009,"23.962,40",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
A.ESSE.I. S.R.L.,Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio),2009,"17.796,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
A.P.C.DI LAZZARINI LUIGINO,Trasmissione di impresa SUCCESSIONE,2009,"15.000,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
A.P.I. SERVIZI SRL,Aumento dell'efficienza e della produttivit‡,2009,"28.800,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
A.T.E. ELETTRONICA S.R.L.,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡ Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi",2009,"19.480,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ABACUS SISTEMI CAD- CAM S.R.L.,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡ Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi Diversificazione produttiva",2009,"96.760,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ACCIUGHA SRL,Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi,2009,"21.000,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
AGRONICA GROUP SRL,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Aumento dell'efficienza e della produttivit‡ Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi",2009,"64.980,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
AIR TEC SYSTEM SRL,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi Diversificazione produttiva",2009,"51.800,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ALCE SRL,Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi Aumento dell'efficienza e della produttivit‡,2009,"78.480,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ALCHIMIA LABORATORIO DI RESTAURO DI GILIOLI CLAUDIO E C. SNC,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡ Diversificazione produttiva",2009,"95.977,60",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ALFIERE S.R.L.,"Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Aumento dell'efficienza e della produttivit‡",2009,"66.310,80",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ALTAG S.R.L.,"Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.)",2009,"27.472,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ALTAVIA S.R.L.,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡",2009,"39.400,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ALYA SRL,"Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Aumento dell'efficienza e della produttivit‡ Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi",2009,"43.875,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
AMGA ENERGIA SERVIZI SRL,"Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza",2009,"10.200,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
AMGA ENERGIA SRL,"Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza",2009,"10.000,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ANASTASIS SOC. COOP A.R.L.,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Aumento dell'efficienza e della produttivit‡",2009,"48.352,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ANDI - MEC S.R.L.,Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio) Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi,2009,"71.200,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ANSTAL ENGINEERING SRL,Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Aumento dell'efficienza e della produttivit‡,2009,"40.362,48",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
APUS S.R.L.,Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio) Aumento dell'efficienza e della produttivit‡ Diversificazione produttiva,2009,"83.009,76",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
AR.CO. LAVORI SOC. COOP. CONSORTILE,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡ Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi Diversificazione produttiva",2009,"122.298,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ARIES S.R.L.,"Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡",2009,"54.115,60",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ARTE NUOVA SOC. COOP. SRL,Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Diversificazione produttiva,2009,"13.600,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
ARTESTAMPA S.R.L.,"Sviluppo commerciale verso nuovi mercati e nuovi canali distributivi Sviluppo di funzioni avanzate (ricerca e sviluppo, progettazione, marketing, ecc.) Riorganizzazione e razionalizzazione dei sistemi di fornitura (produttiva e di servizio) Valorizzazione dei sistemi di gestione della qualit‡ nei processi produttivi, nelle prestazioni lavorative, nell'ambiente e nella sicurezza Aumento dell'efficienza e della produttivit‡ Ampliamento della capacit‡ produttiva e l'introduzione di nuovi processi produttivi",2009,"67.284,00",ERDF,EUR,http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elelnco-beneficiari-asse-2
